; Candidate 16774
; ADRP+ADD at VM 0xfffffff009f54fdc (fileoff 0x2f50fdc): page=0x1fd910000 add_imm=0xcff

0xfffffff009f54f5c: ba035af8  ldur	x26, [x29, #-0x60]
0xfffffff009f54f60: 686240f9  ldr	x8, [x19, #0xc0]
0xfffffff009f54f64: 08c10291  add	x8, x8, #0xb0
0xfffffff009f54f68: 29008052  mov	w9, #1
0xfffffff009f54f6c: 080129f8  ldadd	x9, x8, [x8]
0xfffffff009f54f70: a88312f8  stur	x8, [x29, #-0xd8]
0xfffffff009f54f74: a28303d1  sub	x2, x29, #0xe0
0xfffffff009f54f78: e00313aa  mov	x0, x19
0xfffffff009f54f7c: 21008052  mov	w1, #1
0xfffffff009f54f80: e3031aaa  mov	x3, x26
0xfffffff009f54f84: 8851fe97  bl	#0xfffffff009ee95a4
0xfffffff009f54f88: 20190034  cbz	w0, #0xfffffff009f552ac
0xfffffff009f54f8c: f60300aa  mov	x22, x0
0xfffffff009f54f90: 083e8452  mov	w8, #0x21f0
0xfffffff009f54f94: 6802088b  add	x8, x19, x8
0xfffffff009f54f98: a90640f9  ldr	x9, [x21, #8]
0xfffffff009f54f9c: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009f54fa0: 88c8fe90  adrp	x8, #0xfffffff007864000
0xfffffff009f54fa4: 08352891  add	x8, x8, #0xa0d
0xfffffff009f54fa8: c9018152  mov	w9, #0x80e
0xfffffff009f54fac: e82700a9  stp	x8, x9, [sp]
0xfffffff009f54fb0: 80c8fe90  adrp	x0, #0xfffffff007864000
0xfffffff009f54fb4: 00bc2b91  add	x0, x0, #0xaef
0xfffffff009f54fb8: 7affff17  b	#0xfffffff009f54da0
0xfffffff009f54fbc: aac7fed0  adrp	x10, #0xfffffff00784a000
0xfffffff009f54fc0: 4a9d0691  add	x10, x10, #0x1a7
0xfffffff009f54fc4: ea5302a9  stp	x10, x20, [sp, #0x20]
0xfffffff009f54fc8: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009f54fcc: 88c8fe90  adrp	x8, #0xfffffff007864000
0xfffffff009f54fd0: 08352891  add	x8, x8, #0xa0d
0xfffffff009f54fd4: a9178152  mov	w9, #0x8bd
0xfffffff009f54fd8: e82700a9  stp	x8, x9, [sp]
0xfffffff009f54fdc: 80c8fe90  adrp	x0, #0xfffffff007864000
0xfffffff009f54fe0: 00fc3391  add	x0, x0, #0xcff
0xfffffff009f54fe4: 38aafc97  bl	#0xfffffff009e7f8c4
0xfffffff009f54fe8: a83640f9  ldr	x8, [x21, #0x68]
0xfffffff009f54fec: 08f97d92  and	x8, x8, #0xfffffffffffffffb
0xfffffff009f54ff0: a83600f9  str	x8, [x21, #0x68]
0xfffffff009f54ff4: df020071  cmp	w22, #0
0xfffffff009f54ff8: 8802961a  csel	w8, w20, w22, eq
0xfffffff009f54ffc: e85700b9  str	w8, [sp, #0x54]
0xfffffff009f55000: f82f00f9  str	x24, [sp, #0x58]
0xfffffff009f55004: f62700f9  str	x22, [sp, #0x48]
0xfffffff009f55008: b60b0035  cbnz	w22, #0xfffffff009f5517c
0xfffffff009f5500c: a80358b8  ldur	w8, [x29, #-0x80]
0xfffffff009f55010: 1f050071  cmp	w8, #1
0xfffffff009f55014: 4b0b0054  b.lt	#0xfffffff009f5517c
0xfffffff009f55018: 093e8452  mov	w9, #0x21f0
0xfffffff009f5501c: 7802098b  add	x24, x19, x9
0xfffffff009f55020: b5035af8  ldur	x21, [x29, #-0x60]
0xfffffff009f55024: bac7feb0  adrp	x26, #0xfffffff00784a000
0xfffffff009f55028: 5a9f0691  add	x26, x26, #0x1a7
0xfffffff009f5502c: 79c8fef0  adrp	x25, #0xfffffff007864000
0xfffffff009f55030: 39372891  add	x25, x25, #0xa0d
0xfffffff009f55034: b61b8152  mov	w22, #0x8dd
0xfffffff009f55038: 7bc8fef0  adrp	x27, #0xfffffff007864000
0xfffffff009f5503c: 7b073591  add	x27, x27, #0xd41
0xfffffff009f55040: a98358f8  ldur	x9, [x29, #-0x78]
0xfffffff009f55044: 08050051  sub	w8, w8, #1
0xfffffff009f55048: a80318b8  stur	w8, [x29, #-0x80]
0xfffffff009f5504c: 2815088b  add	x8, x9, x8, lsl #5
0xfffffff009f55050: 1c0140f9  ldr	x28, [x8]
0xfffffff009f55054: 145d41a9  ldp	x20, x23, [x8, #0x10]
0xfffffff009f55058: e00313aa  mov	x0, x19
