; Candidate 16404
; ADRP+ADD at VM 0xfffffff009e86504 (fileoff 0x2e82504): page=0x1fd9b1000 add_imm=0xed2

0xfffffff009e86484: 60040034  cbz	w0, #0xfffffff009e86510
0xfffffff009e86488: f70300aa  mov	x23, x0
0xfffffff009e8648c: 083e8452  mov	w8, #0x21f0
0xfffffff009e86490: 8802088b  add	x8, x20, x8
0xfffffff009e86494: 090b40f9  ldr	x9, [x24, #0x10]
0xfffffff009e86498: 6a0a40f9  ldr	x10, [x19, #0x10]
0xfffffff009e8649c: 1fa80171  cmp	w0, #0x6a
0xfffffff009e864a0: 68050054  b.hi	#0xfffffff009e8654c
0xfffffff009e864a4: 6bf5fed0  adrp	x11, #0xfffffff007d34000
0xfffffff009e864a8: 6b011191  add	x11, x11, #0x440
0xfffffff009e864ac: 6b5977f8  ldr	x11, [x11, w23, uxtw #3]
0xfffffff009e864b0: 29000014  b	#0xfffffff009e86554
0xfffffff009e864b4: 2bcefe90  adrp	x11, #0xfffffff00784a000
0xfffffff009e864b8: 6b9d0691  add	x11, x11, #0x1a7
0xfffffff009e864bc: eb1b00f9  str	x11, [sp, #0x30]
0xfffffff009e864c0: eb0317aa  mov	x11, x23
0xfffffff009e864c4: ea2f02a9  stp	x10, x11, [sp, #0x20]
0xfffffff009e864c8: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009e864cc: 88cdfeb0  adrp	x8, #0xfffffff007837000
0xfffffff009e864d0: 08e13a91  add	x8, x8, #0xeb8
0xfffffff009e864d4: 69e88952  mov	w9, #0x4f43
0xfffffff009e864d8: 80cdfeb0  adrp	x0, #0xfffffff007837000
0xfffffff009e864dc: 00f83c91  add	x0, x0, #0xf3e
0xfffffff009e864e0: 26000014  b	#0xfffffff009e86578
0xfffffff009e864e4: 2acefe90  adrp	x10, #0xfffffff00784a000
0xfffffff009e864e8: 4a9d0691  add	x10, x10, #0x1a7
0xfffffff009e864ec: f7ab02a9  stp	x23, x10, [sp, #0x28]
0xfffffff009e864f0: f6a701a9  stp	x22, x9, [sp, #0x18]
0xfffffff009e864f4: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009e864f8: 88cdfeb0  adrp	x8, #0xfffffff007837000
0xfffffff009e864fc: 08e13a91  add	x8, x8, #0xeb8
0xfffffff009e86500: 29e78952  mov	w9, #0x4f39
0xfffffff009e86504: 80cdfeb0  adrp	x0, #0xfffffff007837000
0xfffffff009e86508: 00483b91  add	x0, x0, #0xed2
0xfffffff009e8650c: 37000014  b	#0xfffffff009e865e8
0xfffffff009e86510: bf0216eb  cmp	x21, x22
0xfffffff009e86514: 60080054  b.eq	#0xfffffff009e86620
0xfffffff009e86518: 621240f9  ldr	x2, [x19, #0x20]
0xfffffff009e8651c: e00314aa  mov	x0, x20
0xfffffff009e86520: e10315aa  mov	x1, x21
0xfffffff009e86524: 13a20194  bl	#0xfffffff009eeed70
0xfffffff009e86528: c0070034  cbz	w0, #0xfffffff009e86620
0xfffffff009e8652c: 083e8452  mov	w8, #0x21f0
0xfffffff009e86530: 8802088b  add	x8, x20, x8
0xfffffff009e86534: 1fa80171  cmp	w0, #0x6a
0xfffffff009e86538: e8050054  b.hi	#0xfffffff009e865f4
0xfffffff009e8653c: 69f5fed0  adrp	x9, #0xfffffff007d34000
0xfffffff009e86540: 29011191  add	x9, x9, #0x440
0xfffffff009e86544: 295960f8  ldr	x9, [x9, w0, uxtw #3]
0xfffffff009e86548: 2d000014  b	#0xfffffff009e865fc
0xfffffff009e8654c: 2bcefe90  adrp	x11, #0xfffffff00784a000
0xfffffff009e86550: 6b9d0691  add	x11, x11, #0x1a7
0xfffffff009e86554: eb1b00f9  str	x11, [sp, #0x30]
0xfffffff009e86558: eb0317aa  mov	x11, x23
0xfffffff009e8655c: ea2f02a9  stp	x10, x11, [sp, #0x20]
0xfffffff009e86560: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009e86564: 88cdfeb0  adrp	x8, #0xfffffff007837000
0xfffffff009e86568: 08e13a91  add	x8, x8, #0xeb8
0xfffffff009e8656c: e9ea8952  mov	w9, #0x4f57
0xfffffff009e86570: 80cdfeb0  adrp	x0, #0xfffffff007837000
0xfffffff009e86574: 00843e91  add	x0, x0, #0xfa1
0xfffffff009e86578: e82700a9  stp	x8, x9, [sp]
0xfffffff009e8657c: d2e4ff97  bl	#0xfffffff009e7f8c4
0xfffffff009e86580: bf0216eb  cmp	x21, x22
