; Candidate 7781
; ADRP+ADD at VM 0xfffffff00887f170 (fileoff 0x187b170): page=0x1fe96a000 add_imm=0xe80

0xfffffff00887f0f0: 00050034  cbz	w0, #0xfffffff00887f190
0xfffffff00887f0f4: 600d8052  mov	w0, #0x6b
0xfffffff00887f0f8: c8f1ff97  bl	#0xfffffff00887b818
0xfffffff00887f0fc: f70300aa  mov	x23, x0
0xfffffff00887f100: 2bd40094  bl	#0xfffffff0088b41ac
0xfffffff00887f104: f60300aa  mov	x22, x0
0xfffffff00887f108: 00018052  mov	w0, #8
0xfffffff00887f10c: d1f1ff97  bl	#0xfffffff00887b850
0xfffffff00887f110: 97010034  cbz	w23, #0xfffffff00887f140
0xfffffff00887f114: f4d702a9  stp	x20, x21, [sp, #0x28]
0xfffffff00887f118: 684dffb0  adrp	x8, #0xfffffff00722c000
0xfffffff00887f11c: 08d91891  add	x8, x8, #0x636
0xfffffff00887f120: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff00887f124: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00887f128: 680d8052  mov	w8, #0x6b
0xfffffff00887f12c: 204dffd0  adrp	x0, #0xfffffff007225000
0xfffffff00887f130: 00042891  add	x0, x0, #0xa01
0xfffffff00887f134: f62300a9  stp	x22, x8, [sp]
0xfffffff00887f138: cae0d497  bl	#0xfffffff007db7460
0xfffffff00887f13c: 15000014  b	#0xfffffff00887f190
0xfffffff00887f140: 1bd40094  bl	#0xfffffff0088b41ac
0xfffffff00887f144: f60300aa  mov	x22, x0
0xfffffff00887f148: 00018052  mov	w0, #8
0xfffffff00887f14c: c1f1ff97  bl	#0xfffffff00887b850
0xfffffff00887f150: e80315aa  mov	x8, x21
0xfffffff00887f154: f4a302a9  stp	x20, x8, [sp, #0x28]
0xfffffff00887f158: 684dffb0  adrp	x8, #0xfffffff00722c000
0xfffffff00887f15c: 08d91891  add	x8, x8, #0x636
0xfffffff00887f160: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff00887f164: 680d8052  mov	w8, #0x6b
0xfffffff00887f168: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00887f16c: f60300f9  str	x22, [sp]
0xfffffff00887f170: 404bffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00887f174: 00003a91  add	x0, x0, #0xe80
0xfffffff00887f178: 418cffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00887f17c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00887f180: e34eff90  adrp	x3, #0xfffffff00725b000
0xfffffff00887f184: 63cc1891  add	x3, x3, #0x633
0xfffffff00887f188: 02008052  mov	w2, #0
0xfffffff00887f18c: e9cfea97  bl	#0xfffffff008333130
0xfffffff00887f190: e00315aa  mov	x0, x21
0xfffffff00887f194: fd7b4aa9  ldp	x29, x30, [sp, #0xa0]
0xfffffff00887f198: f44f49a9  ldp	x20, x19, [sp, #0x90]
0xfffffff00887f19c: f65748a9  ldp	x22, x21, [sp, #0x80]
0xfffffff00887f1a0: f85f47a9  ldp	x24, x23, [sp, #0x70]
0xfffffff00887f1a4: ffc30291  add	sp, sp, #0xb0
0xfffffff00887f1a8: ff0f5fd6  retab	
0xfffffff00887f1ac: 600d8052  mov	w0, #0x6b
0xfffffff00887f1b0: 81008052  mov	w1, #4
0xfffffff00887f1b4: 87f1ff97  bl	#0xfffffff00887b7d0
0xfffffff00887f1b8: 80090034  cbz	w0, #0xfffffff00887f2e8
0xfffffff00887f1bc: 600d8052  mov	w0, #0x6b
0xfffffff00887f1c0: 96f1ff97  bl	#0xfffffff00887b818
0xfffffff00887f1c4: f60300aa  mov	x22, x0
0xfffffff00887f1c8: f9d30094  bl	#0xfffffff0088b41ac
0xfffffff00887f1cc: f50300aa  mov	x21, x0
0xfffffff00887f1d0: 80008052  mov	w0, #4
0xfffffff00887f1d4: 9ff1ff97  bl	#0xfffffff00887b850
0xfffffff00887f1d8: b6050034  cbz	w22, #0xfffffff00887f28c
0xfffffff00887f1dc: e80314aa  mov	x8, x20
0xfffffff00887f1e0: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff00887f1e4: 684dffb0  adrp	x8, #0xfffffff00722c000
0xfffffff00887f1e8: 08411d91  add	x8, x8, #0x750
0xfffffff00887f1ec: 89068052  mov	w9, #0x34
