; Candidate 8475
; ADRP+ADD at VM 0xfffffff0088acf64 (fileoff 0x18a8f64): page=0x1fe93d000 add_imm=0xe80

0xfffffff0088acee4: c00f8052  mov	w0, #0x7e
0xfffffff0088acee8: 4c3aff97  bl	#0xfffffff00887b818
0xfffffff0088aceec: f70300aa  mov	x23, x0
0xfffffff0088acef0: af1c0094  bl	#0xfffffff0088b41ac
0xfffffff0088acef4: f60300aa  mov	x22, x0
0xfffffff0088acef8: c0008052  mov	w0, #6
0xfffffff0088acefc: 553aff97  bl	#0xfffffff00887b850
0xfffffff0088acf00: b7010034  cbz	w23, #0xfffffff0088acf34
0xfffffff0088acf04: e80315aa  mov	x8, x21
0xfffffff0088acf08: f4a302a9  stp	x20, x8, [sp, #0x28]
0xfffffff0088acf0c: 284cfff0  adrp	x8, #0xfffffff007233000
0xfffffff0088acf10: 08352c91  add	x8, x8, #0xb0d
0xfffffff0088acf14: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0088acf18: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0088acf1c: c80f8052  mov	w8, #0x7e
0xfffffff0088acf20: c04bffb0  adrp	x0, #0xfffffff007225000
0xfffffff0088acf24: 00042891  add	x0, x0, #0xa01
0xfffffff0088acf28: f62300a9  stp	x22, x8, [sp]
0xfffffff0088acf2c: 4d29d497  bl	#0xfffffff007db7460
0xfffffff0088acf30: 15000014  b	#0xfffffff0088acf84
0xfffffff0088acf34: 9e1c0094  bl	#0xfffffff0088b41ac
0xfffffff0088acf38: f60300aa  mov	x22, x0
0xfffffff0088acf3c: c0008052  mov	w0, #6
0xfffffff0088acf40: 443aff97  bl	#0xfffffff00887b850
0xfffffff0088acf44: e80315aa  mov	x8, x21
0xfffffff0088acf48: f4a302a9  stp	x20, x8, [sp, #0x28]
0xfffffff0088acf4c: 284cfff0  adrp	x8, #0xfffffff007233000
0xfffffff0088acf50: 08352c91  add	x8, x8, #0xb0d
0xfffffff0088acf54: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0088acf58: c80f8052  mov	w8, #0x7e
0xfffffff0088acf5c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088acf60: f60300f9  str	x22, [sp]
0xfffffff0088acf64: e049ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088acf68: 00003a91  add	x0, x0, #0xe80
0xfffffff0088acf6c: e18aff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088acf70: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088acf74: a34dfff0  adrp	x3, #0xfffffff007263000
0xfffffff0088acf78: 63942d91  add	x3, x3, #0xb65
0xfffffff0088acf7c: 02008052  mov	w2, #0
0xfffffff0088acf80: 6c18ea97  bl	#0xfffffff008333130
0xfffffff0088acf84: e00315aa  mov	x0, x21
0xfffffff0088acf88: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff0088acf8c: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff0088acf90: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff0088acf94: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff0088acf98: ff030291  add	sp, sp, #0x80
0xfffffff0088acf9c: ff0f5fd6  retab	
0xfffffff0088acfa0: 831c0094  bl	#0xfffffff0088b41ac
0xfffffff0088acfa4: f60300aa  mov	x22, x0
0xfffffff0088acfa8: 80008052  mov	w0, #4
0xfffffff0088acfac: 293aff97  bl	#0xfffffff00887b850
0xfffffff0088acfb0: e80315aa  mov	x8, x21
0xfffffff0088acfb4: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff0088acfb8: 284bff90  adrp	x8, #0xfffffff007210000
0xfffffff0088acfbc: 08b92791  add	x8, x8, #0x9ee
0xfffffff0088acfc0: 898c8052  mov	w9, #0x464
0xfffffff0088acfc4: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088acfc8: 284cfff0  adrp	x8, #0xfffffff007233000
0xfffffff0088acfcc: 08352c91  add	x8, x8, #0xb0d
0xfffffff0088acfd0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088acfd4: c80f8052  mov	w8, #0x7e
0xfffffff0088acfd8: f62300a9  stp	x22, x8, [sp]
0xfffffff0088acfdc: e049ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088acfe0: 00003a91  add	x0, x0, #0xe80
