; Candidate 7897
; ADRP+ADD at VM 0xfffffff008886600 (fileoff 0x1882600): page=0x1fe963000 add_imm=0xe80

0xfffffff008886580: 00050034  cbz	w0, #0xfffffff008886620
0xfffffff008886584: 400d8052  mov	w0, #0x6a
0xfffffff008886588: a4d4ff97  bl	#0xfffffff00887b818
0xfffffff00888658c: f80300aa  mov	x24, x0
0xfffffff008886590: 07b70094  bl	#0xfffffff0088b41ac
0xfffffff008886594: f70300aa  mov	x23, x0
0xfffffff008886598: e0008052  mov	w0, #7
0xfffffff00888659c: add4ff97  bl	#0xfffffff00887b850
0xfffffff0088865a0: 98010034  cbz	w24, #0xfffffff0088865d0
0xfffffff0088865a4: f55b03a9  stp	x21, x22, [sp, #0x30]
0xfffffff0088865a8: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff0088865ac: 284dfff0  adrp	x8, #0xfffffff00722d000
0xfffffff0088865b0: 08c51f91  add	x8, x8, #0x7f1
0xfffffff0088865b4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088865b8: 480d8052  mov	w8, #0x6a
0xfffffff0088865bc: 804cff90  adrp	x0, #0xfffffff007216000
0xfffffff0088865c0: 00ac3d91  add	x0, x0, #0xf6b
0xfffffff0088865c4: f72300a9  stp	x23, x8, [sp]
0xfffffff0088865c8: a6c3d497  bl	#0xfffffff007db7460
0xfffffff0088865cc: 15000014  b	#0xfffffff008886620
0xfffffff0088865d0: f7b60094  bl	#0xfffffff0088b41ac
0xfffffff0088865d4: f70300aa  mov	x23, x0
0xfffffff0088865d8: e0008052  mov	w0, #7
0xfffffff0088865dc: 9dd4ff97  bl	#0xfffffff00887b850
0xfffffff0088865e0: e80316aa  mov	x8, x22
0xfffffff0088865e4: f52303a9  stp	x21, x8, [sp, #0x30]
0xfffffff0088865e8: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff0088865ec: 284dfff0  adrp	x8, #0xfffffff00722d000
0xfffffff0088865f0: 08c51f91  add	x8, x8, #0x7f1
0xfffffff0088865f4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088865f8: 480d8052  mov	w8, #0x6a
0xfffffff0088865fc: f72300a9  stp	x23, x8, [sp]
0xfffffff008886600: 004bfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008886604: 00003a91  add	x0, x0, #0xe80
0xfffffff008886608: 018cffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00888660c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008886610: a34effd0  adrp	x3, #0xfffffff00725c000
0xfffffff008886614: 63c01f91  add	x3, x3, #0x7f0
0xfffffff008886618: 02008052  mov	w2, #0
0xfffffff00888661c: c5b2ea97  bl	#0xfffffff008333130
0xfffffff008886620: e00316aa  mov	x0, x22
0xfffffff008886624: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff008886628: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff00888662c: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff008886630: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff008886634: ff430291  add	sp, sp, #0x90
0xfffffff008886638: ff0f5fd6  retab	
0xfffffff00888663c: 7f2303d5  pacibsp	
0xfffffff008886640: ff4304d1  sub	sp, sp, #0x110
0xfffffff008886644: fc6f0ba9  stp	x28, x27, [sp, #0xb0]
0xfffffff008886648: fa670ca9  stp	x26, x25, [sp, #0xc0]
0xfffffff00888664c: f85f0da9  stp	x24, x23, [sp, #0xd0]
0xfffffff008886650: f6570ea9  stp	x22, x21, [sp, #0xe0]
0xfffffff008886654: f44f0fa9  stp	x20, x19, [sp, #0xf0]
0xfffffff008886658: fd7b10a9  stp	x29, x30, [sp, #0x100]
0xfffffff00888665c: fd030491  add	x29, sp, #0x100
0xfffffff008886660: f40302aa  mov	x20, x2
0xfffffff008886664: f30301aa  mov	x19, x1
0xfffffff008886668: f50300aa  mov	x21, x0
0xfffffff00888666c: 088cffd0  adrp	x8, #0xfffffff007a08000
0xfffffff008886670: 082942f9  ldr	x8, [x8, #0x450]
0xfffffff008886674: 080140f9  ldr	x8, [x8]
0xfffffff008886678: a8831af8  stur	x8, [x29, #-0x58]
0xfffffff00888667c: 00e4006f  movi	v0.2d, #0000000000000000
