; Candidate 13907
; ADRP+ADD at VM 0xfffffff00960c67c (fileoff 0x260867c): page=0x1fe608000 add_imm=0xe60

0xfffffff00960c5fc: 51deb517  b	#0xfffffff008383f40
0xfffffff00960c600: 5f2403d5  bti	c
0xfffffff00960c604: 200020d4  brk	#1
0xfffffff00960c608: 5f2403d5  bti	c
0xfffffff00960c60c: 200020d4  brk	#1
0xfffffff00960c610: 5f2403d5  bti	c
0xfffffff00960c614: e06b00b0  adrp	x0, #0xfffffff00a389000
0xfffffff00960c618: 00a02c91  add	x0, x0, #0xb28
0xfffffff00960c61c: c0035fd6  ret	
0xfffffff00960c620: 7f2303d5  pacibsp	
0xfffffff00960c624: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00960c628: fd030091  mov	x29, sp
0xfffffff00960c62c: e1fafe90  adrp	x1, #0xfffffff007568000
0xfffffff00960c630: 215c3091  add	x1, x1, #0xc17
0xfffffff00960c634: 822ffff0  adrp	x2, #0xfffffff007bff000
0xfffffff00960c638: 425446f9  ldr	x2, [x2, #0xca8]
0xfffffff00960c63c: 03188052  mov	w3, #0xc0
0xfffffff00960c640: 3e5db397  bl	#0xfffffff0082e3b38
0xfffffff00960c644: b02fffb0  adrp	x16, #0xfffffff007c01000
0xfffffff00960c648: 10a22091  add	x16, x16, #0x828
0xfffffff00960c64c: 10420091  add	x16, x16, #0x10
0xfffffff00960c650: f10300aa  mov	x17, x0
0xfffffff00960c654: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00960c658: 300ac1da  pacda	x16, x17
0xfffffff00960c65c: 100000f9  str	x16, [x0]
0xfffffff00960c660: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00960c664: ff0f5fd6  retab	
0xfffffff00960c668: 5f2403d5  bti	c
0xfffffff00960c66c: 000080d2  mov	x0, #0
0xfffffff00960c670: c0035fd6  ret	
0xfffffff00960c674: 5f2403d5  bti	c
0xfffffff00960c678: e10300aa  mov	x1, x0
0xfffffff00960c67c: 4030ff90  adrp	x0, #0xfffffff007c14000
0xfffffff00960c680: 00803991  add	x0, x0, #0xe60
0xfffffff00960c684: ed6bb317  b	#0xfffffff0082e7638
0xfffffff00960c688: 5f2403d5  bti	c
0xfffffff00960c68c: e20301aa  mov	x2, x1
0xfffffff00960c690: e10300aa  mov	x1, x0
0xfffffff00960c694: 4030ff90  adrp	x0, #0xfffffff007c14000
0xfffffff00960c698: 00803991  add	x0, x0, #0xe60
0xfffffff00960c69c: 006cb317  b	#0xfffffff0082e769c
0xfffffff00960c6a0: 7f2303d5  pacibsp	
0xfffffff00960c6a4: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff00960c6a8: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff00960c6ac: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff00960c6b0: fd830091  add	x29, sp, #0x20
0xfffffff00960c6b4: f30300aa  mov	x19, x0
0xfffffff00960c6b8: 882ffff0  adrp	x8, #0xfffffff007bff000
0xfffffff00960c6bc: 087946f9  ldr	x8, [x8, #0xcf0]
0xfffffff00960c6c0: 098d4bf8  ldr	x9, [x8, #0xb8]!
0xfffffff00960c6c4: f10308aa  mov	x17, x8
0xfffffff00960c6c8: 5175e8f2  movk	x17, #0x43aa, lsl #48
0xfffffff00960c6cc: 31093fd7  blraa	x9, x17
0xfffffff00960c6d0: f40300aa  mov	x20, x0
0xfffffff00960c6d4: 40010034  cbz	w0, #0xfffffff00960c6fc
0xfffffff00960c6d8: f5fafe90  adrp	x21, #0xfffffff007568000
0xfffffff00960c6dc: b5863191  add	x21, x21, #0xc61
0xfffffff00960c6e0: e00315aa  mov	x0, x21
0xfffffff00960c6e4: b5110194  bl	#0xfffffff009650db8
0xfffffff00960c6e8: 609200b9  str	w0, [x19, #0x90]
0xfffffff00960c6ec: e00315aa  mov	x0, x21
0xfffffff00960c6f0: e1008052  mov	w1, #7
0xfffffff00960c6f4: 41120194  bl	#0xfffffff009650ff8
0xfffffff00960c6f8: 60b200b9  str	w0, [x19, #0xb0]
