; Candidate 5853
; ADRP+ADD at VM 0xfffffff008808ae0 (fileoff 0x1804ae0): page=0x1fe9e1000 add_imm=0xe80

0xfffffff008808a60: 81008052  mov	w1, #4
0xfffffff008808a64: 5bcb0194  bl	#0xfffffff00887b7d0
0xfffffff008808a68: c0bfff34  cbz	w0, #0xfffffff008808260
0xfffffff008808a6c: 800e8052  mov	w0, #0x74
0xfffffff008808a70: 6acb0194  bl	#0xfffffff00887b818
0xfffffff008808a74: f40300aa  mov	x20, x0
0xfffffff008808a78: cdad0294  bl	#0xfffffff0088b41ac
0xfffffff008808a7c: f30300aa  mov	x19, x0
0xfffffff008808a80: 80008052  mov	w0, #4
0xfffffff008808a84: 73cb0194  bl	#0xfffffff00887b850
0xfffffff008808a88: f4030034  cbz	w20, #0xfffffff008808b04
0xfffffff008808a8c: f61b00f9  str	x22, [sp, #0x30]
0xfffffff008808a90: 8850ffd0  adrp	x8, #0xfffffff00721a000
0xfffffff008808a94: 08351c91  add	x8, x8, #0x70d
0xfffffff008808a98: c9688052  mov	w9, #0x346
0xfffffff008808a9c: 86fdff17  b	#0xfffffff0088080b4
0xfffffff008808aa0: c3ad0294  bl	#0xfffffff0088b41ac
0xfffffff008808aa4: f30300aa  mov	x19, x0
0xfffffff008808aa8: 80008052  mov	w0, #4
0xfffffff008808aac: 69cb0194  bl	#0xfffffff00887b850
0xfffffff008808ab0: f55b04a9  stp	x21, x22, [sp, #0x40]
0xfffffff008808ab4: 48008052  mov	w8, #2
0xfffffff008808ab8: f72303a9  stp	x23, x8, [sp, #0x30]
0xfffffff008808abc: 8850ffd0  adrp	x8, #0xfffffff00721a000
0xfffffff008808ac0: 08352291  add	x8, x8, #0x88d
0xfffffff008808ac4: 89688052  mov	w9, #0x344
0xfffffff008808ac8: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008808acc: 8850ffd0  adrp	x8, #0xfffffff00721a000
0xfffffff008808ad0: 08711a91  add	x8, x8, #0x69c
0xfffffff008808ad4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008808ad8: 880e8052  mov	w8, #0x74
0xfffffff008808adc: f32300a9  stp	x19, x8, [sp]
0xfffffff008808ae0: 004fffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008808ae4: 00003a91  add	x0, x0, #0xe80
0xfffffff008808ae8: 0190ff90  adrp	x1, #0xfffffff007a08000
0xfffffff008808aec: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008808af0: e351ffb0  adrp	x3, #0xfffffff007245000
0xfffffff008808af4: 637c2491  add	x3, x3, #0x91f
0xfffffff008808af8: 02008052  mov	w2, #0
0xfffffff008808afc: 8da9ec97  bl	#0xfffffff008333130
0xfffffff008808b00: d8fdff17  b	#0xfffffff008808260
0xfffffff008808b04: aaad0294  bl	#0xfffffff0088b41ac
0xfffffff008808b08: f30300aa  mov	x19, x0
0xfffffff008808b0c: 80008052  mov	w0, #4
0xfffffff008808b10: 50cb0194  bl	#0xfffffff00887b850
0xfffffff008808b14: 8850ffd0  adrp	x8, #0xfffffff00721a000
0xfffffff008808b18: 08351c91  add	x8, x8, #0x70d
0xfffffff008808b1c: c9688052  mov	w9, #0x346
0xfffffff008808b20: e8db02a9  stp	x8, x22, [sp, #0x28]
0xfffffff008808b24: 8850ffd0  adrp	x8, #0xfffffff00721a000
0xfffffff008808b28: 08711a91  add	x8, x8, #0x69c
0xfffffff008808b2c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008808b30: 880e8052  mov	w8, #0x74
0xfffffff008808b34: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008808b38: f30300f9  str	x19, [sp]
0xfffffff008808b3c: 004fffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008808b40: 00003a91  add	x0, x0, #0xe80
0xfffffff008808b44: 0190ff90  adrp	x1, #0xfffffff007a08000
0xfffffff008808b48: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008808b4c: e351ffb0  adrp	x3, #0xfffffff007245000
0xfffffff008808b50: 63002691  add	x3, x3, #0x980
0xfffffff008808b54: 02008052  mov	w2, #0
0xfffffff008808b58: 76a9ec97  bl	#0xfffffff008333130
0xfffffff008808b5c: c1fdff17  b	#0xfffffff008808260
