; Candidate 1737
; ADRP+ADD at VM 0xfffffff0084fbe84 (fileoff 0x14f7e84): page=0x1dda000 add_imm=0xd28

0xfffffff0084fbe04: fc7740b9  ldr	w28, [sp, #0x74]
0xfffffff0084fbe08: 689a42f9  ldr	x8, [x19, #0x530]
0xfffffff0084fbe0c: 088951f9  ldr	x8, [x8, #0x2310]
0xfffffff0084fbe10: 180940f9  ldr	x24, [x8, #0x10]
0xfffffff0084fbe14: e00317aa  mov	x0, x23
0xfffffff0084fbe18: 74e55694  bl	#0xfffffff009ab53e8
0xfffffff0084fbe1c: f90300aa  mov	x25, x0
0xfffffff0084fbe20: 082740b9  ldr	w8, [x24, #0x24]
0xfffffff0084fbe24: 0901000b  add	w9, w8, w0
0xfffffff0084fbe28: 2909c81a  udiv	w9, w9, w8
0xfffffff0084fbe2c: 3a7d081b  mul	w26, w9, w8
0xfffffff0084fbe30: 001740f9  ldr	x0, [x24, #0x28]
0xfffffff0084fbe34: 26bfe297  bl	#0xfffffff007dabacc
0xfffffff0084fbe38: 041f40b9  ldr	w4, [x24, #0x1c]
0xfffffff0084fbe3c: f903192a  mov	w25, w25
0xfffffff0084fbe40: 9f001a6b  cmp	w4, w26
0xfffffff0084fbe44: 23100054  b.lo	#0xfffffff0084fc048
0xfffffff0084fbe48: 001740f9  ldr	x0, [x24, #0x28]
0xfffffff0084fbe4c: 3cc2e297  bl	#0xfffffff007dac73c
0xfffffff0084fbe50: 001740f9  ldr	x0, [x24, #0x28]
0xfffffff0084fbe54: 1ebfe297  bl	#0xfffffff007dabacc
0xfffffff0084fbe58: 080b40f9  ldr	x8, [x24, #0x10]
0xfffffff0084fbe5c: 1a7979f8  ldr	x26, [x8, x25, lsl #3]
0xfffffff0084fbe60: ba0000b4  cbz	x26, #0xfffffff0084fbe74
0xfffffff0084fbe64: e0031aaa  mov	x0, x26
0xfffffff0084fbe68: 8ac44d94  bl	#0xfffffff00986d090
0xfffffff0084fbe6c: e0090037  tbnz	w0, #0, #0xfffffff0084fbfa8
0xfffffff0084fbe70: 080b40f9  ldr	x8, [x24, #0x10]
0xfffffff0084fbe74: 1f7939f8  str	xzr, [x8, x25, lsl #3]
0xfffffff0084fbe78: 001740f9  ldr	x0, [x24, #0x28]
0xfffffff0084fbe7c: 30c2e297  bl	#0xfffffff007dac73c
0xfffffff0084fbe80: 1b1b40f9  ldr	x27, [x24, #0x30]
0xfffffff0084fbe84: c0ee00d0  adrp	x0, #0xfffffff00a2d5000
0xfffffff0084fbe88: 00a03491  add	x0, x0, #0xd28
0xfffffff0084fbe8c: 100040f9  ldr	x16, [x0]
0xfffffff0084fbe90: f10300aa  mov	x17, x0
0xfffffff0084fbe94: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0084fbe98: 301ac1da  autda	x16, x17
0xfffffff0084fbe9c: 088e46f8  ldr	x8, [x16, #0x68]!
0xfffffff0084fbea0: e90310aa  mov	x9, x16
0xfffffff0084fbea4: f10309aa  mov	x17, x9
0xfffffff0084fbea8: 31c0e2f2  movk	x17, #0x1601, lsl #48
0xfffffff0084fbeac: 11093fd7  blraa	x8, x17
0xfffffff0084fbeb0: 60e2ffb4  cbz	x0, #0xfffffff0084fbafc
0xfffffff0084fbeb4: fa0300aa  mov	x26, x0
0xfffffff0084fbeb8: e1031baa  mov	x1, x27
0xfffffff0084fbebc: e20317aa  mov	x2, x23
0xfffffff0084fbec0: 51040194  bl	#0xfffffff00853d004
0xfffffff0084fbec4: 60030036  tbz	w0, #0, #0xfffffff0084fbf30
0xfffffff0084fbec8: 001740f9  ldr	x0, [x24, #0x28]
0xfffffff0084fbecc: 00bfe297  bl	#0xfffffff007dabacc
0xfffffff0084fbed0: 080b40f9  ldr	x8, [x24, #0x10]
0xfffffff0084fbed4: 1b7979f8  ldr	x27, [x8, x25, lsl #3]
0xfffffff0084fbed8: db0500b4  cbz	x27, #0xfffffff0084fbf90
0xfffffff0084fbedc: e0031baa  mov	x0, x27
0xfffffff0084fbee0: 6cc44d94  bl	#0xfffffff00986d090
0xfffffff0084fbee4: 40050036  tbz	w0, #0, #0xfffffff0084fbf8c
0xfffffff0084fbee8: 001740f9  ldr	x0, [x24, #0x28]
0xfffffff0084fbeec: 14c2e297  bl	#0xfffffff007dac73c
0xfffffff0084fbef0: 500340f9  ldr	x16, [x26]
0xfffffff0084fbef4: f1031aaa  mov	x17, x26
0xfffffff0084fbef8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0084fbefc: 301ac1da  autda	x16, x17
0xfffffff0084fbf00: 088e42f8  ldr	x8, [x16, #0x28]!
