; Candidate 12630
; ADRP+ADD at VM 0xfffffff0090d2224 (fileoff 0x20ce224): page=0x1fea80000 add_imm=0xea0

0xfffffff0090d21a4: f712ca97  bl	#0xfffffff008356d80
0xfffffff0090d21a8: a8835bf8  ldur	x8, [x29, #-0x48]
0xfffffff0090d21ac: e953ff90  adrp	x9, #0xfffffff007b4e000
0xfffffff0090d21b0: 291d46f9  ldr	x9, [x9, #0xc38]
0xfffffff0090d21b4: 290140f9  ldr	x9, [x9]
0xfffffff0090d21b8: 3f0108eb  cmp	x9, x8
0xfffffff0090d21bc: e1010054  b.ne	#0xfffffff0090d21f8
0xfffffff0090d21c0: e00318aa  mov	x0, x24
0xfffffff0090d21c4: fd7b58a9  ldp	x29, x30, [sp, #0x180]
0xfffffff0090d21c8: f44f57a9  ldp	x20, x19, [sp, #0x170]
0xfffffff0090d21cc: f65756a9  ldp	x22, x21, [sp, #0x160]
0xfffffff0090d21d0: f85f55a9  ldp	x24, x23, [sp, #0x150]
0xfffffff0090d21d4: fa6754a9  ldp	x26, x25, [sp, #0x140]
0xfffffff0090d21d8: ff430691  add	sp, sp, #0x190
0xfffffff0090d21dc: ff0f5fd6  retab	
0xfffffff0090d21e0: f80300aa  mov	x24, x0
0xfffffff0090d21e4: f1ffff17  b	#0xfffffff0090d21a8
0xfffffff0090d21e8: 38018012  mov	w24, #-0xa
0xfffffff0090d21ec: efffff17  b	#0xfffffff0090d21a8
0xfffffff0090d21f0: 18028012  mov	w24, #-0x11
0xfffffff0090d21f4: edffff17  b	#0xfffffff0090d21a8
0xfffffff0090d21f8: 152fb297  bl	#0xfffffff007d5de4c
0xfffffff0090d21fc: 5f2403d5  bti	c
0xfffffff0090d2200: 3d49c817  b	#0xfffffff0082e46f4
0xfffffff0090d2204: 5f2403d5  bti	c
0xfffffff0090d2208: 5899cb17  b	#0xfffffff0083b8768
0xfffffff0090d220c: 7f2303d5  pacibsp	
0xfffffff0090d2210: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0090d2214: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0090d2218: fd430091  add	x29, sp, #0x10
0xfffffff0090d221c: f30300aa  mov	x19, x0
0xfffffff0090d2220: 5299cb97  bl	#0xfffffff0083b8768
0xfffffff0090d2224: 0054ff90  adrp	x0, #0xfffffff007b52000
0xfffffff0090d2228: 00803a91  add	x0, x0, #0xea0
0xfffffff0090d222c: e10313aa  mov	x1, x19
0xfffffff0090d2230: 02058052  mov	w2, #0x28
0xfffffff0090d2234: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0090d2238: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0090d223c: ff2303d5  autibsp	
0xfffffff0090d2240: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0090d2244: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0090d224c
0xfffffff0090d2248: 208e38d4  brk	#0xc471
0xfffffff0090d224c: 1455c817  b	#0xfffffff0082e769c
0xfffffff0090d2250: 5f2403d5  bti	c
0xfffffff0090d2254: 009200d0  adrp	x0, #0xfffffff00a314000
0xfffffff0090d2258: 00e01491  add	x0, x0, #0x538
0xfffffff0090d225c: c0035fd6  ret	
0xfffffff0090d2260: 7f2303d5  pacibsp	
0xfffffff0090d2264: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0090d2268: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0090d226c: fd430091  add	x29, sp, #0x10
0xfffffff0090d2270: 0054ff90  adrp	x0, #0xfffffff007b52000
0xfffffff0090d2274: 00803a91  add	x0, x0, #0xea0
0xfffffff0090d2278: 01058052  mov	w1, #0x28
0xfffffff0090d227c: ef54c897  bl	#0xfffffff0082e7638
0xfffffff0090d2280: f30300aa  mov	x19, x0
0xfffffff0090d2284: 149200d0  adrp	x20, #0xfffffff00a314000
0xfffffff0090d2288: 94e21491  add	x20, x20, #0x538
0xfffffff0090d228c: e10314aa  mov	x1, x20
0xfffffff0090d2290: 2099cb97  bl	#0xfffffff0083b8710
0xfffffff0090d2294: f053ffb0  adrp	x16, #0xfffffff007b4f000
0xfffffff0090d2298: 10c22591  add	x16, x16, #0x970
0xfffffff0090d229c: 10420091  add	x16, x16, #0x10
0xfffffff0090d22a0: f10300aa  mov	x17, x0
