; Candidate 6616
; ADRP+ADD at VM 0xfffffff008835e68 (fileoff 0x1831e68): page=0x1fe9de000 add_imm=0xe0f

0xfffffff008835de8: ffc30191  add	sp, sp, #0x70
0xfffffff008835dec: ff0f5fd6  retab	
0xfffffff008835df0: 0c000000  udf	#0xc
0xfffffff008835df4: 90000000  udf	#0x90
0xfffffff008835df8: b4000000  udf	#0xb4
0xfffffff008835dfc: d8000000  udf	#0xd8
0xfffffff008835e00: fc000000  udf	#0xfc
0xfffffff008835e04: 7f2303d5  pacibsp	
0xfffffff008835e08: ff0302d1  sub	sp, sp, #0x80
0xfffffff008835e0c: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff008835e10: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff008835e14: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff008835e18: fdc30191  add	x29, sp, #0x70
0xfffffff008835e1c: f30300aa  mov	x19, x0
0xfffffff008835e20: 200f8052  mov	w0, #0x79
0xfffffff008835e24: c1008052  mov	w1, #6
0xfffffff008835e28: 6a160194  bl	#0xfffffff00887b7d0
0xfffffff008835e2c: 40020034  cbz	w0, #0xfffffff008835e74
0xfffffff008835e30: 200f8052  mov	w0, #0x79
0xfffffff008835e34: 79160194  bl	#0xfffffff00887b818
0xfffffff008835e38: f50300aa  mov	x21, x0
0xfffffff008835e3c: dcf80194  bl	#0xfffffff0088b41ac
0xfffffff008835e40: f40300aa  mov	x20, x0
0xfffffff008835e44: c0008052  mov	w0, #6
0xfffffff008835e48: 82160194  bl	#0xfffffff00887b850
0xfffffff008835e4c: 75060034  cbz	w21, #0xfffffff008835f18
0xfffffff008835e50: 684fffd0  adrp	x8, #0xfffffff007223000
0xfffffff008835e54: 08510891  add	x8, x8, #0x214
0xfffffff008835e58: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff008835e5c: 280f8052  mov	w8, #0x79
0xfffffff008835e60: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008835e64: f40300f9  str	x20, [sp]
0xfffffff008835e68: e04effd0  adrp	x0, #0xfffffff007213000
0xfffffff008835e6c: 003c3891  add	x0, x0, #0xe0f
0xfffffff008835e70: 7c05d697  bl	#0xfffffff007db7460
0xfffffff008835e74: 930700b4  cbz	x19, #0xfffffff008835f64
0xfffffff008835e78: 680240f9  ldr	x8, [x19]
0xfffffff008835e7c: 280100b4  cbz	x8, #0xfffffff008835ea0
0xfffffff008835e80: 690a40f9  ldr	x9, [x19, #0x10]
0xfffffff008835e84: e90000b4  cbz	x9, #0xfffffff008835ea0
0xfffffff008835e88: 691a40b9  ldr	w9, [x19, #0x18]
0xfffffff008835e8c: 69000034  cbz	w9, #0xfffffff008835e98
0xfffffff008835e90: 082940b9  ldr	w8, [x8, #0x28]
0xfffffff008835e94: 08160037  tbnz	w8, #0, #0xfffffff008836154
0xfffffff008835e98: 14008052  mov	w20, #0
0xfffffff008835e9c: 7f000014  b	#0xfffffff008836098
0xfffffff008835ea0: 200f8052  mov	w0, #0x79
0xfffffff008835ea4: 81008052  mov	w1, #4
0xfffffff008835ea8: 4a160194  bl	#0xfffffff00887b7d0
0xfffffff008835eac: 400c0034  cbz	w0, #0xfffffff008836034
0xfffffff008835eb0: 200f8052  mov	w0, #0x79
0xfffffff008835eb4: 59160194  bl	#0xfffffff00887b818
0xfffffff008835eb8: f50300aa  mov	x21, x0
0xfffffff008835ebc: bcf80194  bl	#0xfffffff0088b41ac
0xfffffff008835ec0: f40300aa  mov	x20, x0
0xfffffff008835ec4: 80008052  mov	w0, #4
0xfffffff008835ec8: 62160194  bl	#0xfffffff00887b850
0xfffffff008835ecc: 15080034  cbz	w21, #0xfffffff008835fcc
0xfffffff008835ed0: 680240f9  ldr	x8, [x19]
0xfffffff008835ed4: 690a40f9  ldr	x9, [x19, #0x10]
0xfffffff008835ed8: 6a0a40b9  ldr	w10, [x19, #8]
0xfffffff008835edc: e82704a9  stp	x8, x9, [sp, #0x40]
0xfffffff008835ee0: f32b03a9  stp	x19, x10, [sp, #0x30]
0xfffffff008835ee4: 684fffd0  adrp	x8, #0xfffffff007223000
