; Candidate 16068
; ADRP+ADD at VM 0xfffffff009e10538 (fileoff 0x2e0c538): page=0x1fd893000 add_imm=0xe00

0xfffffff009e104b8: e92300a9  stp	x9, x8, [sp]
0xfffffff009e104bc: 80c4fef0  adrp	x0, #0xfffffff0076a3000
0xfffffff009e104c0: 00003891  add	x0, x0, #0xe00
0xfffffff009e104c4: c1f8feb0  adrp	x1, #0xfffffff007d29000
0xfffffff009e104c8: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e104cc: 83d0fe90  adrp	x3, #0xfffffff007820000
0xfffffff009e104d0: 63882891  add	x3, x3, #0xa22
0xfffffff009e104d4: 02028052  mov	w2, #0x10
0xfffffff009e104d8: 168b9497  bl	#0xfffffff008333130
0xfffffff009e104dc: c8028052  mov	w8, #0x16
0xfffffff009e104e0: 88a302b9  str	w8, [x28, #0x2a0]
0xfffffff009e104e4: 350400b4  cbz	x21, #0xfffffff009e10568
0xfffffff009e104e8: 88a342b9  ldr	w8, [x28, #0x2a0]
0xfffffff009e104ec: 1f010071  cmp	w8, #0
0xfffffff009e104f0: 240b407a  ccmp	w25, #0, #4, eq
0xfffffff009e104f4: 60030054  b.eq	#0xfffffff009e10560
0xfffffff009e104f8: a90e40f9  ldr	x9, [x21, #0x18]
0xfffffff009e104fc: a81640b9  ldr	w8, [x21, #0x14]
0xfffffff009e10500: a90100b4  cbz	x9, #0xfffffff009e10534
0xfffffff009e10504: e80300f9  str	x8, [sp]
0xfffffff009e10508: 80c4fef0  adrp	x0, #0xfffffff0076a3000
0xfffffff009e1050c: 00003891  add	x0, x0, #0xe00
0xfffffff009e10510: c1f8feb0  adrp	x1, #0xfffffff007d29000
0xfffffff009e10514: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e10518: 83d0fe90  adrp	x3, #0xfffffff007820000
0xfffffff009e1051c: 63642a91  add	x3, x3, #0xa99
0xfffffff009e10520: 42008052  mov	w2, #2
0xfffffff009e10524: 038b9497  bl	#0xfffffff008333130
0xfffffff009e10528: e00315aa  mov	x0, x21
0xfffffff009e1052c: 8b4a0094  bl	#0xfffffff009e22f58
0xfffffff009e10530: 0c000014  b	#0xfffffff009e10560
0xfffffff009e10534: e80300f9  str	x8, [sp]
0xfffffff009e10538: 80c4fef0  adrp	x0, #0xfffffff0076a3000
0xfffffff009e1053c: 00003891  add	x0, x0, #0xe00
0xfffffff009e10540: c1f8feb0  adrp	x1, #0xfffffff007d29000
0xfffffff009e10544: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e10548: 83d0fe90  adrp	x3, #0xfffffff007820000
0xfffffff009e1054c: 63842991  add	x3, x3, #0xa61
0xfffffff009e10550: 02028052  mov	w2, #0x10
0xfffffff009e10554: f78a9497  bl	#0xfffffff008333130
0xfffffff009e10558: c8028052  mov	w8, #0x16
0xfffffff009e1055c: 88a302b9  str	w8, [x28, #0x2a0]
0xfffffff009e10560: e00315aa  mov	x0, x21
0xfffffff009e10564: e24a0094  bl	#0xfffffff009e230ec
0xfffffff009e10568: e00314aa  mov	x0, x20
0xfffffff009e1056c: e2680094  bl	#0xfffffff009e2a8f4
0xfffffff009e10570: e00313aa  mov	x0, x19
0xfffffff009e10574: 03120094  bl	#0xfffffff009e14d80
0xfffffff009e10578: 95a342b9  ldr	w21, [x28, #0x2a0]
0xfffffff009e1057c: bffbff17  b	#0xfffffff009e0f478
0xfffffff009e10580: e80216cb  sub	x8, x23, x22
0xfffffff009e10584: e80300f9  str	x8, [sp]
0xfffffff009e10588: 61d0fef0  adrp	x1, #0xfffffff00781f000
0xfffffff009e1058c: 21903091  add	x1, x1, #0xc24
0xfffffff009e10590: e00314aa  mov	x0, x20
0xfffffff009e10594: a3ab8f97  bl	#0xfffffff0081fb420
0xfffffff009e10598: e00314aa  mov	x0, x20
0xfffffff009e1059c: 0eac8f97  bl	#0xfffffff0081fb5d4
0xfffffff009e105a0: 8001f837  tbnz	w0, #0x1f, #0xfffffff009e105d0
0xfffffff009e105a4: e803002a  mov	w8, w0
0xfffffff009e105a8: 08050091  add	x8, x8, #1
0xfffffff009e105ac: e85f00f9  str	x8, [sp, #0xb8]
0xfffffff009e105b0: e15340f9  ldr	x1, [sp, #0xa0]
0xfffffff009e105b4: e0e30291  add	x0, sp, #0xb8
