; Candidate 9379
; ADRP+ADD at VM 0xfffffff008a357d4 (fileoff 0x1a317d4): page=0x1fe864000 add_imm=0xe40

0xfffffff008a35754: 080240f9  ldr	x8, [x16]
0xfffffff008a35758: e90310aa  mov	x9, x16
0xfffffff008a3575c: e00313aa  mov	x0, x19
0xfffffff008a35760: e10314aa  mov	x1, x20
0xfffffff008a35764: f10309aa  mov	x17, x9
0xfffffff008a35768: d1f9e6f2  movk	x17, #0x37ce, lsl #48
0xfffffff008a3576c: 11093fd7  blraa	x8, x17
0xfffffff008a35770: e00313aa  mov	x0, x19
0xfffffff008a35774: 318df097  bl	#0xfffffff008658c38
0xfffffff008a35778: f50300aa  mov	x21, x0
0xfffffff008a3577c: 700240f9  ldr	x16, [x19]
0xfffffff008a35780: f10313aa  mov	x17, x19
0xfffffff008a35784: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a35788: 301ac1da  autda	x16, x17
0xfffffff008a3578c: f10310aa  mov	x17, x16
0xfffffff008a35790: f147c1da  xpacd	x17
0xfffffff008a35794: 1f0211eb  cmp	x16, x17
0xfffffff008a35798: 40000054  b.eq	#0xfffffff008a357a0
0xfffffff008a3579c: 408e38d4  brk	#0xc472
0xfffffff008a357a0: 08c21191  add	x8, x16, #0x470
0xfffffff008a357a4: 093a42f9  ldr	x9, [x16, #0x470]
0xfffffff008a357a8: e00313aa  mov	x0, x19
0xfffffff008a357ac: e10314aa  mov	x1, x20
0xfffffff008a357b0: f10308aa  mov	x17, x8
0xfffffff008a357b4: d1f9e6f2  movk	x17, #0x37ce, lsl #48
0xfffffff008a357b8: 31093fd7  blraa	x9, x17
0xfffffff008a357bc: e0d301a9  stp	x0, x20, [sp, #0x18]
0xfffffff008a357c0: 56718052  mov	w22, #0x38a
0xfffffff008a357c4: 5743ffb0  adrp	x23, #0xfffffff00729e000
0xfffffff008a357c8: f77a0391  add	x23, x23, #0xde
0xfffffff008a357cc: f7db00a9  stp	x23, x22, [sp, #8]
0xfffffff008a357d0: f50300f9  str	x21, [sp]
0xfffffff008a357d4: 2043ff90  adrp	x0, #0xfffffff007299000
0xfffffff008a357d8: 00003991  add	x0, x0, #0xe40
0xfffffff008a357dc: a180ffd0  adrp	x1, #0xfffffff007a4b000
0xfffffff008a357e0: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a357e4: 6343ff90  adrp	x3, #0xfffffff0072a1000
0xfffffff008a357e8: 63c40791  add	x3, x3, #0x1f1
0xfffffff008a357ec: 02028052  mov	w2, #0x10
0xfffffff008a357f0: 50f6e397  bl	#0xfffffff008333130
0xfffffff008a357f4: e00313aa  mov	x0, x19
0xfffffff008a357f8: 108df097  bl	#0xfffffff008658c38
0xfffffff008a357fc: f50300aa  mov	x21, x0
0xfffffff008a35800: 700240f9  ldr	x16, [x19]
0xfffffff008a35804: f10313aa  mov	x17, x19
0xfffffff008a35808: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a3580c: 301ac1da  autda	x16, x17
0xfffffff008a35810: f10310aa  mov	x17, x16
0xfffffff008a35814: f147c1da  xpacd	x17
0xfffffff008a35818: 1f0211eb  cmp	x16, x17
0xfffffff008a3581c: 40000054  b.eq	#0xfffffff008a35824
0xfffffff008a35820: 408e38d4  brk	#0xc472
0xfffffff008a35824: 08c21191  add	x8, x16, #0x470
0xfffffff008a35828: 093a42f9  ldr	x9, [x16, #0x470]
0xfffffff008a3582c: e00313aa  mov	x0, x19
0xfffffff008a35830: e10314aa  mov	x1, x20
0xfffffff008a35834: f10308aa  mov	x17, x8
0xfffffff008a35838: d1f9e6f2  movk	x17, #0x37ce, lsl #48
0xfffffff008a3583c: 31093fd7  blraa	x9, x17
0xfffffff008a35840: e0d301a9  stp	x0, x20, [sp, #0x18]
0xfffffff008a35844: f7db00a9  stp	x23, x22, [sp, #8]
0xfffffff008a35848: f50300f9  str	x21, [sp]
0xfffffff008a3584c: 4043ffb0  adrp	x0, #0xfffffff00729e000
0xfffffff008a35850: 00e40391  add	x0, x0, #0xf9
