; Candidate 16544
; ADRP+ADD at VM 0xfffffff009ed8770 (fileoff 0x2ed4770): page=0x1fd96f000 add_imm=0xed0

0xfffffff009ed86f0: 546a9197  bl	#0xfffffff008333040
0xfffffff009ed86f4: 083e8452  mov	w8, #0x21f0
0xfffffff009ed86f8: 7702088b  add	x23, x19, x8
0xfffffff009ed86fc: 94064079  ldrh	w20, [x20, #2]
0xfffffff009ed8700: 686240f9  ldr	x8, [x19, #0xc0]
0xfffffff009ed8704: 00c10f91  add	x0, x8, #0x3f0
0xfffffff009ed8708: ca699197  bl	#0xfffffff008332e30
0xfffffff009ed870c: 60000034  cbz	w0, #0xfffffff009ed8718
0xfffffff009ed8710: c86640f9  ldr	x8, [x22, #0xc8]
0xfffffff009ed8714: 158942f9  ldr	x21, [x8, #0x510]
0xfffffff009ed8718: f4d701a9  stp	x20, x21, [sp, #0x18]
0xfffffff009ed871c: 68cbfef0  adrp	x8, #0xfffffff007847000
0xfffffff009ed8720: 08913991  add	x8, x8, #0xe64
0xfffffff009ed8724: a96b8752  mov	w9, #0x3b5d
0xfffffff009ed8728: e9df00a9  stp	x9, x23, [sp, #8]
0xfffffff009ed872c: e80300f9  str	x8, [sp]
0xfffffff009ed8730: 60cbfef0  adrp	x0, #0xfffffff007847000
0xfffffff009ed8734: 00243d91  add	x0, x0, #0xf49
0xfffffff009ed8738: 639cfe97  bl	#0xfffffff009e7f8c4
0xfffffff009ed873c: 53008052  mov	w19, #2
0xfffffff009ed8740: 10000014  b	#0xfffffff009ed8780
0xfffffff009ed8744: 13008052  mov	w19, #0
0xfffffff009ed8748: e00315aa  mov	x0, x21
0xfffffff009ed874c: 3d7a0194  bl	#0xfffffff009f37040
0xfffffff009ed8750: 0c000014  b	#0xfffffff009ed8780
0xfffffff009ed8754: 083e8452  mov	w8, #0x21f0
0xfffffff009ed8758: 6802088b  add	x8, x19, x8
0xfffffff009ed875c: 89688752  mov	w9, #0x3b44
0xfffffff009ed8760: 6acbfef0  adrp	x10, #0xfffffff007847000
0xfffffff009ed8764: 4a913991  add	x10, x10, #0xe64
0xfffffff009ed8768: ea2700a9  stp	x10, x9, [sp]
0xfffffff009ed876c: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009ed8770: 60cbfef0  adrp	x0, #0xfffffff007847000
0xfffffff009ed8774: 00403b91  add	x0, x0, #0xed0
0xfffffff009ed8778: 539cfe97  bl	#0xfffffff009e7f8c4
0xfffffff009ed877c: d3028052  mov	w19, #0x16
0xfffffff009ed8780: a8835cf8  ldur	x8, [x29, #-0x38]
0xfffffff009ed8784: a9f2fed0  adrp	x9, #0xfffffff007d2e000
0xfffffff009ed8788: 29d147f9  ldr	x9, [x9, #0xfa0]
0xfffffff009ed878c: 290140f9  ldr	x9, [x9]
0xfffffff009ed8790: 3f0108eb  cmp	x9, x8
0xfffffff009ed8794: 01010054  b.ne	#0xfffffff009ed87b4
0xfffffff009ed8798: e00313aa  mov	x0, x19
0xfffffff009ed879c: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff009ed87a0: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff009ed87a4: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff009ed87a8: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff009ed87ac: ff830291  add	sp, sp, #0xa0
0xfffffff009ed87b0: ff0f5fd6  retab	
0xfffffff009ed87b4: a6157a97  bl	#0xfffffff007d5de4c
0xfffffff009ed87b8: 7f2303d5  pacibsp	
0xfffffff009ed87bc: ff4301d1  sub	sp, sp, #0x50
0xfffffff009ed87c0: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff009ed87c4: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff009ed87c8: fd030191  add	x29, sp, #0x40
0xfffffff009ed87cc: f30300aa  mov	x19, x0
0xfffffff009ed87d0: a0831ef8  stur	x0, [x29, #-0x18]
0xfffffff009ed87d4: 810200b4  cbz	x1, #0xfffffff009ed8824
0xfffffff009ed87d8: f40301aa  mov	x20, x1
0xfffffff009ed87dc: 28744239  ldrb	w8, [x1, #0x9d]
0xfffffff009ed87e0: 1f051a72  tst	w8, #0xc0
0xfffffff009ed87e4: 00020054  b.eq	#0xfffffff009ed8824
0xfffffff009ed87e8: e00313aa  mov	x0, x19
0xfffffff009ed87ec: 010080d2  mov	x1, #0
