; Candidate 4223
; ADRP+ADD at VM 0xfffffff00879744c (fileoff 0x179344c): page=0x1fe99a000 add_imm=0xd90

0xfffffff0087973cc: bf02186b  cmp	w21, w24
0xfffffff0087973d0: e0020054  b.eq	#0xfffffff00879742c
0xfffffff0087973d4: f5e8ff34  cbz	w21, #0xfffffff0087970f0
0xfffffff0087973d8: bf02196b  cmp	w21, w25
0xfffffff0087973dc: 80020054  b.eq	#0xfffffff00879742c
0xfffffff0087973e0: 20008052  mov	w0, #1
0xfffffff0087973e4: 01ffee97  bl	#0xfffffff008356fe8
0xfffffff0087973e8: d6060011  add	w22, w22, #1
0xfffffff0087973ec: f7424011  add	w23, w23, #0x10, lsl #12
0xfffffff0087973f0: e8ffff17  b	#0xfffffff008797390
0xfffffff0087973f4: 284eff90  adrp	x8, #0xfffffff00715b000
0xfffffff0087973f8: 08451491  add	x8, x8, #0x511
0xfffffff0087973fc: e80300f9  str	x8, [sp]
0xfffffff008797400: c04cffd0  adrp	x0, #0xfffffff007131000
0xfffffff008797404: 00403691  add	x0, x0, #0xd90
0xfffffff008797408: 2193ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00879740c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008797410: 834dffb0  adrp	x3, #0xfffffff007148000
0xfffffff008797414: 63682391  add	x3, x3, #0x8da
0xfffffff008797418: 02008052  mov	w2, #0
0xfffffff00879741c: 456fee97  bl	#0xfffffff008333130
0xfffffff008797420: 95268052  mov	w21, #0x134
0xfffffff008797424: 7dffff17  b	#0xfffffff008797218
0xfffffff008797428: 36778152  mov	w22, #0xbb9
0xfffffff00879742c: 684241b9  ldr	w8, [x19, #0x140]
0xfffffff008797430: 69726cb9  ldr	w9, [x19, #0x2c70]
0xfffffff008797434: 8a6240b9  ldr	w10, [x20, #0x60]
0xfffffff008797438: ea5702a9  stp	x10, x21, [sp, #0x20]
0xfffffff00879743c: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff008797440: 284eff90  adrp	x8, #0xfffffff00715b000
0xfffffff008797444: 08a91491  add	x8, x8, #0x52a
0xfffffff008797448: e85b00a9  stp	x8, x22, [sp]
0xfffffff00879744c: c04cffd0  adrp	x0, #0xfffffff007131000
0xfffffff008797450: 00403691  add	x0, x0, #0xd90
0xfffffff008797454: 2193ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff008797458: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879745c: 834dffb0  adrp	x3, #0xfffffff007148000
0xfffffff008797460: 63c02491  add	x3, x3, #0x930
0xfffffff008797464: 02008052  mov	w2, #0
0xfffffff008797468: 326fee97  bl	#0xfffffff008333130
0xfffffff00879746c: 686e40f9  ldr	x8, [x19, #0xd8]
0xfffffff008797470: 69726cb9  ldr	w9, [x19, #0x2c70]
0xfffffff008797474: 080d098b  add	x8, x8, x9, lsl #3
0xfffffff008797478: 005d40f9  ldr	x0, [x8, #0xb8]
0xfffffff00879747c: 45ddfe97  bl	#0xfffffff00874e990
0xfffffff008797480: 95e3ff34  cbz	w21, #0xfffffff0087970f0
0xfffffff008797484: 284eff90  adrp	x8, #0xfffffff00715b000
0xfffffff008797488: 08451491  add	x8, x8, #0x511
0xfffffff00879748c: e80300f9  str	x8, [sp]
0xfffffff008797490: c04cffd0  adrp	x0, #0xfffffff007131000
0xfffffff008797494: 00403691  add	x0, x0, #0xd90
0xfffffff008797498: 2193ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00879749c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087974a0: 834dffb0  adrp	x3, #0xfffffff007148000
0xfffffff0087974a4: 63fc2591  add	x3, x3, #0x97f
0xfffffff0087974a8: 02008052  mov	w2, #0
0xfffffff0087974ac: 216fee97  bl	#0xfffffff008333130
0xfffffff0087974b0: 3bffff17  b	#0xfffffff00879719c
0xfffffff0087974b4: 7f2303d5  pacibsp	
0xfffffff0087974b8: ff8301d1  sub	sp, sp, #0x60
0xfffffff0087974bc: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff0087974c0: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff0087974c4: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff0087974c8: fd7b05a9  stp	x29, x30, [sp, #0x50]
