; Candidate 5057
; ADRP+ADD at VM 0xfffffff0087d5444 (fileoff 0x17d1444): page=0x1fea14000 add_imm=0xe80

0xfffffff0087d53c4: 00050034  cbz	w0, #0xfffffff0087d5464
0xfffffff0087d53c8: 600e8052  mov	w0, #0x73
0xfffffff0087d53cc: 13990294  bl	#0xfffffff00887b818
0xfffffff0087d53d0: f80300aa  mov	x24, x0
0xfffffff0087d53d4: 767b0394  bl	#0xfffffff0088b41ac
0xfffffff0087d53d8: f70300aa  mov	x23, x0
0xfffffff0087d53dc: c0008052  mov	w0, #6
0xfffffff0087d53e0: 1c990294  bl	#0xfffffff00887b850
0xfffffff0087d53e4: 98010034  cbz	w24, #0xfffffff0087d5414
0xfffffff0087d53e8: f55b03a9  stp	x21, x22, [sp, #0x30]
0xfffffff0087d53ec: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff0087d53f0: e851ff90  adrp	x8, #0xfffffff007211000
0xfffffff0087d53f4: 08f92791  add	x8, x8, #0x9fe
0xfffffff0087d53f8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087d53fc: 680e8052  mov	w8, #0x73
0xfffffff0087d5400: e051ff90  adrp	x0, #0xfffffff007211000
0xfffffff0087d5404: 00442b91  add	x0, x0, #0xad1
0xfffffff0087d5408: f72300a9  stp	x23, x8, [sp]
0xfffffff0087d540c: 1588d797  bl	#0xfffffff007db7460
0xfffffff0087d5410: 15000014  b	#0xfffffff0087d5464
0xfffffff0087d5414: 667b0394  bl	#0xfffffff0088b41ac
0xfffffff0087d5418: f70300aa  mov	x23, x0
0xfffffff0087d541c: c0008052  mov	w0, #6
0xfffffff0087d5420: 0c990294  bl	#0xfffffff00887b850
0xfffffff0087d5424: e80316aa  mov	x8, x22
0xfffffff0087d5428: f52303a9  stp	x21, x8, [sp, #0x30]
0xfffffff0087d542c: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff0087d5430: e851ff90  adrp	x8, #0xfffffff007211000
0xfffffff0087d5434: 08f92791  add	x8, x8, #0x9fe
0xfffffff0087d5438: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087d543c: 680e8052  mov	w8, #0x73
0xfffffff0087d5440: f72300a9  stp	x23, x8, [sp]
0xfffffff0087d5444: a050ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087d5448: 00003a91  add	x0, x0, #0xe80
0xfffffff0087d544c: 8191fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087d5450: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087d5454: 2353ffd0  adrp	x3, #0xfffffff00723b000
0xfffffff0087d5458: 63ec1891  add	x3, x3, #0x63b
0xfffffff0087d545c: 02008052  mov	w2, #0
0xfffffff0087d5460: 3477ed97  bl	#0xfffffff008333130
0xfffffff0087d5464: e00316aa  mov	x0, x22
0xfffffff0087d5468: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff0087d546c: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff0087d5470: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff0087d5474: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff0087d5478: ff430291  add	sp, sp, #0x90
0xfffffff0087d547c: ff0f5fd6  retab	
0xfffffff0087d5480: 4b7b0394  bl	#0xfffffff0088b41ac
0xfffffff0087d5484: f70300aa  mov	x23, x0
0xfffffff0087d5488: 80008052  mov	w0, #4
0xfffffff0087d548c: f1980294  bl	#0xfffffff00887b850
0xfffffff0087d5490: e851ff90  adrp	x8, #0xfffffff007211000
0xfffffff0087d5494: 08cd2a91  add	x8, x8, #0xab3
0xfffffff0087d5498: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff0087d549c: 68908052  mov	w8, #0x483
0xfffffff0087d54a0: e951ff90  adrp	x9, #0xfffffff007211000
0xfffffff0087d54a4: 29f92791  add	x9, x9, #0x9fe
0xfffffff0087d54a8: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087d54ac: c851fff0  adrp	x8, #0xfffffff007210000
0xfffffff0087d54b0: 08712591  add	x8, x8, #0x95c
0xfffffff0087d54b4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087d54b8: 680e8052  mov	w8, #0x73
0xfffffff0087d54bc: f72300a9  stp	x23, x8, [sp]
0xfffffff0087d54c0: a050ff90  adrp	x0, #0xfffffff0071e9000
