; Candidate 7350
; ADRP+ADD at VM 0xfffffff0088693d8 (fileoff 0x18653d8): page=0x1fe9c0000 add_imm=0xde9

0xfffffff008869358: 6523ff97  bl	#0xfffffff0088320ec
0xfffffff00886935c: f60300aa  mov	x22, x0
0xfffffff008869360: 80000035  cbnz	w0, #0xfffffff008869370
0xfffffff008869364: 887240b9  ldr	w8, [x20, #0x70]
0xfffffff008869368: 08050011  add	w8, w8, #1
0xfffffff00886936c: 887200b9  str	w8, [x20, #0x70]
0xfffffff008869370: 600c8052  mov	w0, #0x63
0xfffffff008869374: e1008052  mov	w1, #7
0xfffffff008869378: 16490094  bl	#0xfffffff00887b7d0
0xfffffff00886937c: e0060034  cbz	w0, #0xfffffff008869458
0xfffffff008869380: 600c8052  mov	w0, #0x63
0xfffffff008869384: 25490094  bl	#0xfffffff00887b818
0xfffffff008869388: f80300aa  mov	x24, x0
0xfffffff00886938c: 882b0194  bl	#0xfffffff0088b41ac
0xfffffff008869390: f70300aa  mov	x23, x0
0xfffffff008869394: e0008052  mov	w0, #7
0xfffffff008869398: 2e490094  bl	#0xfffffff00887b850
0xfffffff00886939c: 98020034  cbz	w24, #0xfffffff0088693ec
0xfffffff0088693a0: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff0088693a4: 8a7240b9  ldr	w10, [x20, #0x70]
0xfffffff0088693a8: e90315aa  mov	x9, x21
0xfffffff0088693ac: e9ab04a9  stp	x9, x10, [sp, #0x48]
0xfffffff0088693b0: e8d303a9  stp	x8, x20, [sp, #0x38]
0xfffffff0088693b4: a8058152  mov	w8, #0x82d
0xfffffff0088693b8: 094eff90  adrp	x9, #0xfffffff007229000
0xfffffff0088693bc: 29893791  add	x9, x9, #0xde2
0xfffffff0088693c0: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0088693c4: e84dffd0  adrp	x8, #0xfffffff007227000
0xfffffff0088693c8: 08811191  add	x8, x8, #0x460
0xfffffff0088693cc: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088693d0: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0088693d4: 680c8052  mov	w8, #0x63
0xfffffff0088693d8: 004eff90  adrp	x0, #0xfffffff007229000
0xfffffff0088693dc: 00a43791  add	x0, x0, #0xde9
0xfffffff0088693e0: f72300a9  stp	x23, x8, [sp]
0xfffffff0088693e4: 1f38d597  bl	#0xfffffff007db7460
0xfffffff0088693e8: 1c000014  b	#0xfffffff008869458
0xfffffff0088693ec: 702b0194  bl	#0xfffffff0088b41ac
0xfffffff0088693f0: f70300aa  mov	x23, x0
0xfffffff0088693f4: e0008052  mov	w0, #7
0xfffffff0088693f8: 16490094  bl	#0xfffffff00887b850
0xfffffff0088693fc: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff008869400: 8a7240b9  ldr	w10, [x20, #0x70]
0xfffffff008869404: e90315aa  mov	x9, x21
0xfffffff008869408: e9ab04a9  stp	x9, x10, [sp, #0x48]
0xfffffff00886940c: e8d303a9  stp	x8, x20, [sp, #0x38]
0xfffffff008869410: a8058152  mov	w8, #0x82d
0xfffffff008869414: 094eff90  adrp	x9, #0xfffffff007229000
0xfffffff008869418: 29893791  add	x9, x9, #0xde2
0xfffffff00886941c: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff008869420: e84dffd0  adrp	x8, #0xfffffff007227000
0xfffffff008869424: 08811191  add	x8, x8, #0x460
0xfffffff008869428: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00886942c: 680c8052  mov	w8, #0x63
0xfffffff008869430: 634fffd0  adrp	x3, #0xfffffff007257000
0xfffffff008869434: 63a43e91  add	x3, x3, #0xfa9
0xfffffff008869438: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00886943c: f70300f9  str	x23, [sp]
0xfffffff008869440: 004cff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008869444: 00003a91  add	x0, x0, #0xe80
0xfffffff008869448: e18cfff0  adrp	x1, #0xfffffff007a08000
0xfffffff00886944c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008869450: 02008052  mov	w2, #0
0xfffffff008869454: 3727eb97  bl	#0xfffffff008333130
