; Candidate 2619
; ADRP+ADD at VM 0xfffffff0086d5780 (fileoff 0x16d1780): page=0x1fea5c000 add_imm=0xd90

0xfffffff0086d5700: 084000f9  str	x8, [x0, #0x80]
0xfffffff0086d5704: 010003ad  stp	q1, q0, [x0, #0x60]
0xfffffff0086d5708: 0214803d  str	q2, [x0, #0x50]
0xfffffff0086d570c: 1f8800b9  str	wzr, [x0, #0x88]
0xfffffff0086d5710: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff0086d5714: e083823c  stur	q0, [sp, #0x28]
0xfffffff0086d5718: e083833c  stur	q0, [sp, #0x38]
0xfffffff0086d571c: e00744ad  ldp	q0, q1, [sp, #0x80]
0xfffffff0086d5720: 800603ad  stp	q0, q1, [x20, #0x60]
0xfffffff0086d5724: e85340f9  ldr	x8, [sp, #0xa0]
0xfffffff0086d5728: 884200f9  str	x8, [x20, #0x80]
0xfffffff0086d572c: e10343ad  ldp	q1, q0, [sp, #0x60]
0xfffffff0086d5730: 810202ad  stp	q1, q0, [x20, #0x40]
0xfffffff0086d5734: e10342ad  ldp	q1, q0, [sp, #0x40]
0xfffffff0086d5738: 810201ad  stp	q1, q0, [x20, #0x20]
0xfffffff0086d573c: e10341ad  ldp	q1, q0, [sp, #0x20]
0xfffffff0086d5740: 810200ad  stp	q1, q0, [x20]
0xfffffff0086d5744: 600e40f9  ldr	x0, [x19, #0x18]
0xfffffff0086d5748: e158db97  bl	#0xfffffff007dabacc
0xfffffff0086d574c: 680640f9  ldr	x8, [x19, #8]
0xfffffff0086d5750: 880000b4  cbz	x8, #0xfffffff0086d5760
0xfffffff0086d5754: 680a40f9  ldr	x8, [x19, #0x10]
0xfffffff0086d5758: a84e00f9  str	x8, [x21, #0x98]
0xfffffff0086d575c: 1b810291  add	x27, x8, #0xa0
0xfffffff0086d5760: 14008052  mov	w20, #0
0xfffffff0086d5764: 750300f9  str	x21, [x27]
0xfffffff0086d5768: 750a00f9  str	x21, [x19, #0x10]
0xfffffff0086d576c: 10000014  b	#0xfffffff0086d57ac
0xfffffff0086d5770: f9d300a9  stp	x25, x20, [sp, #8]
0xfffffff0086d5774: c853ffb0  adrp	x8, #0xfffffff00714e000
0xfffffff0086d5778: 08fd3f91  add	x8, x8, #0xfff
0xfffffff0086d577c: e80300f9  str	x8, [sp]
0xfffffff0086d5780: e052ff90  adrp	x0, #0xfffffff007131000
0xfffffff0086d5784: 00403691  add	x0, x0, #0xd90
0xfffffff0086d5788: 4199ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0086d578c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086d5790: e352ffb0  adrp	x3, #0xfffffff007132000
0xfffffff0086d5794: 636c1691  add	x3, x3, #0x59b
0xfffffff0086d5798: 02008052  mov	w2, #0
0xfffffff0086d579c: 6576f197  bl	#0xfffffff008333130
0xfffffff0086d57a0: 485c8052  mov	w8, #0x2e2
0xfffffff0086d57a4: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff0086d57a8: 14990051  sub	w20, w8, #0x26
0xfffffff0086d57ac: 600e40f9  ldr	x0, [x19, #0x18]
0xfffffff0086d57b0: e35bdb97  bl	#0xfffffff007dac73c
0xfffffff0086d57b4: e00314aa  mov	x0, x20
0xfffffff0086d57b8: fd7b54a9  ldp	x29, x30, [sp, #0x140]
0xfffffff0086d57bc: f44f53a9  ldp	x20, x19, [sp, #0x130]
0xfffffff0086d57c0: f65752a9  ldp	x22, x21, [sp, #0x120]
0xfffffff0086d57c4: f85f51a9  ldp	x24, x23, [sp, #0x110]
0xfffffff0086d57c8: fa6750a9  ldp	x26, x25, [sp, #0x100]
0xfffffff0086d57cc: fc6f4fa9  ldp	x28, x27, [sp, #0xf0]
0xfffffff0086d57d0: ff430591  add	sp, sp, #0x150
0xfffffff0086d57d4: ff0f5fd6  retab	
0xfffffff0086d57d8: 5f2403d5  bti	c
0xfffffff0086d57dc: 000440f9  ldr	x0, [x0, #8]
0xfffffff0086d57e0: 200100b4  cbz	x0, #0xfffffff0086d5804
0xfffffff0086d57e4: 080040f9  ldr	x8, [x0]
0xfffffff0086d57e8: 1f0102eb  cmp	x8, x2
0xfffffff0086d57ec: 81000054  b.ne	#0xfffffff0086d57fc
0xfffffff0086d57f0: 087840b9  ldr	w8, [x0, #0x78]
0xfffffff0086d57f4: 1f01016b  cmp	w8, w1
0xfffffff0086d57f8: 60000054  b.eq	#0xfffffff0086d5804
0xfffffff0086d57fc: 005040f9  ldr	x0, [x0, #0xa0]
