; Candidate 5227
; ADRP+ADD at VM 0xfffffff0087e0d50 (fileoff 0x17dcd50): page=0x1fea09000 add_imm=0xe80

0xfffffff0087e0cd0: 63141c91  add	x3, x3, #0x705
0xfffffff0087e0cd4: 02008052  mov	w2, #0
0xfffffff0087e0cd8: 1649ed97  bl	#0xfffffff008333130
0xfffffff0087e0cdc: e00314aa  mov	x0, x20
0xfffffff0087e0ce0: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff0087e0ce4: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff0087e0ce8: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff0087e0cec: ff830291  add	sp, sp, #0xa0
0xfffffff0087e0cf0: ff0f5fd6  retab	
0xfffffff0087e0cf4: 2e4d0394  bl	#0xfffffff0088b41ac
0xfffffff0087e0cf8: f40300aa  mov	x20, x0
0xfffffff0087e0cfc: 80008052  mov	w0, #4
0xfffffff0087e0d00: d46a0294  bl	#0xfffffff00887b850
0xfffffff0087e0d04: 686e40f9  ldr	x8, [x19, #0xd8]
0xfffffff0087e0d08: 69aa40f9  ldr	x9, [x19, #0x150]
0xfffffff0087e0d0c: 6aee40b9  ldr	w10, [x19, #0xec]
0xfffffff0087e0d10: e8a704a9  stp	x8, x9, [sp, #0x48]
0xfffffff0087e0d14: f3ab03a9  stp	x19, x10, [sp, #0x38]
0xfffffff0087e0d18: 8851ffd0  adrp	x8, #0xfffffff007212000
0xfffffff0087e0d1c: 0be91f91  add	x11, x8, #0x7fa
0xfffffff0087e0d20: a87e8052  mov	w8, #0x3f5
0xfffffff0087e0d24: 8951ffd0  adrp	x9, #0xfffffff007212000
0xfffffff0087e0d28: 29491e91  add	x9, x9, #0x792
0xfffffff0087e0d2c: e8af02a9  stp	x8, x11, [sp, #0x28]
0xfffffff0087e0d30: 8851ffd0  adrp	x8, #0xfffffff007212000
0xfffffff0087e0d34: 081d0291  add	x8, x8, #0x87
0xfffffff0087e0d38: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087e0d3c: 280a8052  mov	w8, #0x51
0xfffffff0087e0d40: e352ff90  adrp	x3, #0xfffffff00723c000
0xfffffff0087e0d44: 63381b91  add	x3, x3, #0x6ce
0xfffffff0087e0d48: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087e0d4c: f40300f9  str	x20, [sp]
0xfffffff0087e0d50: 4050ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087e0d54: 00003a91  add	x0, x0, #0xe80
0xfffffff0087e0d58: 4191ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087e0d5c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087e0d60: 02008052  mov	w2, #0
0xfffffff0087e0d64: f348ed97  bl	#0xfffffff008333130
0xfffffff0087e0d68: a1ffff17  b	#0xfffffff0087e0bec
0xfffffff0087e0d6c: 7f2303d5  pacibsp	
0xfffffff0087e0d70: ffc301d1  sub	sp, sp, #0x70
0xfffffff0087e0d74: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff0087e0d78: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff0087e0d7c: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff0087e0d80: fd830191  add	x29, sp, #0x60
0xfffffff0087e0d84: f30300aa  mov	x19, x0
0xfffffff0087e0d88: 200a8052  mov	w0, #0x51
0xfffffff0087e0d8c: c1008052  mov	w1, #6
0xfffffff0087e0d90: 906a0294  bl	#0xfffffff00887b7d0
0xfffffff0087e0d94: a0050034  cbz	w0, #0xfffffff0087e0e48
0xfffffff0087e0d98: 200a8052  mov	w0, #0x51
0xfffffff0087e0d9c: 9f6a0294  bl	#0xfffffff00887b818
0xfffffff0087e0da0: f50300aa  mov	x21, x0
0xfffffff0087e0da4: 024d0394  bl	#0xfffffff0088b41ac
0xfffffff0087e0da8: f40300aa  mov	x20, x0
0xfffffff0087e0dac: c0008052  mov	w0, #6
0xfffffff0087e0db0: a86a0294  bl	#0xfffffff00887b850
0xfffffff0087e0db4: f5010034  cbz	w21, #0xfffffff0087e0df0
0xfffffff0087e0db8: 68ee40b9  ldr	w8, [x19, #0xec]
0xfffffff0087e0dbc: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff0087e0dc0: 8851ffd0  adrp	x8, #0xfffffff007212000
0xfffffff0087e0dc4: 09dd2091  add	x9, x8, #0x837
0xfffffff0087e0dc8: 8851ffd0  adrp	x8, #0xfffffff007212000
0xfffffff0087e0dcc: 081d0291  add	x8, x8, #0x87
