; Candidate 10871
; ADRP+ADD at VM 0xfffffff008deadec (fileoff 0x1de6dec): page=0x1fe5da000 add_imm=0xe15

0xfffffff008dead6c: e14200d1  sub	x1, x23, #0x10
0xfffffff008dead70: e2c30091  add	x2, sp, #0x30
0xfffffff008dead74: e3e30091  add	x3, sp, #0x38
0xfffffff008dead78: 43fcff97  bl	#0xfffffff008de9e84
0xfffffff008dead7c: a0080035  cbnz	w0, #0xfffffff008deae90
0xfffffff008dead80: e81f40f9  ldr	x8, [sp, #0x38]
0xfffffff008dead84: 08410091  add	x8, x8, #0x10
0xfffffff008dead88: e90208cb  sub	x9, x23, x8
0xfffffff008dead8c: 3f0d00f1  cmp	x9, #3
0xfffffff008dead90: 090a0054  b.ls	#0xfffffff008deaed0
0xfffffff008dead94: 13008052  mov	w19, #0
0xfffffff008dead98: c86a68b8  ldr	w8, [x22, x8]
0xfffffff008dead9c: a80200b9  str	w8, [x21]
0xfffffff008deada0: e81b40f9  ldr	x8, [sp, #0x30]
0xfffffff008deada4: 880200f9  str	x8, [x20]
0xfffffff008deada8: e00313aa  mov	x0, x19
0xfffffff008deadac: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff008deadb0: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff008deadb4: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff008deadb8: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff008deadbc: ff030291  add	sp, sp, #0x80
0xfffffff008deadc0: ff0f5fd6  retab	
0xfffffff008deadc4: 48c38052  mov	w8, #0x61a
0xfffffff008deadc8: c92eff90  adrp	x9, #0xfffffff0073c2000
0xfffffff008deadcc: 29e92e91  add	x9, x9, #0xbba
0xfffffff008deadd0: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff008deadd4: c82effd0  adrp	x8, #0xfffffff0073c4000
0xfffffff008deadd8: 08493991  add	x8, x8, #0xe52
0xfffffff008deaddc: ca2eff90  adrp	x10, #0xfffffff0073c2000
0xfffffff008deade0: 4a393391  add	x10, x10, #0xcce
0xfffffff008deade4: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff008deade8: ea0300f9  str	x10, [sp]
0xfffffff008deadec: c02effd0  adrp	x0, #0xfffffff0073c4000
0xfffffff008deadf0: 00543891  add	x0, x0, #0xe15
0xfffffff008deadf4: 8bb0d597  bl	#0xfffffff008357020
0xfffffff008deadf8: 53008012  mov	w19, #-3
0xfffffff008deadfc: ebffff17  b	#0xfffffff008deada8
0xfffffff008deae00: 68c38052  mov	w8, #0x61b
0xfffffff008deae04: c92eff90  adrp	x9, #0xfffffff0073c2000
0xfffffff008deae08: 29e92e91  add	x9, x9, #0xbba
0xfffffff008deae0c: e81300f9  str	x8, [sp, #0x20]
0xfffffff008deae10: c82effd0  adrp	x8, #0xfffffff0073c4000
0xfffffff008deae14: 08493991  add	x8, x8, #0xe52
0xfffffff008deae18: ca2effb0  adrp	x10, #0xfffffff0073c3000
0xfffffff008deae1c: 4a691391  add	x10, x10, #0x4da
0xfffffff008deae20: 34000014  b	#0xfffffff008deaef0
0xfffffff008deae24: 88c38052  mov	w8, #0x61c
0xfffffff008deae28: c92eff90  adrp	x9, #0xfffffff0073c2000
0xfffffff008deae2c: 29e92e91  add	x9, x9, #0xbba
0xfffffff008deae30: e81300f9  str	x8, [sp, #0x20]
0xfffffff008deae34: c82effd0  adrp	x8, #0xfffffff0073c4000
0xfffffff008deae38: 08493991  add	x8, x8, #0xe52
0xfffffff008deae3c: ca2eff90  adrp	x10, #0xfffffff0073c2000
0xfffffff008deae40: 4acd2e91  add	x10, x10, #0xbb3
0xfffffff008deae44: 2b000014  b	#0xfffffff008deaef0
0xfffffff008deae48: a8c38052  mov	w8, #0x61d
0xfffffff008deae4c: c92eff90  adrp	x9, #0xfffffff0073c2000
0xfffffff008deae50: 29e92e91  add	x9, x9, #0xbba
0xfffffff008deae54: e81300f9  str	x8, [sp, #0x20]
0xfffffff008deae58: c82effd0  adrp	x8, #0xfffffff0073c4000
0xfffffff008deae5c: 08493991  add	x8, x8, #0xe52
0xfffffff008deae60: ca2effd0  adrp	x10, #0xfffffff0073c4000
0xfffffff008deae64: 4a1d3991  add	x10, x10, #0xe47
0xfffffff008deae68: 22000014  b	#0xfffffff008deaef0
