; Candidate 6963
; ADRP+ADD at VM 0xfffffff00884ce78 (fileoff 0x1848e78): page=0x1fe99d000 add_imm=0xe80

0xfffffff00884cdf8: e00316aa  mov	x0, x22
0xfffffff00884cdfc: fd7b4aa9  ldp	x29, x30, [sp, #0xa0]
0xfffffff00884ce00: f44f49a9  ldp	x20, x19, [sp, #0x90]
0xfffffff00884ce04: f65748a9  ldp	x22, x21, [sp, #0x80]
0xfffffff00884ce08: f85f47a9  ldp	x24, x23, [sp, #0x70]
0xfffffff00884ce0c: ffc30291  add	sp, sp, #0xb0
0xfffffff00884ce10: ff0f5fd6  retab	
0xfffffff00884ce14: e69c0194  bl	#0xfffffff0088b41ac
0xfffffff00884ce18: f70300aa  mov	x23, x0
0xfffffff00884ce1c: 80008052  mov	w0, #4
0xfffffff00884ce20: 8cba0094  bl	#0xfffffff00887b850
0xfffffff00884ce24: 68a65ea9  ldp	x8, x9, [x19, #0x1e8]
0xfffffff00884ce28: ea0316aa  mov	x10, x22
0xfffffff00884ce2c: 6b4240b9  ldr	w11, [x19, #0x40]
0xfffffff00884ce30: e92b06a9  stp	x9, x10, [sp, #0x60]
0xfffffff00884ce34: e90315aa  mov	x9, x21
0xfffffff00884ce38: e92305a9  stp	x9, x8, [sp, #0x50]
0xfffffff00884ce3c: eb5304a9  stp	x11, x20, [sp, #0x40]
0xfffffff00884ce40: 284eff90  adrp	x8, #0xfffffff007210000
0xfffffff00884ce44: 08b92791  add	x8, x8, #0x9ee
0xfffffff00884ce48: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff00884ce4c: 28118052  mov	w8, #0x89
0xfffffff00884ce50: c94effb0  adrp	x9, #0xfffffff007225000
0xfffffff00884ce54: 29c53d91  add	x9, x9, #0xf71
0xfffffff00884ce58: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00884ce5c: c84efff0  adrp	x8, #0xfffffff007227000
0xfffffff00884ce60: 08811191  add	x8, x8, #0x460
0xfffffff00884ce64: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00884ce68: e80d8052  mov	w8, #0x6f
0xfffffff00884ce6c: 2350ffb0  adrp	x3, #0xfffffff007251000
0xfffffff00884ce70: 63ec3b91  add	x3, x3, #0xefb
0xfffffff00884ce74: f72300a9  stp	x23, x8, [sp]
0xfffffff00884ce78: e04cffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00884ce7c: 00003a91  add	x0, x0, #0xe80
0xfffffff00884ce80: e18dff90  adrp	x1, #0xfffffff007a08000
0xfffffff00884ce84: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00884ce88: 02008052  mov	w2, #0
0xfffffff00884ce8c: a998eb97  bl	#0xfffffff008333130
0xfffffff00884ce90: a6ffff17  b	#0xfffffff00884cd28
0xfffffff00884ce94: 7f2303d5  pacibsp	
0xfffffff00884ce98: ff4303d1  sub	sp, sp, #0xd0
0xfffffff00884ce9c: fc6f07a9  stp	x28, x27, [sp, #0x70]
0xfffffff00884cea0: fa6708a9  stp	x26, x25, [sp, #0x80]
0xfffffff00884cea4: f85f09a9  stp	x24, x23, [sp, #0x90]
0xfffffff00884cea8: f6570aa9  stp	x22, x21, [sp, #0xa0]
0xfffffff00884ceac: f44f0ba9  stp	x20, x19, [sp, #0xb0]
0xfffffff00884ceb0: fd7b0ca9  stp	x29, x30, [sp, #0xc0]
0xfffffff00884ceb4: fd030391  add	x29, sp, #0xc0
0xfffffff00884ceb8: f70304aa  mov	x23, x4
0xfffffff00884cebc: f60303aa  mov	x22, x3
0xfffffff00884cec0: f50302aa  mov	x21, x2
0xfffffff00884cec4: f40301aa  mov	x20, x1
0xfffffff00884cec8: f30300aa  mov	x19, x0
0xfffffff00884cecc: e00d8052  mov	w0, #0x6f
0xfffffff00884ced0: 01018052  mov	w1, #8
0xfffffff00884ced4: 3fba0094  bl	#0xfffffff00887b7d0
0xfffffff00884ced8: 00030034  cbz	w0, #0xfffffff00884cf38
0xfffffff00884cedc: e00d8052  mov	w0, #0x6f
0xfffffff00884cee0: 4eba0094  bl	#0xfffffff00887b818
0xfffffff00884cee4: f90300aa  mov	x25, x0
0xfffffff00884cee8: b19c0194  bl	#0xfffffff0088b41ac
0xfffffff00884ceec: f80300aa  mov	x24, x0
0xfffffff00884cef0: 00018052  mov	w0, #8
0xfffffff00884cef4: 57ba0094  bl	#0xfffffff00887b850
