; Candidate 5234
; ADRP+ADD at VM 0xfffffff0087e13f8 (fileoff 0x17dd3f8): page=0x1fea08000 add_imm=0xe80

0xfffffff0087e1378: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff0087e137c: 8851ffb0  adrp	x8, #0xfffffff007212000
0xfffffff0087e1380: 09b93091  add	x9, x8, #0xc2e
0xfffffff0087e1384: 8851ffb0  adrp	x8, #0xfffffff007212000
0xfffffff0087e1388: 081d0291  add	x8, x8, #0x87
0xfffffff0087e138c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087e1390: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0087e1394: 280a8052  mov	w8, #0x51
0xfffffff0087e1398: 8051ffb0  adrp	x0, #0xfffffff007212000
0xfffffff0087e139c: 00483491  add	x0, x0, #0xd12
0xfffffff0087e13a0: f82300a9  stp	x24, x8, [sp]
0xfffffff0087e13a4: 2f58d797  bl	#0xfffffff007db7460
0xfffffff0087e13a8: 1a000014  b	#0xfffffff0087e1410
0xfffffff0087e13ac: 804b0394  bl	#0xfffffff0088b41ac
0xfffffff0087e13b0: f80300aa  mov	x24, x0
0xfffffff0087e13b4: c0008052  mov	w0, #6
0xfffffff0087e13b8: 26690294  bl	#0xfffffff00887b850
0xfffffff0087e13bc: e80317aa  mov	x8, x23
0xfffffff0087e13c0: 69ee40b9  ldr	w9, [x19, #0xec]
0xfffffff0087e13c4: f6a304a9  stp	x22, x8, [sp, #0x48]
0xfffffff0087e13c8: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff0087e13cc: f3a702a9  stp	x19, x9, [sp, #0x28]
0xfffffff0087e13d0: 8851ffb0  adrp	x8, #0xfffffff007212000
0xfffffff0087e13d4: 0ab93091  add	x10, x8, #0xc2e
0xfffffff0087e13d8: 8851ffb0  adrp	x8, #0xfffffff007212000
0xfffffff0087e13dc: 081d0291  add	x8, x8, #0x87
0xfffffff0087e13e0: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff0087e13e4: 280a8052  mov	w8, #0x51
0xfffffff0087e13e8: e352ff90  adrp	x3, #0xfffffff00723d000
0xfffffff0087e13ec: 63c40191  add	x3, x3, #0x71
0xfffffff0087e13f0: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087e13f4: f80300f9  str	x24, [sp]
0xfffffff0087e13f8: 4050ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087e13fc: 00003a91  add	x0, x0, #0xe80
0xfffffff0087e1400: 2191fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087e1404: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087e1408: 02008052  mov	w2, #0
0xfffffff0087e140c: 4947ed97  bl	#0xfffffff008333130
0xfffffff0087e1410: a8835bf8  ldur	x8, [x29, #-0x48]
0xfffffff0087e1414: 2991fff0  adrp	x9, #0xfffffff007a08000
0xfffffff0087e1418: 292942f9  ldr	x9, [x9, #0x450]
0xfffffff0087e141c: 290140f9  ldr	x9, [x9]
0xfffffff0087e1420: 3f0108eb  cmp	x9, x8
0xfffffff0087e1424: a1040054  b.ne	#0xfffffff0087e14b8
0xfffffff0087e1428: e00317aa  mov	x0, x23
0xfffffff0087e142c: fd7b4ca9  ldp	x29, x30, [sp, #0xc0]
0xfffffff0087e1430: f44f4ba9  ldp	x20, x19, [sp, #0xb0]
0xfffffff0087e1434: f6574aa9  ldp	x22, x21, [sp, #0xa0]
0xfffffff0087e1438: f85f49a9  ldp	x24, x23, [sp, #0x90]
0xfffffff0087e143c: fa6748a9  ldp	x26, x25, [sp, #0x80]
0xfffffff0087e1440: ff430391  add	sp, sp, #0xd0
0xfffffff0087e1444: ff0f5fd6  retab	
0xfffffff0087e1448: 594b0394  bl	#0xfffffff0088b41ac
0xfffffff0087e144c: f80300aa  mov	x24, x0
0xfffffff0087e1450: 80008052  mov	w0, #4
0xfffffff0087e1454: ff680294  bl	#0xfffffff00887b850
0xfffffff0087e1458: 68ee40b9  ldr	w8, [x19, #0xec]
0xfffffff0087e145c: e85f04a9  stp	x8, x23, [sp, #0x40]
0xfffffff0087e1460: 6851fff0  adrp	x8, #0xfffffff007210000
0xfffffff0087e1464: 08b92791  add	x8, x8, #0x9ee
0xfffffff0087e1468: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff0087e146c: e8bb8052  mov	w8, #0x5df
0xfffffff0087e1470: 8951ffb0  adrp	x9, #0xfffffff007212000
0xfffffff0087e1474: 29b93091  add	x9, x9, #0xc2e
