; Candidate 4703
; ADRP+ADD at VM 0xfffffff0087c33d8 (fileoff 0x17bf3d8): page=0x1fe96e000 add_imm=0xd90

0xfffffff0087c3358: 1fe11d38  sturb	wzr, [x8, #-0x22]
0xfffffff0087c335c: e88341b9  ldr	w8, [sp, #0x180]
0xfffffff0087c3360: a8080034  cbz	w8, #0xfffffff0087c3474
0xfffffff0087c3364: e88f41b9  ldr	w8, [sp, #0x18c]
0xfffffff0087c3368: 68080034  cbz	w8, #0xfffffff0087c3474
0xfffffff0087c336c: 2801148b  add	x8, x9, x20
0xfffffff0087c3370: 08611ffc  stur	d8, [x8, #-0xa]
0xfffffff0087c3374: 1fe11f38  sturb	wzr, [x8, #-2]
0xfffffff0087c3378: 3f000014  b	#0xfffffff0087c3474
0xfffffff0087c337c: e00313aa  mov	x0, x19
0xfffffff0087c3380: e14cff90  adrp	x1, #0xfffffff00715f000
0xfffffff0087c3384: 21a80c91  add	x1, x1, #0x32a
0xfffffff0087c3388: 22008052  mov	w2, #1
0xfffffff0087c338c: cddfff97  bl	#0xfffffff0087bb2c0
0xfffffff0087c3390: e8230291  add	x8, sp, #0x88
0xfffffff0087c3394: 1c01148b  add	x28, x8, x20
0xfffffff0087c3398: 80e31d38  sturb	w0, [x28, #-0x22]
0xfffffff0087c339c: 1f1c0072  tst	w0, #0xff
0xfffffff0087c33a0: a0060054  b.eq	#0xfffffff0087c3474
0xfffffff0087c33a4: e00313aa  mov	x0, x19
0xfffffff0087c33a8: e14cff90  adrp	x1, #0xfffffff00715f000
0xfffffff0087c33ac: 21881991  add	x1, x1, #0x662
0xfffffff0087c33b0: e21b40f9  ldr	x2, [sp, #0x30]
0xfffffff0087c33b4: c3dfff97  bl	#0xfffffff0087bb2c0
0xfffffff0087c33b8: 80631fb8  stur	w0, [x28, #-0xa]
0xfffffff0087c33bc: e803002a  mov	w8, w0
0xfffffff0087c33c0: fc1740f9  ldr	x28, [sp, #0x28]
0xfffffff0087c33c4: 1f011ceb  cmp	x8, x28
0xfffffff0087c33c8: ad010054  b.le	#0xfffffff0087c33fc
0xfffffff0087c33cc: e84cff90  adrp	x8, #0xfffffff00715f000
0xfffffff0087c33d0: 08dd1991  add	x8, x8, #0x677
0xfffffff0087c33d4: e80300a9  stp	x8, x0, [sp]
0xfffffff0087c33d8: 604bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087c33dc: 00403691  add	x0, x0, #0xd90
0xfffffff0087c33e0: c191ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c33e4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c33e8: 02008052  mov	w2, #0
0xfffffff0087c33ec: 434cfff0  adrp	x3, #0xfffffff00714e000
0xfffffff0087c33f0: 63c81a91  add	x3, x3, #0x6b2
0xfffffff0087c33f4: 4fbfed97  bl	#0xfffffff008333130
0xfffffff0087c33f8: 1f000014  b	#0xfffffff0087c3474
0xfffffff0087c33fc: e00313aa  mov	x0, x19
0xfffffff0087c3400: e14cff90  adrp	x1, #0xfffffff00715f000
0xfffffff0087c3404: 21281a91  add	x1, x1, #0x68a
0xfffffff0087c3408: e21b40f9  ldr	x2, [sp, #0x30]
0xfffffff0087c340c: addfff97  bl	#0xfffffff0087bb2c0
0xfffffff0087c3410: e8230291  add	x8, sp, #0x88
0xfffffff0087c3414: 006937b8  str	w0, [x8, x23]
0xfffffff0087c3418: e803002a  mov	w8, w0
0xfffffff0087c341c: 1f011ceb  cmp	x8, x28
0xfffffff0087c3420: ad010054  b.le	#0xfffffff0087c3454
0xfffffff0087c3424: e84cff90  adrp	x8, #0xfffffff00715f000
0xfffffff0087c3428: 08dd1991  add	x8, x8, #0x677
0xfffffff0087c342c: e80300a9  stp	x8, x0, [sp]
0xfffffff0087c3430: 604bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087c3434: 00403691  add	x0, x0, #0xd90
0xfffffff0087c3438: c191ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c343c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c3440: 02008052  mov	w2, #0
0xfffffff0087c3444: 434cfff0  adrp	x3, #0xfffffff00714e000
0xfffffff0087c3448: 63601b91  add	x3, x3, #0x6d8
0xfffffff0087c344c: 39bfed97  bl	#0xfffffff008333130
0xfffffff0087c3450: 09000014  b	#0xfffffff0087c3474
0xfffffff0087c3454: e00313aa  mov	x0, x19
