; Candidate 14196
; ADRP+ADD at VM 0xfffffff00974c948 (fileoff 0x2748948): page=0xc3f000 add_imm=0xd58

0xfffffff00974c8c8: e0170034  cbz	w0, #0xfffffff00974cbc4
0xfffffff00974c8cc: 604a40f9  ldr	x0, [x19, #0x90]
0xfffffff00974c8d0: 100040f9  ldr	x16, [x0]
0xfffffff00974c8d4: f10300aa  mov	x17, x0
0xfffffff00974c8d8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00974c8dc: 301ac1da  autda	x16, x17
0xfffffff00974c8e0: 112380d2  mov	x17, #0x118
0xfffffff00974c8e4: 1002118b  add	x16, x16, x17
0xfffffff00974c8e8: 080240f9  ldr	x8, [x16]
0xfffffff00974c8ec: e90310aa  mov	x9, x16
0xfffffff00974c8f0: 01008052  mov	w1, #0
0xfffffff00974c8f4: f10309aa  mov	x17, x9
0xfffffff00974c8f8: 718af0f2  movk	x17, #0x8453, lsl #48
0xfffffff00974c8fc: 11093fd7  blraa	x8, x17
0xfffffff00974c900: f60300aa  mov	x22, x0
0xfffffff00974c904: 700240f9  ldr	x16, [x19]
0xfffffff00974c908: f10313aa  mov	x17, x19
0xfffffff00974c90c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00974c910: 301ac1da  autda	x16, x17
0xfffffff00974c914: f10310aa  mov	x17, x16
0xfffffff00974c918: f147c1da  xpacd	x17
0xfffffff00974c91c: 1f0211eb  cmp	x16, x17
0xfffffff00974c920: 40000054  b.eq	#0xfffffff00974c928
0xfffffff00974c924: 408e38d4  brk	#0xc472
0xfffffff00974c928: 08021591  add	x8, x16, #0x540
0xfffffff00974c92c: 09a242f9  ldr	x9, [x16, #0x540]
0xfffffff00974c930: e00313aa  mov	x0, x19
0xfffffff00974c934: f10308aa  mov	x17, x8
0xfffffff00974c938: 5188f3f2  movk	x17, #0x9c42, lsl #48
0xfffffff00974c93c: 31093fd7  blraa	x9, x17
0xfffffff00974c940: 000900b4  cbz	x0, #0xfffffff00974ca60
0xfffffff00974c944: f70300aa  mov	x23, x0
0xfffffff00974c948: e06100f0  adrp	x0, #0xfffffff00a38b000
0xfffffff00974c94c: 00603591  add	x0, x0, #0xd58
0xfffffff00974c950: 0260ae97  bl	#0xfffffff0082e4958
0xfffffff00974c954: f80300aa  mov	x24, x0
0xfffffff00974c958: f00240f9  ldr	x16, [x23]
0xfffffff00974c95c: f10317aa  mov	x17, x23
0xfffffff00974c960: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00974c964: 301ac1da  autda	x16, x17
0xfffffff00974c968: 088e41f8  ldr	x8, [x16, #0x18]!
0xfffffff00974c96c: e90310aa  mov	x9, x16
0xfffffff00974c970: e00317aa  mov	x0, x23
0xfffffff00974c974: f10309aa  mov	x17, x9
0xfffffff00974c978: f1c0e6f2  movk	x17, #0x3607, lsl #48
0xfffffff00974c97c: 11093fd7  blraa	x8, x17
0xfffffff00974c980: f90300aa  mov	x25, x0
0xfffffff00974c984: 604a40f9  ldr	x0, [x19, #0x90]
0xfffffff00974c988: 100040f9  ldr	x16, [x0]
0xfffffff00974c98c: f10300aa  mov	x17, x0
0xfffffff00974c990: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00974c994: 301ac1da  autda	x16, x17
0xfffffff00974c998: 080e49f8  ldr	x8, [x16, #0x90]!
0xfffffff00974c99c: e90310aa  mov	x9, x16
0xfffffff00974c9a0: f10309aa  mov	x17, x9
0xfffffff00974c9a4: 113de5f2  movk	x17, #0x29e8, lsl #48
0xfffffff00974c9a8: 11093fd7  blraa	x8, x17
0xfffffff00974c9ac: fa0300aa  mov	x26, x0
0xfffffff00974c9b0: d00240f9  ldr	x16, [x22]
0xfffffff00974c9b4: f10316aa  mov	x17, x22
0xfffffff00974c9b8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00974c9bc: 301ac1da  autda	x16, x17
0xfffffff00974c9c0: 088e41f8  ldr	x8, [x16, #0x18]!
0xfffffff00974c9c4: e90310aa  mov	x9, x16
