; Candidate 3400
; ADRP+ADD at VM 0xfffffff00873bab8 (fileoff 0x1737ab8): page=0x1fe9f6000 add_imm=0xd90

0xfffffff00873ba38: 1c0940f9  ldr	x28, [x8, #0x10]
0xfffffff00873ba3c: b90100b4  cbz	x25, #0xfffffff00873ba70
0xfffffff00873ba40: e8938052  mov	w8, #0x49f
0xfffffff00873ba44: a950ff90  adrp	x9, #0xfffffff00714f000
0xfffffff00873ba48: 29bd1991  add	x9, x9, #0x66f
0xfffffff00873ba4c: e92300a9  stp	x9, x8, [sp]
0xfffffff00873ba50: a04fffd0  adrp	x0, #0xfffffff007131000
0xfffffff00873ba54: 00403691  add	x0, x0, #0xd90
0xfffffff00873ba58: 0196ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00873ba5c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00873ba60: 0350ff90  adrp	x3, #0xfffffff00713b000
0xfffffff00873ba64: 63383791  add	x3, x3, #0xdce
0xfffffff00873ba68: 02008052  mov	w2, #0
0xfffffff00873ba6c: b1ddef97  bl	#0xfffffff008333130
0xfffffff00873ba70: 88031bab  adds	x8, x28, x27
0xfffffff00873ba74: 82d3ff54  b.hs	#0xfffffff00873b4e4
0xfffffff00873ba78: 9402158b  add	x20, x20, x21
0xfffffff00873ba7c: 08fd60d3  lsr	x8, x8, #0x20
0xfffffff00873ba80: 691240f9  ldr	x9, [x19, #0x20]
0xfffffff00873ba84: 2a7143b9  ldr	w10, [x9, #0x370]
0xfffffff00873ba88: 4a7d0a53  lsr	w10, w10, #0xa
0xfffffff00873ba8c: 48551633  bfi	w8, w10, #0xa, #0x16
0xfffffff00873ba90: 287103b9  str	w8, [x9, #0x370]
0xfffffff00873ba94: 680e40f9  ldr	x8, [x19, #0x18]
0xfffffff00873ba98: 087147f9  ldr	x8, [x8, #0xee0]
0xfffffff00873ba9c: 190940f9  ldr	x25, [x8, #0x10]
0xfffffff00873baa0: 95fe60d3  lsr	x21, x20, #0x20
0xfffffff00873baa4: b50100b4  cbz	x21, #0xfffffff00873bad8
0xfffffff00873baa8: 48948052  mov	w8, #0x4a2
0xfffffff00873baac: a950ff90  adrp	x9, #0xfffffff00714f000
0xfffffff00873bab0: 29bd1991  add	x9, x9, #0x66f
0xfffffff00873bab4: e92300a9  stp	x9, x8, [sp]
0xfffffff00873bab8: a04fffd0  adrp	x0, #0xfffffff007131000
0xfffffff00873babc: 00403691  add	x0, x0, #0xd90
0xfffffff00873bac0: 0196ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00873bac4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00873bac8: 0350ff90  adrp	x3, #0xfffffff00713b000
0xfffffff00873bacc: 63083891  add	x3, x3, #0xe02
0xfffffff00873bad0: 02008052  mov	w2, #0
0xfffffff00873bad4: 97ddef97  bl	#0xfffffff008333130
0xfffffff00873bad8: 284334ab  adds	x8, x25, w20, uxtw
0xfffffff00873badc: 42d0ff54  b.hs	#0xfffffff00873b4e4
0xfffffff00873bae0: 947e4092  and	x20, x20, #0xffffffff
0xfffffff00873bae4: 691240f9  ldr	x9, [x19, #0x20]
0xfffffff00873bae8: 2a1142b9  ldr	w10, [x9, #0x210]
0xfffffff00873baec: 48150033  bfxil	w8, w10, #0, #6
0xfffffff00873baf0: 281102b9  str	w8, [x9, #0x210]
0xfffffff00873baf4: 680e40f9  ldr	x8, [x19, #0x18]
0xfffffff00873baf8: 087147f9  ldr	x8, [x8, #0xee0]
0xfffffff00873bafc: 190940f9  ldr	x25, [x8, #0x10]
0xfffffff00873bb00: b50100b4  cbz	x21, #0xfffffff00873bb34
0xfffffff00873bb04: 88948052  mov	w8, #0x4a4
0xfffffff00873bb08: a950ff90  adrp	x9, #0xfffffff00714f000
0xfffffff00873bb0c: 29bd1991  add	x9, x9, #0x66f
0xfffffff00873bb10: e92300a9  stp	x9, x8, [sp]
0xfffffff00873bb14: a04fffd0  adrp	x0, #0xfffffff007131000
0xfffffff00873bb18: 00403691  add	x0, x0, #0xd90
0xfffffff00873bb1c: 0196ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00873bb20: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00873bb24: 0350ff90  adrp	x3, #0xfffffff00713b000
0xfffffff00873bb28: 63d83891  add	x3, x3, #0xe36
0xfffffff00873bb2c: 02008052  mov	w2, #0
0xfffffff00873bb30: 80ddef97  bl	#0xfffffff008333130
0xfffffff00873bb34: 280314ab  adds	x8, x25, x20
