; Candidate 4632
; ADRP+ADD at VM 0xfffffff0087bec84 (fileoff 0x17bac84): page=0x1fe973000 add_imm=0xd90

0xfffffff0087bec04: e92300a9  stp	x9, x8, [sp]
0xfffffff0087bec08: 804bfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087bec0c: 00403691  add	x0, x0, #0xd90
0xfffffff0087bec10: e191fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bec14: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bec18: 634cfff0  adrp	x3, #0xfffffff00714d000
0xfffffff0087bec1c: 63dc3391  add	x3, x3, #0xcf7
0xfffffff0087bec20: 02008052  mov	w2, #0
0xfffffff0087bec24: 43d1ed97  bl	#0xfffffff008333130
0xfffffff0087bec28: baffff17  b	#0xfffffff0087beb10
0xfffffff0087bec2c: 0a0080d2  mov	x10, #0
0xfffffff0087bec30: 2b711a91  add	x11, x9, #0x69c
0xfffffff0087bec34: 00008012  mov	w0, #-1
0xfffffff0087bec38: 6c696ab8  ldr	w12, [x11, x10]
0xfffffff0087bec3c: 1f010c6b  cmp	w8, w12
0xfffffff0087bec40: 200b0054  b.eq	#0xfffffff0087beda4
0xfffffff0087bec44: 4a110091  add	x10, x10, #4
0xfffffff0087bec48: 5f7100f1  cmp	x10, #0x1c
0xfffffff0087bec4c: 61ffff54  b.ne	#0xfffffff0087bec38
0xfffffff0087bec50: b1ffff17  b	#0xfffffff0087beb14
0xfffffff0087bec54: 014dff90  adrp	x1, #0xfffffff00715e000
0xfffffff0087bec58: 21343f91  add	x1, x1, #0xfcd
0xfffffff0087bec5c: e00313aa  mov	x0, x19
0xfffffff0087bec60: 42008052  mov	w2, #2
0xfffffff0087bec64: 97f1ff97  bl	#0xfffffff0087bb2c0
0xfffffff0087bec68: 683240f9  ldr	x8, [x19, #0x60]
0xfffffff0087bec6c: 002d0ab9  str	w0, [x8, #0xa2c]
0xfffffff0087bec70: 1f100071  cmp	w0, #4
0xfffffff0087bec74: 430b0054  b.lo	#0xfffffff0087beddc
0xfffffff0087bec78: 084dff90  adrp	x8, #0xfffffff00715e000
0xfffffff0087bec7c: 08793b91  add	x8, x8, #0xede
0xfffffff0087bec80: e80300a9  stp	x8, x0, [sp]
0xfffffff0087bec84: 804bfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087bec88: 00403691  add	x0, x0, #0xd90
0xfffffff0087bec8c: e191fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bec90: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bec94: 634cfff0  adrp	x3, #0xfffffff00714d000
0xfffffff0087bec98: 63743491  add	x3, x3, #0xd1d
0xfffffff0087bec9c: 02008052  mov	w2, #0
0xfffffff0087beca0: 24d1ed97  bl	#0xfffffff008333130
0xfffffff0087beca4: 9bffff17  b	#0xfffffff0087beb10
0xfffffff0087beca8: 014dff90  adrp	x1, #0xfffffff00715e000
0xfffffff0087becac: 21083d91  add	x1, x1, #0xf42
0xfffffff0087becb0: e00313aa  mov	x0, x19
0xfffffff0087becb4: 22008052  mov	w2, #1
0xfffffff0087becb8: 82f1ff97  bl	#0xfffffff0087bb2c0
0xfffffff0087becbc: 69a245a9  ldp	x9, x8, [x19, #0x58]
0xfffffff0087becc0: 007d09b9  str	w0, [x8, #0x97c]
0xfffffff0087becc4: 2a454139  ldrb	w10, [x9, #0x51]
0xfffffff0087becc8: 2af8ff35  cbnz	w10, #0xfffffff0087bebcc
0xfffffff0087beccc: 00f8ff35  cbnz	w0, #0xfffffff0087bebcc
0xfffffff0087becd0: 2a6540b9  ldr	w10, [x9, #0x64]
0xfffffff0087becd4: 5f050071  cmp	w10, #1
0xfffffff0087becd8: c1000054  b.ne	#0xfffffff0087becf0
0xfffffff0087becdc: 296940b9  ldr	w9, [x9, #0x68]
0xfffffff0087bece0: 3f050071  cmp	w9, #1
0xfffffff0087bece4: 61000054  b.ne	#0xfffffff0087becf0
0xfffffff0087bece8: 090949b9  ldr	w9, [x8, #0x908]
0xfffffff0087becec: 09f7ff34  cbz	w9, #0xfffffff0087bebcc
0xfffffff0087becf0: 014dff90  adrp	x1, #0xfffffff00715e000
0xfffffff0087becf4: 216c3d91  add	x1, x1, #0xf5b
0xfffffff0087becf8: e00313aa  mov	x0, x19
0xfffffff0087becfc: 82008052  mov	w2, #4
0xfffffff0087bed00: 70f1ff97  bl	#0xfffffff0087bb2c0
