; Candidate 8864
; ADRP+ADD at VM 0xfffffff0088e743c (fileoff 0x18e343c): page=0x1ff12f000 add_imm=0xd98

0xfffffff0088e73bc: e803022a  mov	w8, w2
0xfffffff0088e73c0: e903012a  mov	w9, w1
0xfffffff0088e73c4: e8ab00a9  stp	x8, x10, [sp, #8]
0xfffffff0088e73c8: e90300f9  str	x9, [sp]
0xfffffff0088e73cc: 004cfff0  adrp	x0, #0xfffffff00726a000
0xfffffff0088e73d0: 00c00c91  add	x0, x0, #0x330
0xfffffff0088e73d4: 4189ffd0  adrp	x1, #0xfffffff007a11000
0xfffffff0088e73d8: 211047f9  ldr	x1, [x1, #0xe20]
0xfffffff0088e73dc: 234cffd0  adrp	x3, #0xfffffff00726d000
0xfffffff0088e73e0: 63b01891  add	x3, x3, #0x62c
0xfffffff0088e73e4: 02008052  mov	w2, #0
0xfffffff0088e73e8: 522fe997  bl	#0xfffffff008333130
0xfffffff0088e73ec: 6089fff0  adrp	x0, #0xfffffff007a16000
0xfffffff0088e73f0: 00603591  add	x0, x0, #0xd58
0xfffffff0088e73f4: 40bce997  bl	#0xfffffff0083564f4
0xfffffff0088e73f8: f50300aa  mov	x21, x0
0xfffffff0088e73fc: 485c8052  mov	w8, #0x2e2
0xfffffff0088e7400: 08000079  strh	w8, [x0]
0xfffffff0088e7404: 28008052  mov	w8, #1
0xfffffff0088e7408: 08080039  strb	w8, [x0, #2]
0xfffffff0088e740c: 180c0039  strb	w24, [x0, #3]
0xfffffff0088e7410: 1f100039  strb	wzr, [x0, #4]
0xfffffff0088e7414: e87e0853  lsr	w8, w23, #8
0xfffffff0088e7418: 08140039  strb	w8, [x0, #5]
0xfffffff0088e741c: 17180039  strb	w23, [x0, #6]
0xfffffff0088e7420: c87e0853  lsr	w8, w22, #8
0xfffffff0088e7424: 081c0039  strb	w8, [x0, #7]
0xfffffff0088e7428: 16200039  strb	w22, [x0, #8]
0xfffffff0088e742c: 1f240039  strb	wzr, [x0, #9]
0xfffffff0088e7430: 38020034  cbz	w24, #0xfffffff0088e7474
0xfffffff0088e7434: f3588052  mov	w19, #0x2c7
0xfffffff0088e7438: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff0088e743c: 6089fff0  adrp	x0, #0xfffffff007a16000
0xfffffff0088e7440: 00603691  add	x0, x0, #0xd98
0xfffffff0088e7444: e10315aa  mov	x1, x21
0xfffffff0088e7448: b1bce997  bl	#0xfffffff00835670c
0xfffffff0088e744c: f30300f9  str	x19, [sp]
0xfffffff0088e7450: 004cfff0  adrp	x0, #0xfffffff00726a000
0xfffffff0088e7454: 00c00c91  add	x0, x0, #0x330
0xfffffff0088e7458: 4189ffd0  adrp	x1, #0xfffffff007a11000
0xfffffff0088e745c: 211047f9  ldr	x1, [x1, #0xe20]
0xfffffff0088e7460: 234cffd0  adrp	x3, #0xfffffff00726d000
0xfffffff0088e7464: 639c1d91  add	x3, x3, #0x767
0xfffffff0088e7468: 02008052  mov	w2, #0
0xfffffff0088e746c: 312fe997  bl	#0xfffffff008333130
0xfffffff0088e7470: 37000014  b	#0xfffffff0088e754c
0xfffffff0088e7474: d6060011  add	w22, w22, #1
0xfffffff0088e7478: 1c018052  mov	w28, #8
0xfffffff0088e747c: 174cfff0  adrp	x23, #0xfffffff00726a000
0xfffffff0088e7480: f7c20c91  add	x23, x23, #0x330
0xfffffff0088e7484: 5889ffd0  adrp	x24, #0xfffffff007a11000
0xfffffff0088e7488: 181347f9  ldr	x24, [x24, #0xe20]
0xfffffff0088e748c: 394cffd0  adrp	x25, #0xfffffff00726d000
0xfffffff0088e7490: 39771c91  add	x25, x25, #0x71d
0xfffffff0088e7494: 3a4cffd0  adrp	x26, #0xfffffff00726d000
0xfffffff0088e7498: 5a571b91  add	x26, x26, #0x6d5
0xfffffff0088e749c: 3b4cffd0  adrp	x27, #0xfffffff00726d000
0xfffffff0088e74a0: 7b2b1a91  add	x27, x27, #0x68a
0xfffffff0088e74a4: e00314aa  mov	x0, x20
0xfffffff0088e74a8: 010c8052  mov	w1, #0x60
0xfffffff0088e74ac: 42018052  mov	w2, #0xa
0xfffffff0088e74b0: e30315aa  mov	x3, x21
0xfffffff0088e74b4: 2f000094  bl	#0xfffffff0088e7570
0xfffffff0088e74b8: e0000034  cbz	w0, #0xfffffff0088e74d4
