; Candidate 11216
; ADRP+ADD at VM 0xfffffff008eb210c (fileoff 0x1eae10c): page=0x1fec5e000 add_imm=0xcf0

0xfffffff008eb208c: 05000014  b	#0xfffffff008eb20a0
0xfffffff008eb2090: 160080d2  mov	x22, #0
0xfffffff008eb2094: 07000014  b	#0xfffffff008eb20b0
0xfffffff008eb2098: 6029ff90  adrp	x0, #0xfffffff0073de000
0xfffffff008eb209c: 00d02491  add	x0, x0, #0x934
0xfffffff008eb20a0: 6829ff90  adrp	x8, #0xfffffff0073de000
0xfffffff008eb20a4: 08492591  add	x8, x8, #0x952
0xfffffff008eb20a8: e80300f9  str	x8, [sp]
0xfffffff008eb20ac: dd93d297  bl	#0xfffffff008357020
0xfffffff008eb20b0: a00640f9  ldr	x0, [x21, #8]
0xfffffff008eb20b4: 800000b4  cbz	x0, #0xfffffff008eb20c4
0xfffffff008eb20b8: bf0600f9  str	xzr, [x21, #8]
0xfffffff008eb20bc: 0108a052  mov	w1, #0x400000
0xfffffff008eb20c0: 3093d297  bl	#0xfffffff008356d80
0xfffffff008eb20c4: f4020034  cbz	w20, #0xfffffff008eb2120
0xfffffff008eb20c8: 760100b4  cbz	x22, #0xfffffff008eb20f4
0xfffffff008eb20cc: d00240f9  ldr	x16, [x22]
0xfffffff008eb20d0: f10316aa  mov	x17, x22
0xfffffff008eb20d4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008eb20d8: 301ac1da  autda	x16, x17
0xfffffff008eb20dc: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008eb20e0: e90310aa  mov	x9, x16
0xfffffff008eb20e4: e00316aa  mov	x0, x22
0xfffffff008eb20e8: f10309aa  mov	x17, x9
0xfffffff008eb20ec: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008eb20f0: 11093fd7  blraa	x8, x17
0xfffffff008eb20f4: 730100b4  cbz	x19, #0xfffffff008eb2120
0xfffffff008eb20f8: 600240f9  ldr	x0, [x19]
0xfffffff008eb20fc: 800000b4  cbz	x0, #0xfffffff008eb210c
0xfffffff008eb2100: 7f0200f9  str	xzr, [x19]
0xfffffff008eb2104: 0108a052  mov	w1, #0x400000
0xfffffff008eb2108: 1e93d297  bl	#0xfffffff008356d80
0xfffffff008eb210c: e062ffd0  adrp	x0, #0xfffffff007b10000
0xfffffff008eb2110: 00c03391  add	x0, x0, #0xcf0
0xfffffff008eb2114: e10313aa  mov	x1, x19
0xfffffff008eb2118: 02048052  mov	w2, #0x20
0xfffffff008eb211c: 3393d297  bl	#0xfffffff008356de8
0xfffffff008eb2120: e00314aa  mov	x0, x20
0xfffffff008eb2124: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff008eb2128: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff008eb212c: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff008eb2130: ff030191  add	sp, sp, #0x40
0xfffffff008eb2134: ff0f5fd6  retab	
0xfffffff008eb2138: 7f2303d5  pacibsp	
0xfffffff008eb213c: ff0302d1  sub	sp, sp, #0x80
0xfffffff008eb2140: fc6f02a9  stp	x28, x27, [sp, #0x20]
0xfffffff008eb2144: fa6703a9  stp	x26, x25, [sp, #0x30]
0xfffffff008eb2148: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff008eb214c: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff008eb2150: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff008eb2154: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff008eb2158: fdc30191  add	x29, sp, #0x70
0xfffffff008eb215c: f30300aa  mov	x19, x0
0xfffffff008eb2160: f217c297  bl	#0xfffffff007f38128
0xfffffff008eb2164: f11ec297  bl	#0xfffffff007f39d28
0xfffffff008eb2168: f50300aa  mov	x21, x0
0xfffffff008eb216c: 6029ff90  adrp	x0, #0xfffffff0073de000
0xfffffff008eb2170: 006c2691  add	x0, x0, #0x99b
0xfffffff008eb2174: 23adba97  bl	#0xfffffff007d5d600
0xfffffff008eb2178: f70300aa  mov	x23, x0
0xfffffff008eb217c: 140c0091  add	x20, x0, #3
0xfffffff008eb2180: e00314aa  mov	x0, x20
0xfffffff008eb2184: d992d297  bl	#0xfffffff008356ce8
0xfffffff008eb2188: f60300aa  mov	x22, x0
