; Candidate 2478
; ADRP+ADD at VM 0xfffffff00869e7c0 (fileoff 0x169a7c0): page=0x1c3b000 add_imm=0xcf0

0xfffffff00869e740: 11093fd7  blraa	x8, x17
0xfffffff00869e744: e80300aa  mov	x8, x0
0xfffffff00869e748: 00008052  mov	w0, #0
0xfffffff00869e74c: 688e00b9  str	w8, [x19, #0x8c]
0xfffffff00869e750: d7ffff17  b	#0xfffffff00869e6ac
0xfffffff00869e754: 7f8a00b9  str	wzr, [x19, #0x88]
0xfffffff00869e758: d5ffff17  b	#0xfffffff00869e6ac
0xfffffff00869e75c: 7f8e00b9  str	wzr, [x19, #0x8c]
0xfffffff00869e760: d3ffff17  b	#0xfffffff00869e6ac
0xfffffff00869e764: 5f2403d5  bti	c
0xfffffff00869e768: e317f117  b	#0xfffffff0082e46f4
0xfffffff00869e76c: 7f2303d5  pacibsp	
0xfffffff00869e770: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00869e774: fd030091  mov	x29, sp
0xfffffff00869e778: c0e100f0  adrp	x0, #0xfffffff00a2d9000
0xfffffff00869e77c: 00c03391  add	x0, x0, #0xcf0
0xfffffff00869e780: 4154fff0  adrp	x1, #0xfffffff007129000
0xfffffff00869e784: 21580691  add	x1, x1, #0x196
0xfffffff00869e788: 229affb0  adrp	x2, #0xfffffff0079e3000
0xfffffff00869e78c: 420047f9  ldr	x2, [x2, #0xe00]
0xfffffff00869e790: 031e8052  mov	w3, #0xf0
0xfffffff00869e794: e914f197  bl	#0xfffffff0082e3b38
0xfffffff00869e798: 709affd0  adrp	x16, #0xfffffff0079ec000
0xfffffff00869e79c: 10a23891  add	x16, x16, #0xe28
0xfffffff00869e7a0: 10420091  add	x16, x16, #0x10
0xfffffff00869e7a4: f10300aa  mov	x17, x0
0xfffffff00869e7a8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00869e7ac: 300ac1da  pacda	x16, x17
0xfffffff00869e7b0: 100000f9  str	x16, [x0]
0xfffffff00869e7b4: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00869e7b8: ff0f5fd6  retab	
0xfffffff00869e7bc: 5f2403d5  bti	c
0xfffffff00869e7c0: c0e100f0  adrp	x0, #0xfffffff00a2d9000
0xfffffff00869e7c4: 00c03391  add	x0, x0, #0xcf0
0xfffffff00869e7c8: cb17f117  b	#0xfffffff0082e46f4
0xfffffff00869e7cc: 7f2303d5  pacibsp	
0xfffffff00869e7d0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00869e7d4: fd030091  mov	x29, sp
0xfffffff00869e7d8: 4154fff0  adrp	x1, #0xfffffff007129000
0xfffffff00869e7dc: 21e80b91  add	x1, x1, #0x2fa
0xfffffff00869e7e0: 229affb0  adrp	x2, #0xfffffff0079e3000
0xfffffff00869e7e4: 42a846f9  ldr	x2, [x2, #0xd50]
0xfffffff00869e7e8: 03248052  mov	w3, #0x120
0xfffffff00869e7ec: d314f197  bl	#0xfffffff0082e3b38
0xfffffff00869e7f0: 709afff0  adrp	x16, #0xfffffff0079ed000
0xfffffff00869e7f4: 10a21291  add	x16, x16, #0x4a8
0xfffffff00869e7f8: 10420091  add	x16, x16, #0x10
0xfffffff00869e7fc: f10300aa  mov	x17, x0
0xfffffff00869e800: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00869e804: 300ac1da  pacda	x16, x17
0xfffffff00869e808: 100000f9  str	x16, [x0]
0xfffffff00869e80c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00869e810: ff0f5fd6  retab	
0xfffffff00869e814: 5f2403d5  bti	c
0xfffffff00869e818: b717f117  b	#0xfffffff0082e46f4
0xfffffff00869e81c: 7f2303d5  pacibsp	
0xfffffff00869e820: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00869e824: fd030091  mov	x29, sp
0xfffffff00869e828: bf86f597  bl	#0xfffffff008400324
0xfffffff00869e82c: 709affd0  adrp	x16, #0xfffffff0079ec000
0xfffffff00869e830: 10023b91  add	x16, x16, #0xec0
0xfffffff00869e834: 10420091  add	x16, x16, #0x10
0xfffffff00869e838: f10300aa  mov	x17, x0
0xfffffff00869e83c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
