; Candidate 13920
; ADRP+ADD at VM 0xfffffff00962009c (fileoff 0x261c09c): page=0xd69000 add_imm=0xd08

0xfffffff00962001c: 00008052  mov	w0, #0
0xfffffff009620020: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009620024: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009620028: ff0f5fd6  retab	
0xfffffff00962002c: 5f2403d5  bti	c
0xfffffff009620030: b111b317  b	#0xfffffff0082e46f4
0xfffffff009620034: 5f2403d5  bti	c
0xfffffff009620038: 08704039  ldrb	w8, [x0, #0x1c]
0xfffffff00962003c: 1f010071  cmp	w8, #0
0xfffffff009620040: e0179f1a  cset	w0, eq
0xfffffff009620044: c0035fd6  ret	
0xfffffff009620048: 7f2303d5  pacibsp	
0xfffffff00962004c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009620050: fd030091  mov	x29, sp
0xfffffff009620054: 406b00b0  adrp	x0, #0xfffffff00a389000
0xfffffff009620058: 00203491  add	x0, x0, #0xd08
0xfffffff00962005c: 41fafed0  adrp	x1, #0xfffffff00756a000
0xfffffff009620060: 21dc0591  add	x1, x1, #0x177
0xfffffff009620064: e22efff0  adrp	x2, #0xfffffff007bff000
0xfffffff009620068: 424c46f9  ldr	x2, [x2, #0xc98]
0xfffffff00962006c: 03048052  mov	w3, #0x20
0xfffffff009620070: b20eb397  bl	#0xfffffff0082e3b38
0xfffffff009620074: 302fffb0  adrp	x16, #0xfffffff007c05000
0xfffffff009620078: 10023791  add	x16, x16, #0xdc0
0xfffffff00962007c: 10420091  add	x16, x16, #0x10
0xfffffff009620080: f10300aa  mov	x17, x0
0xfffffff009620084: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009620088: 300ac1da  pacda	x16, x17
0xfffffff00962008c: 100000f9  str	x16, [x0]
0xfffffff009620090: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009620094: ff0f5fd6  retab	
0xfffffff009620098: 5f2403d5  bti	c
0xfffffff00962009c: 406b00b0  adrp	x0, #0xfffffff00a389000
0xfffffff0096200a0: 00203491  add	x0, x0, #0xd08
0xfffffff0096200a4: 9411b317  b	#0xfffffff0082e46f4
0xfffffff0096200a8: 7f2303d5  pacibsp	
0xfffffff0096200ac: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0096200b0: fd030091  mov	x29, sp
0xfffffff0096200b4: 41fafed0  adrp	x1, #0xfffffff00756a000
0xfffffff0096200b8: 21b00691  add	x1, x1, #0x1ac
0xfffffff0096200bc: 426b00b0  adrp	x2, #0xfffffff00a389000
0xfffffff0096200c0: 42203491  add	x2, x2, #0xd08
0xfffffff0096200c4: 030a8052  mov	w3, #0x50
0xfffffff0096200c8: 9c0eb397  bl	#0xfffffff0082e3b38
0xfffffff0096200cc: 302fffb0  adrp	x16, #0xfffffff007c05000
0xfffffff0096200d0: 10223c91  add	x16, x16, #0xf08
0xfffffff0096200d4: 10420091  add	x16, x16, #0x10
0xfffffff0096200d8: f10300aa  mov	x17, x0
0xfffffff0096200dc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0096200e0: 300ac1da  pacda	x16, x17
0xfffffff0096200e4: 100000f9  str	x16, [x0]
0xfffffff0096200e8: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0096200ec: ff0f5fd6  retab	
0xfffffff0096200f0: 5f2403d5  bti	c
0xfffffff0096200f4: 8011b317  b	#0xfffffff0082e46f4
0xfffffff0096200f8: 7f2303d5  pacibsp	
0xfffffff0096200fc: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009620100: fd030091  mov	x29, sp
0xfffffff009620104: f3feff97  bl	#0xfffffff00961fcd0
0xfffffff009620108: 302fffb0  adrp	x16, #0xfffffff007c05000
0xfffffff00962010c: 10623991  add	x16, x16, #0xe58
0xfffffff009620110: 10420091  add	x16, x16, #0x10
0xfffffff009620114: f10300aa  mov	x17, x0
0xfffffff009620118: 31b4f9f2  movk	x17, #0xcda1, lsl #48
