; Candidate 12885
; ADRP+ADD at VM 0xfffffff009170a24 (fileoff 0x216ca24): page=0x1fe31f000 add_imm=0xec6

0xfffffff0091709a4: f10313aa  mov	x17, x19
0xfffffff0091709a8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0091709ac: 301ac1da  autda	x16, x17
0xfffffff0091709b0: f10310aa  mov	x17, x16
0xfffffff0091709b4: f147c1da  xpacd	x17
0xfffffff0091709b8: 1f0211eb  cmp	x16, x17
0xfffffff0091709bc: 40000054  b.eq	#0xfffffff0091709c4
0xfffffff0091709c0: 408e38d4  brk	#0xc472
0xfffffff0091709c4: 08c20d91  add	x8, x16, #0x370
0xfffffff0091709c8: 09ba41f9  ldr	x9, [x16, #0x370]
0xfffffff0091709cc: e00313aa  mov	x0, x19
0xfffffff0091709d0: f10308aa  mov	x17, x8
0xfffffff0091709d4: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff0091709d8: 31093fd7  blraa	x9, x17
0xfffffff0091709dc: 100040f9  ldr	x16, [x0]
0xfffffff0091709e0: f10300aa  mov	x17, x0
0xfffffff0091709e4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0091709e8: 301ac1da  autda	x16, x17
0xfffffff0091709ec: f10310aa  mov	x17, x16
0xfffffff0091709f0: f147c1da  xpacd	x17
0xfffffff0091709f4: 1f0211eb  cmp	x16, x17
0xfffffff0091709f8: 40000054  b.eq	#0xfffffff009170a00
0xfffffff0091709fc: 408e38d4  brk	#0xc472
0xfffffff009170a00: 08a20791  add	x8, x16, #0x1e8
0xfffffff009170a04: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff009170a08: 010080d2  mov	x1, #0
0xfffffff009170a0c: f10308aa  mov	x17, x8
0xfffffff009170a10: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009170a14: 31093fd7  blraa	x9, x17
0xfffffff009170a18: 280f8052  mov	w8, #0x79
0xfffffff009170a1c: e0a300a9  stp	x0, x8, [sp, #8]
0xfffffff009170a20: f50300f9  str	x21, [sp]
0xfffffff009170a24: e018fff0  adrp	x0, #0xfffffff00748f000
0xfffffff009170a28: 00183b91  add	x0, x0, #0xec6
0xfffffff009170a2c: 7d99c797  bl	#0xfffffff008357020
0xfffffff009170a30: 900240f9  ldr	x16, [x20]
0xfffffff009170a34: f10314aa  mov	x17, x20
0xfffffff009170a38: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009170a3c: 301ac1da  autda	x16, x17
0xfffffff009170a40: 117a80d2  mov	x17, #0x3d0
0xfffffff009170a44: 1002118b  add	x16, x16, x17
0xfffffff009170a48: 080240f9  ldr	x8, [x16]
0xfffffff009170a4c: e90310aa  mov	x9, x16
0xfffffff009170a50: e00314aa  mov	x0, x20
0xfffffff009170a54: 01008052  mov	w1, #0
0xfffffff009170a58: 02008052  mov	w2, #0
0xfffffff009170a5c: f10309aa  mov	x17, x9
0xfffffff009170a60: b1a5faf2  movk	x17, #0xd52d, lsl #48
0xfffffff009170a64: 11093fd7  blraa	x8, x17
0xfffffff009170a68: 608200f9  str	x0, [x19, #0x100]
0xfffffff009170a6c: 806200b4  cbz	x0, #0xfffffff0091716bc
0xfffffff009170a70: 100040f9  ldr	x16, [x0]
0xfffffff009170a74: f10300aa  mov	x17, x0
0xfffffff009170a78: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009170a7c: 301ac1da  autda	x16, x17
0xfffffff009170a80: 088e47f8  ldr	x8, [x16, #0x78]!
0xfffffff009170a84: e90310aa  mov	x9, x16
0xfffffff009170a88: f10309aa  mov	x17, x9
0xfffffff009170a8c: d19ee6f2  movk	x17, #0x34f6, lsl #48
0xfffffff009170a90: 11093fd7  blraa	x8, x17
0xfffffff009170a94: 608600f9  str	x0, [x19, #0x108]
0xfffffff009170a98: 900240f9  ldr	x16, [x20]
0xfffffff009170a9c: f10314aa  mov	x17, x20
0xfffffff009170aa0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
