; Candidate 8141
; ADRP+ADD at VM 0xfffffff008897690 (fileoff 0x1893690): page=0x1fe952000 add_imm=0xe80

0xfffffff008897610: 08192c91  add	x8, x8, #0xb06
0xfffffff008897614: f35f04a9  stp	x19, x23, [sp, #0x40]
0xfffffff008897618: e85703a9  stp	x8, x21, [sp, #0x30]
0xfffffff00889761c: 881b8052  mov	w8, #0xdc
0xfffffff008897620: c94cff90  adrp	x9, #0xfffffff00722f000
0xfffffff008897624: 29352491  add	x9, x9, #0x90d
0xfffffff008897628: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00889762c: c84cff90  adrp	x8, #0xfffffff00722f000
0xfffffff008897630: 08493991  add	x8, x8, #0xe52
0xfffffff008897634: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008897638: 280e8052  mov	w8, #0x71
0xfffffff00889763c: c04cff90  adrp	x0, #0xfffffff00722f000
0xfffffff008897640: 00ec2a91  add	x0, x0, #0xabb
0xfffffff008897644: 74ffff17  b	#0xfffffff008897414
0xfffffff008897648: d9720094  bl	#0xfffffff0088b41ac
0xfffffff00889764c: f60300aa  mov	x22, x0
0xfffffff008897650: 80008052  mov	w0, #4
0xfffffff008897654: 7f90ff97  bl	#0xfffffff00887b850
0xfffffff008897658: e80314aa  mov	x8, x20
0xfffffff00889765c: f32304a9  stp	x19, x8, [sp, #0x40]
0xfffffff008897660: c84bffb0  adrp	x8, #0xfffffff007210000
0xfffffff008897664: 08b92791  add	x8, x8, #0x9ee
0xfffffff008897668: e85703a9  stp	x8, x21, [sp, #0x30]
0xfffffff00889766c: 28198052  mov	w8, #0xc9
0xfffffff008897670: c94cff90  adrp	x9, #0xfffffff00722f000
0xfffffff008897674: 29352491  add	x9, x9, #0x90d
0xfffffff008897678: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00889767c: c84cff90  adrp	x8, #0xfffffff00722f000
0xfffffff008897680: 08493991  add	x8, x8, #0xe52
0xfffffff008897684: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008897688: 280e8052  mov	w8, #0x71
0xfffffff00889768c: f62300a9  stp	x22, x8, [sp]
0xfffffff008897690: 804affd0  adrp	x0, #0xfffffff0071e9000
0xfffffff008897694: 00003a91  add	x0, x0, #0xe80
0xfffffff008897698: 818bffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00889769c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088976a0: 434eff90  adrp	x3, #0xfffffff00725f000
0xfffffff0088976a4: 63142591  add	x3, x3, #0x945
0xfffffff0088976a8: 02008052  mov	w2, #0
0xfffffff0088976ac: a16eea97  bl	#0xfffffff008333130
0xfffffff0088976b0: 6f000014  b	#0xfffffff00889786c
0xfffffff0088976b4: be720094  bl	#0xfffffff0088b41ac
0xfffffff0088976b8: f60300aa  mov	x22, x0
0xfffffff0088976bc: 80008052  mov	w0, #4
0xfffffff0088976c0: 6490ff97  bl	#0xfffffff00887b850
0xfffffff0088976c4: e80314aa  mov	x8, x20
0xfffffff0088976c8: f32304a9  stp	x19, x8, [sp, #0x40]
0xfffffff0088976cc: c84bffb0  adrp	x8, #0xfffffff007210000
0xfffffff0088976d0: 08b92791  add	x8, x8, #0x9ee
0xfffffff0088976d4: e85703a9  stp	x8, x21, [sp, #0x30]
0xfffffff0088976d8: 88188052  mov	w8, #0xc4
0xfffffff0088976dc: c94cff90  adrp	x9, #0xfffffff00722f000
0xfffffff0088976e0: 29352491  add	x9, x9, #0x90d
0xfffffff0088976e4: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088976e8: c84cff90  adrp	x8, #0xfffffff00722f000
0xfffffff0088976ec: 08493991  add	x8, x8, #0xe52
0xfffffff0088976f0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088976f4: 280e8052  mov	w8, #0x71
0xfffffff0088976f8: f62300a9  stp	x22, x8, [sp]
0xfffffff0088976fc: 804affd0  adrp	x0, #0xfffffff0071e9000
0xfffffff008897700: 00003a91  add	x0, x0, #0xe80
0xfffffff008897704: 818bffb0  adrp	x1, #0xfffffff007a08000
0xfffffff008897708: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00889770c: 434eff90  adrp	x3, #0xfffffff00725f000
