; Candidate 6922
; ADRP+ADD at VM 0xfffffff00884a45c (fileoff 0x184645c): page=0x1fe99f000 add_imm=0xe80

0xfffffff00884a3dc: e00316aa  mov	x0, x22
0xfffffff00884a3e0: 1cc50094  bl	#0xfffffff00887b850
0xfffffff00884a3e4: 680640f9  ldr	x8, [x19, #8]
0xfffffff00884a3e8: 0911198b  add	x9, x8, x25, lsl #4
0xfffffff00884a3ec: 2a0140f9  ldr	x10, [x9]
0xfffffff00884a3f0: 0811188b  add	x8, x8, x24, lsl #4
0xfffffff00884a3f4: 601a40fd  ldr	d0, [x19, #0x30]
0xfffffff00884a3f8: 0b00781e  fcvtzs	w11, d0
0xfffffff00884a3fc: 0008691e  fmul	d0, d0, d9
0xfffffff00884a400: 0c00781e  fcvtzs	w12, d0
0xfffffff00884a404: 0d0140f9  ldr	x13, [x8]
0xfffffff00884a408: 6c311a1b  madd	w12, w11, w26, w12
0xfffffff00884a40c: 290940b9  ldr	w9, [x9, #8]
0xfffffff00884a410: 080940b9  ldr	w8, [x8, #8]
0xfffffff00884a414: 6e0240b9  ldr	w14, [x19]
0xfffffff00884a418: 6f2240b9  ldr	w15, [x19, #0x20]
0xfffffff00884a41c: f7ef08a9  stp	x23, x27, [sp, #0x88]
0xfffffff00884a420: ebb307a9  stp	x11, x12, [sp, #0x78]
0xfffffff00884a424: eda306a9  stp	x13, x8, [sp, #0x68]
0xfffffff00884a428: e9e305a9  stp	x9, x24, [sp, #0x58]
0xfffffff00884a42c: f9ab04a9  stp	x25, x10, [sp, #0x48]
0xfffffff00884a430: efd303a9  stp	x15, x20, [sp, #0x38]
0xfffffff00884a434: f3bb02a9  stp	x19, x14, [sp, #0x28]
0xfffffff00884a438: a8288052  mov	w8, #0x145
0xfffffff00884a43c: e81300f9  str	x8, [sp, #0x20]
0xfffffff00884a440: c84efff0  adrp	x8, #0xfffffff007225000
0xfffffff00884a444: 08c91c91  add	x8, x8, #0x732
0xfffffff00884a448: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00884a44c: 28098052  mov	w8, #0x49
0xfffffff00884a450: 2350fff0  adrp	x3, #0xfffffff007251000
0xfffffff00884a454: 63dc1891  add	x3, x3, #0x637
0xfffffff00884a458: f52300a9  stp	x21, x8, [sp]
0xfffffff00884a45c: e04cfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00884a460: 00003a91  add	x0, x0, #0xe80
0xfffffff00884a464: e18dffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00884a468: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00884a46c: 02008052  mov	w2, #0
0xfffffff00884a470: 30a3eb97  bl	#0xfffffff008333130
0xfffffff00884a474: 00008052  mov	w0, #0
0xfffffff00884a478: c7ffff17  b	#0xfffffff00884a394
0xfffffff00884a47c: 7f2303d5  pacibsp	
0xfffffff00884a480: ff4304d1  sub	sp, sp, #0x110
0xfffffff00884a484: e9230a6d  stp	d9, d8, [sp, #0xa0]
0xfffffff00884a488: fc6f0ba9  stp	x28, x27, [sp, #0xb0]
0xfffffff00884a48c: fa670ca9  stp	x26, x25, [sp, #0xc0]
0xfffffff00884a490: f85f0da9  stp	x24, x23, [sp, #0xd0]
0xfffffff00884a494: f6570ea9  stp	x22, x21, [sp, #0xe0]
0xfffffff00884a498: f44f0fa9  stp	x20, x19, [sp, #0xf0]
0xfffffff00884a49c: fd7b10a9  stp	x29, x30, [sp, #0x100]
0xfffffff00884a4a0: fd030491  add	x29, sp, #0x100
0xfffffff00884a4a4: a00200b4  cbz	x0, #0xfffffff00884a4f8
0xfffffff00884a4a8: f30300aa  mov	x19, x0
0xfffffff00884a4ac: 080440f9  ldr	x8, [x0, #8]
0xfffffff00884a4b0: 880500b4  cbz	x8, #0xfffffff00884a560
0xfffffff00884a4b4: 692240b9  ldr	w9, [x19, #0x20]
0xfffffff00884a4b8: 3f090071  cmp	w9, #2
0xfffffff00884a4bc: 8b0e0054  b.lt	#0xfffffff00884a68c
0xfffffff00884a4c0: 34050051  sub	w20, w9, #1
0xfffffff00884a4c4: e00313aa  mov	x0, x19
0xfffffff00884a4c8: 090441b8  ldr	w9, [x0], #0x10
0xfffffff00884a4cc: 8a0ec91a  sdiv	w10, w20, w9
0xfffffff00884a4d0: 58d1091b  msub	w24, w10, w9, w20
0xfffffff00884a4d4: 0151388b  add	x1, x8, w24, uxtw #4
0xfffffff00884a4d8: e20314aa  mov	x2, x20
