; Candidate 10411
; ADRP+ADD at VM 0xfffffff008d35c54 (fileoff 0x1d31c54): page=0x1fe650000 add_imm=0xe28

0xfffffff008d35bd4: 29813091  add	x9, x9, #0xc20
0xfffffff008d35bd8: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff008d35bdc: 8832ff90  adrp	x8, #0xfffffff007385000
0xfffffff008d35be0: 08b13991  add	x8, x8, #0xe6c
0xfffffff008d35be4: 8a32ff90  adrp	x10, #0xfffffff007385000
0xfffffff008d35be8: 4a3d3991  add	x10, x10, #0xe4f
0xfffffff008d35bec: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff008d35bf0: ea0300f9  str	x10, [sp]
0xfffffff008d35bf4: a032ff90  adrp	x0, #0xfffffff007389000
0xfffffff008d35bf8: 008c1b91  add	x0, x0, #0x6e3
0xfffffff008d35bfc: 0985d897  bl	#0xfffffff008357020
0xfffffff008d35c00: a8008052  mov	w8, #5
0xfffffff008d35c04: e81700f9  str	x8, [sp, #0x28]
0xfffffff008d35c08: e5c30091  add	x5, sp, #0x30
0xfffffff008d35c0c: e6a30091  add	x6, sp, #0x28
0xfffffff008d35c10: e00316aa  mov	x0, x22
0xfffffff008d35c14: 41028052  mov	w1, #0x12
0xfffffff008d35c18: 02008052  mov	w2, #0
0xfffffff008d35c1c: e30314aa  mov	x3, x20
0xfffffff008d35c20: 04028052  mov	w4, #0x10
0xfffffff008d35c24: 519081d2  mov	x17, #0xc82
0xfffffff008d35c28: b10a3fd7  blraa	x21, x17
0xfffffff008d35c2c: 200c0035  cbnz	w0, #0xfffffff008d35db0
0xfffffff008d35c30: e81740f9  ldr	x8, [sp, #0x28]
0xfffffff008d35c34: 1f1500f1  cmp	x8, #5
0xfffffff008d35c38: c10d0054  b.ne	#0xfffffff008d35df0
0xfffffff008d35c3c: e83340b9  ldr	w8, [sp, #0x30]
0xfffffff008d35c40: 88050034  cbz	w8, #0xfffffff008d35cf0
0xfffffff008d35c44: e06cff90  adrp	x0, #0xfffffff007ad1000
0xfffffff008d35c48: 00e02791  add	x0, x0, #0x9f8
0xfffffff008d35c4c: 2a82d897  bl	#0xfffffff0083564f4
0xfffffff008d35c50: f50300aa  mov	x21, x0
0xfffffff008d35c54: 8032ff90  adrp	x0, #0xfffffff007385000
0xfffffff008d35c58: 00a03891  add	x0, x0, #0xe28
0xfffffff008d35c5c: 9632ff90  adrp	x22, #0xfffffff007385000
0xfffffff008d35c60: d6823091  add	x22, x22, #0xc20
0xfffffff008d35c64: 8532ff90  adrp	x5, #0xfffffff007385000
0xfffffff008d35c68: a5f03a91  add	x5, x5, #0xebc
0xfffffff008d35c6c: e10315aa  mov	x1, x21
0xfffffff008d35c70: 82028052  mov	w2, #0x14
0xfffffff008d35c74: e30316aa  mov	x3, x22
0xfffffff008d35c78: 04108052  mov	w4, #0x80
0xfffffff008d35c7c: ba1e0094  bl	#0xfffffff008d3d764
0xfffffff008d35c80: 950500b4  cbz	x21, #0xfffffff008d35d30
0xfffffff008d35c84: e85343b8  ldur	w8, [sp, #0x35]
0xfffffff008d35c88: 8002c03d  ldr	q0, [x20]
0xfffffff008d35c8c: a002803d  str	q0, [x21]
0xfffffff008d35c90: a81200b9  str	w8, [x21, #0x10]
0xfffffff008d35c94: 16008052  mov	w22, #0
0xfffffff008d35c98: 730000b4  cbz	x19, #0xfffffff008d35ca4
0xfffffff008d35c9c: e8d34039  ldrb	w8, [sp, #0x34]
0xfffffff008d35ca0: 68020039  strb	w8, [x19]
0xfffffff008d35ca4: 48018052  mov	w8, #0xa
0xfffffff008d35ca8: 69034039  ldrb	w9, [x27]
0xfffffff008d35cac: 1f01096b  cmp	w8, w9
0xfffffff008d35cb0: e3000054  b.lo	#0xfffffff008d35ccc
0xfffffff008d35cb4: c87e4093  sxtw	x8, w22
0xfffffff008d35cb8: fa6700a9  stp	x26, x25, [sp]
0xfffffff008d35cbc: e80b00f9  str	x8, [sp, #0x10]
0xfffffff008d35cc0: a032ff90  adrp	x0, #0xfffffff007389000
0xfffffff008d35cc4: 00881891  add	x0, x0, #0x622
0xfffffff008d35cc8: d684d897  bl	#0xfffffff008357020
0xfffffff008d35ccc: e00315aa  mov	x0, x21
0xfffffff008d35cd0: fd7b49a9  ldp	x29, x30, [sp, #0x90]
