; Candidate 15373
; ADRP+ADD at VM 0xfffffff009b57414 (fileoff 0x2b53414): page=0x1fdad1000 add_imm=0xed0

0xfffffff009b57394: 08a20791  add	x8, x16, #0x1e8
0xfffffff009b57398: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff009b5739c: e00313aa  mov	x0, x19
0xfffffff009b573a0: 010080d2  mov	x1, #0
0xfffffff009b573a4: f10308aa  mov	x17, x8
0xfffffff009b573a8: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b573ac: 31093fd7  blraa	x9, x17
0xfffffff009b573b0: f70300aa  mov	x23, x0
0xfffffff009b573b4: 700240f9  ldr	x16, [x19]
0xfffffff009b573b8: f10313aa  mov	x17, x19
0xfffffff009b573bc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b573c0: 301ac1da  autda	x16, x17
0xfffffff009b573c4: f10310aa  mov	x17, x16
0xfffffff009b573c8: f147c1da  xpacd	x17
0xfffffff009b573cc: 1f0211eb  cmp	x16, x17
0xfffffff009b573d0: 40000054  b.eq	#0xfffffff009b573d8
0xfffffff009b573d4: 408e38d4  brk	#0xc472
0xfffffff009b573d8: 08620891  add	x8, x16, #0x218
0xfffffff009b573dc: 090e41f9  ldr	x9, [x16, #0x218]
0xfffffff009b573e0: e00313aa  mov	x0, x19
0xfffffff009b573e4: 010080d2  mov	x1, #0
0xfffffff009b573e8: f10308aa  mov	x17, x8
0xfffffff009b573ec: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009b573f0: 31093fd7  blraa	x9, x17
0xfffffff009b573f4: e83b40b9  ldr	w8, [sp, #0x38]
0xfffffff009b573f8: e85702a9  stp	x8, x21, [sp, #0x20]
0xfffffff009b573fc: a8d6fe90  adrp	x8, #0xfffffff00762b000
0xfffffff009b57400: 08cd0291  add	x8, x8, #0xb3
0xfffffff009b57404: 89d6fed0  adrp	x9, #0xfffffff007629000
0xfffffff009b57408: 29f11f91  add	x9, x9, #0x7fc
0xfffffff009b5740c: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009b57410: f70300a9  stp	x23, x0, [sp]
0xfffffff009b57414: 80d6feb0  adrp	x0, #0xfffffff007628000
0xfffffff009b57418: 00403b91  add	x0, x0, #0xed0
0xfffffff009b5741c: a3d6feb0  adrp	x3, #0xfffffff00762c000
0xfffffff009b57420: 63903691  add	x3, x3, #0xda4
0xfffffff009b57424: e10316aa  mov	x1, x22
0xfffffff009b57428: 02028052  mov	w2, #0x10
0xfffffff009b5742c: 416f9f97  bl	#0xfffffff008333130
0xfffffff009b57430: e00313aa  mov	x0, x19
0xfffffff009b57434: 81f8ff97  bl	#0xfffffff009b55638
0xfffffff009b57438: 350340f9  ldr	x21, [x25]
0xfffffff009b5743c: 48598052  mov	w8, #0x2ca
0xfffffff009b57440: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff009b57444: a82a00b9  str	w8, [x21, #0x28]
0xfffffff009b57448: f60315aa  mov	x22, x21
0xfffffff009b5744c: c80e42f8  ldr	x8, [x22, #0x20]!
0xfffffff009b57450: 680000b4  cbz	x8, #0xfffffff009b5745c
0xfffffff009b57454: 881a00f9  str	x8, [x20, #0x30]
0xfffffff009b57458: 02000014  b	#0xfffffff009b57460
0xfffffff009b5745c: 9f6603a9  stp	xzr, x25, [x20, #0x30]
0xfffffff009b57460: 802e40f9  ldr	x0, [x20, #0x58]
0xfffffff009b57464: 800100b4  cbz	x0, #0xfffffff009b57494
0xfffffff009b57468: 100040f9  ldr	x16, [x0]
0xfffffff009b5746c: f10300aa  mov	x17, x0
0xfffffff009b57470: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b57474: 301ac1da  autda	x16, x17
0xfffffff009b57478: 112780d2  mov	x17, #0x138
0xfffffff009b5747c: 1002118b  add	x16, x16, x17
0xfffffff009b57480: 080240f9  ldr	x8, [x16]
0xfffffff009b57484: e90310aa  mov	x9, x16
0xfffffff009b57488: f10309aa  mov	x17, x9
0xfffffff009b5748c: 1174fff2  movk	x17, #0xfba0, lsl #48
0xfffffff009b57490: 11093fd7  blraa	x8, x17
