; Candidate 5162
; ADRP+ADD at VM 0xfffffff0087dcbec (fileoff 0x17d8bec): page=0x1fea0d000 add_imm=0xe80

0xfffffff0087dcb6c: 37020034  cbz	w23, #0xfffffff0087dcbb0
0xfffffff0087dcb70: 68ee40b9  ldr	w8, [x19, #0xec]
0xfffffff0087dcb74: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff0087dcb78: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff0087dcb7c: a851ffd0  adrp	x8, #0xfffffff007212000
0xfffffff0087dcb80: 09ed2f91  add	x9, x8, #0xbfb
0xfffffff0087dcb84: a851ffd0  adrp	x8, #0xfffffff007212000
0xfffffff0087dcb88: 081d0291  add	x8, x8, #0x87
0xfffffff0087dcb8c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087dcb90: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0087dcb94: 280a8052  mov	w8, #0x51
0xfffffff0087dcb98: a051ffd0  adrp	x0, #0xfffffff007212000
0xfffffff0087dcb9c: 000c2191  add	x0, x0, #0x843
0xfffffff0087dcba0: f62300a9  stp	x22, x8, [sp]
0xfffffff0087dcba4: 2f6ad797  bl	#0xfffffff007db7460
0xfffffff0087dcba8: 540300b5  cbnz	x20, #0xfffffff0087dcc10
0xfffffff0087dcbac: 23000014  b	#0xfffffff0087dcc38
0xfffffff0087dcbb0: 7f5d0394  bl	#0xfffffff0088b41ac
0xfffffff0087dcbb4: f60300aa  mov	x22, x0
0xfffffff0087dcbb8: c0008052  mov	w0, #6
0xfffffff0087dcbbc: 257b0294  bl	#0xfffffff00887b850
0xfffffff0087dcbc0: 68ee40b9  ldr	w8, [x19, #0xec]
0xfffffff0087dcbc4: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff0087dcbc8: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff0087dcbcc: a851ffd0  adrp	x8, #0xfffffff007212000
0xfffffff0087dcbd0: 09ed2f91  add	x9, x8, #0xbfb
0xfffffff0087dcbd4: a851ffd0  adrp	x8, #0xfffffff007212000
0xfffffff0087dcbd8: 081d0291  add	x8, x8, #0x87
0xfffffff0087dcbdc: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087dcbe0: 280a8052  mov	w8, #0x51
0xfffffff0087dcbe4: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087dcbe8: f60300f9  str	x22, [sp]
0xfffffff0087dcbec: 6050ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087dcbf0: 00003a91  add	x0, x0, #0xe80
0xfffffff0087dcbf4: 6191ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087dcbf8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087dcbfc: 0353ff90  adrp	x3, #0xfffffff00723c000
0xfffffff0087dcc00: 63103b91  add	x3, x3, #0xec4
0xfffffff0087dcc04: 02008052  mov	w2, #0
0xfffffff0087dcc08: 4a59ed97  bl	#0xfffffff008333130
0xfffffff0087dcc0c: 740100b4  cbz	x20, #0xfffffff0087dcc38
0xfffffff0087dcc10: 550100b4  cbz	x21, #0xfffffff0087dcc38
0xfffffff0087dcc14: 686e40f9  ldr	x8, [x19, #0xd8]
0xfffffff0087dcc18: e80400b4  cbz	x8, #0xfffffff0087dccb4
0xfffffff0087dcc1c: 60aa40f9  ldr	x0, [x19, #0x150]
0xfffffff0087dcc20: a00400b4  cbz	x0, #0xfffffff0087dccb4
0xfffffff0087dcc24: 821640b9  ldr	w2, [x20, #0x14]
0xfffffff0087dcc28: e10314aa  mov	x1, x20
0xfffffff0087dcc2c: 68020194  bl	#0xfffffff00881d5cc
0xfffffff0087dcc30: f60300aa  mov	x22, x0
0xfffffff0087dcc34: 7c000014  b	#0xfffffff0087dce24
0xfffffff0087dcc38: 200a8052  mov	w0, #0x51
0xfffffff0087dcc3c: 81008052  mov	w1, #4
0xfffffff0087dcc40: e47a0294  bl	#0xfffffff00887b7d0
0xfffffff0087dcc44: 000b0034  cbz	w0, #0xfffffff0087dcda4
0xfffffff0087dcc48: 200a8052  mov	w0, #0x51
0xfffffff0087dcc4c: f37a0294  bl	#0xfffffff00887b818
0xfffffff0087dcc50: f70300aa  mov	x23, x0
0xfffffff0087dcc54: 565d0394  bl	#0xfffffff0088b41ac
0xfffffff0087dcc58: f60300aa  mov	x22, x0
0xfffffff0087dcc5c: 80008052  mov	w0, #4
0xfffffff0087dcc60: fc7a0294  bl	#0xfffffff00887b850
0xfffffff0087dcc64: b7060034  cbz	w23, #0xfffffff0087dcd38
0xfffffff0087dcc68: 68ee40b9  ldr	w8, [x19, #0xec]
