; Candidate 8316
; ADRP+ADD at VM 0xfffffff0088a30bc (fileoff 0x189f0bc): page=0x1fe98e000 add_imm=0xe19

0xfffffff0088a303c: 02008052  mov	w2, #0
0xfffffff0088a3040: 3c40ea97  bl	#0xfffffff008333130
0xfffffff0088a3044: 1b7d8012  mov	w27, #-0x3e9
0xfffffff0088a3048: 600f8052  mov	w0, #0x7b
0xfffffff0088a304c: c1008052  mov	w1, #6
0xfffffff0088a3050: e061ff97  bl	#0xfffffff00887b7d0
0xfffffff0088a3054: c0070034  cbz	w0, #0xfffffff0088a314c
0xfffffff0088a3058: 600f8052  mov	w0, #0x7b
0xfffffff0088a305c: ef61ff97  bl	#0xfffffff00887b818
0xfffffff0088a3060: f40300aa  mov	x20, x0
0xfffffff0088a3064: 52440094  bl	#0xfffffff0088b41ac
0xfffffff0088a3068: f50300aa  mov	x21, x0
0xfffffff0088a306c: c0008052  mov	w0, #6
0xfffffff0088a3070: f861ff97  bl	#0xfffffff00887b850
0xfffffff0088a3074: f4020034  cbz	w20, #0xfffffff0088a30d0
0xfffffff0088a3078: e8031caa  mov	x8, x28
0xfffffff0088a307c: e86f06a9  stp	x8, x27, [sp, #0x60]
0xfffffff0088a3080: e80317aa  mov	x8, x23
0xfffffff0088a3084: e86305a9  stp	x8, x24, [sp, #0x50]
0xfffffff0088a3088: e80316aa  mov	x8, x22
0xfffffff0088a308c: e9031aaa  mov	x9, x26
0xfffffff0088a3090: e92304a9  stp	x9, x8, [sp, #0x40]
0xfffffff0088a3094: e80319aa  mov	x8, x25
0xfffffff0088a3098: a9035af8  ldur	x9, [x29, #-0x60]
0xfffffff0088a309c: e92303a9  stp	x9, x8, [sp, #0x30]
0xfffffff0088a30a0: 684bffd0  adrp	x8, #0xfffffff007211000
0xfffffff0088a30a4: 08892c91  add	x8, x8, #0xb22
0xfffffff0088a30a8: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0088a30ac: 684cfff0  adrp	x8, #0xfffffff007232000
0xfffffff0088a30b0: 08593a91  add	x8, x8, #0xe96
0xfffffff0088a30b4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088a30b8: 680f8052  mov	w8, #0x7b
0xfffffff0088a30bc: 604cffd0  adrp	x0, #0xfffffff007231000
0xfffffff0088a30c0: 00643891  add	x0, x0, #0xe19
0xfffffff0088a30c4: f52300a9  stp	x21, x8, [sp]
0xfffffff0088a30c8: e650d497  bl	#0xfffffff007db7460
0xfffffff0088a30cc: 20000014  b	#0xfffffff0088a314c
0xfffffff0088a30d0: 37440094  bl	#0xfffffff0088b41ac
0xfffffff0088a30d4: f40300aa  mov	x20, x0
0xfffffff0088a30d8: c0008052  mov	w0, #6
0xfffffff0088a30dc: dd61ff97  bl	#0xfffffff00887b850
0xfffffff0088a30e0: e8031baa  mov	x8, x27
0xfffffff0088a30e4: e9031caa  mov	x9, x28
0xfffffff0088a30e8: e92306a9  stp	x9, x8, [sp, #0x60]
0xfffffff0088a30ec: e80317aa  mov	x8, x23
0xfffffff0088a30f0: e86305a9  stp	x8, x24, [sp, #0x50]
0xfffffff0088a30f4: e80316aa  mov	x8, x22
0xfffffff0088a30f8: e9031aaa  mov	x9, x26
0xfffffff0088a30fc: e92304a9  stp	x9, x8, [sp, #0x40]
0xfffffff0088a3100: e80319aa  mov	x8, x25
0xfffffff0088a3104: a9035af8  ldur	x9, [x29, #-0x60]
0xfffffff0088a3108: e92303a9  stp	x9, x8, [sp, #0x30]
0xfffffff0088a310c: 684bffd0  adrp	x8, #0xfffffff007211000
0xfffffff0088a3110: 08892c91  add	x8, x8, #0xb22
0xfffffff0088a3114: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0088a3118: 684cfff0  adrp	x8, #0xfffffff007232000
0xfffffff0088a311c: 08593a91  add	x8, x8, #0xe96
0xfffffff0088a3120: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088a3124: 680f8052  mov	w8, #0x7b
0xfffffff0088a3128: e34dffd0  adrp	x3, #0xfffffff007261000
0xfffffff0088a312c: 637c3791  add	x3, x3, #0xddf
0xfffffff0088a3130: f42300a9  stp	x20, x8, [sp]
0xfffffff0088a3134: 204affd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088a3138: 00003a91  add	x0, x0, #0xe80
