; Candidate 16600
; ADRP+ADD at VM 0xfffffff009efcabc (fileoff 0x2ef8abc): page=0x1fd955000 add_imm=0xe92

0xfffffff009efca3c: e82f40f9  ldr	x8, [sp, #0x58]
0xfffffff009efca40: 1f0114eb  cmp	x8, x20
0xfffffff009efca44: 61000054  b.ne	#0xfffffff009efca50
0xfffffff009efca48: 80820291  add	x0, x20, #0xa0
0xfffffff009efca4c: 6cc77a97  bl	#0xfffffff007dae7fc
0xfffffff009efca50: e82740f9  ldr	x8, [sp, #0x48]
0xfffffff009efca54: 4895ffb5  cbnz	x8, #0xfffffff009efbcfc
0xfffffff009efca58: e00313aa  mov	x0, x19
0xfffffff009efca5c: 21008052  mov	w1, #1
0xfffffff009efca60: e24340f9  ldr	x2, [sp, #0x80]
0xfffffff009efca64: 030080d2  mov	x3, #0
0xfffffff009efca68: e40319aa  mov	x4, x25
0xfffffff009efca6c: 05008052  mov	w5, #0
0xfffffff009efca70: 61d7ff97  bl	#0xfffffff009ef27f4
0xfffffff009efca74: a2fcff17  b	#0xfffffff009efbcfc
0xfffffff009efca78: e00313aa  mov	x0, x19
0xfffffff009efca7c: e14740f9  ldr	x1, [sp, #0x88]
0xfffffff009efca80: e20319aa  mov	x2, x25
0xfffffff009efca84: 9068fd97  bl	#0xfffffff009e56cc4
0xfffffff009efca88: 20faff34  cbz	w0, #0xfffffff009efc9cc
0xfffffff009efca8c: fb0300aa  mov	x27, x0
0xfffffff009efca90: 083e8452  mov	w8, #0x21f0
0xfffffff009efca94: 6802088b  add	x8, x19, x8
0xfffffff009efca98: ea4740f9  ldr	x10, [sp, #0x88]
0xfffffff009efca9c: 492140f9  ldr	x9, [x10, #0x40]
0xfffffff009efcaa0: 4a0540f9  ldr	x10, [x10, #8]
0xfffffff009efcaa4: ea6f02a9  stp	x10, x27, [sp, #0x20]
0xfffffff009efcaa8: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009efcaac: a8cafeb0  adrp	x8, #0xfffffff007851000
0xfffffff009efcab0: 084d3391  add	x8, x8, #0xcd3
0xfffffff009efcab4: c90f8852  mov	w9, #0x407e
0xfffffff009efcab8: e82700a9  stp	x8, x9, [sp]
0xfffffff009efcabc: a0cafeb0  adrp	x0, #0xfffffff007851000
0xfffffff009efcac0: 00483a91  add	x0, x0, #0xe92
0xfffffff009efcac4: 800bfe97  bl	#0xfffffff009e7f8c4
0xfffffff009efcac8: 412340f9  ldr	x1, [x26, #0x40]
0xfffffff009efcacc: e00313aa  mov	x0, x19
0xfffffff009efcad0: 3da2ff97  bl	#0xfffffff009ee53c4
0xfffffff009efcad4: 19008052  mov	w25, #0
0xfffffff009efcad8: 37008052  mov	w23, #1
0xfffffff009efcadc: 3c008052  mov	w28, #1
0xfffffff009efcae0: 34008052  mov	w20, #1
0xfffffff009efcae4: bffeff17  b	#0xfffffff009efc5e0
0xfffffff009efcae8: 7f2303d5  pacibsp	
0xfffffff009efcaec: ff0302d1  sub	sp, sp, #0x80
0xfffffff009efcaf0: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff009efcaf4: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff009efcaf8: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff009efcafc: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff009efcb00: fdc30191  add	x29, sp, #0x70
0xfffffff009efcb04: f50300aa  mov	x21, x0
0xfffffff009efcb08: bfc31cb8  stur	wzr, [x29, #-0x34]
0xfffffff009efcb0c: 08004039  ldrb	w8, [x0]
0xfffffff009efcb10: 1f250071  cmp	w8, #9
0xfffffff009efcb14: 61030054  b.ne	#0xfffffff009efcb80
0xfffffff009efcb18: f30301aa  mov	x19, x1
0xfffffff009efcb1c: 200040f9  ldr	x0, [x1]
0xfffffff009efcb20: a10a40f9  ldr	x1, [x21, #0x10]
0xfffffff009efcb24: 020080d2  mov	x2, #0
0xfffffff009efcb28: 030080d2  mov	x3, #0
0xfffffff009efcb2c: 5094ff97  bl	#0xfffffff009ee1c6c
0xfffffff009efcb30: c00300b4  cbz	x0, #0xfffffff009efcba8
0xfffffff009efcb34: f40300aa  mov	x20, x0
0xfffffff009efcb38: 630e40f9  ldr	x3, [x19, #0x18]
