; Candidate 16687
; ADRP+ADD at VM 0xfffffff009f28238 (fileoff 0x2f24238): page=0x1fd931000 add_imm=0xdfa

0xfffffff009f281b8: c8224439  ldrb	w8, [x22, #0x108]
0xfffffff009f281bc: c8190037  tbnz	w8, #0, #0xfffffff009f284f4
0xfffffff009f281c0: e51300f9  str	x5, [sp, #0x20]
0xfffffff009f281c4: e00315aa  mov	x0, x21
0xfffffff009f281c8: 74a3ff97  bl	#0xfffffff009f10f98
0xfffffff009f281cc: fb0300aa  mov	x27, x0
0xfffffff009f281d0: a86a40f9  ldr	x8, [x21, #0xd0]
0xfffffff009f281d4: 08010791  add	x8, x8, #0x1c0
0xfffffff009f281d8: c1c20391  add	x1, x22, #0xf0
0xfffffff009f281dc: 170140f9  ldr	x23, [x8]
0xfffffff009f281e0: e0630191  add	x0, sp, #0x58
0xfffffff009f281e4: 542a9097  bl	#0xfffffff008332b34
0xfffffff009f281e8: e0630191  add	x0, sp, #0x58
0xfffffff009f281ec: e1c30091  add	x1, sp, #0x30
0xfffffff009f281f0: 942b9097  bl	#0xfffffff008333040
0xfffffff009f281f4: e1630191  add	x1, sp, #0x58
0xfffffff009f281f8: e00317aa  mov	x0, x23
0xfffffff009f281fc: e20314aa  mov	x2, x20
0xfffffff009f28200: 03008052  mov	w3, #0
0xfffffff009f28204: 6b92fc97  bl	#0xfffffff009e4cbb0
0xfffffff009f28208: 00020034  cbz	w0, #0xfffffff009f28248
0xfffffff009f2820c: fa0300aa  mov	x26, x0
0xfffffff009f28210: 16008052  mov	w22, #0
0xfffffff009f28214: e20314aa  mov	x2, x20
0xfffffff009f28218: 1f080071  cmp	w0, #2
0xfffffff009f2821c: 80030054  b.eq	#0xfffffff009f2828c
0xfffffff009f28220: e8c30091  add	x8, sp, #0x30
0xfffffff009f28224: e86b01a9  stp	x8, x26, [sp, #0x10]
0xfffffff009f28228: 88c9feb0  adrp	x8, #0xfffffff007859000
0xfffffff009f2822c: 08d53891  add	x8, x8, #0xe35
0xfffffff009f28230: a9ba8052  mov	w9, #0x5d5
0xfffffff009f28234: e82700a9  stp	x8, x9, [sp]
0xfffffff009f28238: 80c9feb0  adrp	x0, #0xfffffff007859000
0xfffffff009f2823c: 00e83791  add	x0, x0, #0xdfa
0xfffffff009f28240: a15dfd97  bl	#0xfffffff009e7f8c4
0xfffffff009f28244: c2000014  b	#0xfffffff009f2854c
0xfffffff009f28248: 36008052  mov	w22, #1
0xfffffff009f2824c: f6bf0039  strb	w22, [sp, #0x2f]
0xfffffff009f28250: 62f0fe90  adrp	x2, #0xfffffff007d34000
0xfffffff009f28254: 42603391  add	x2, x2, #0xcd8
0xfffffff009f28258: e3bf0091  add	x3, sp, #0x2f
0xfffffff009f2825c: e00315aa  mov	x0, x21
0xfffffff009f28260: 41008052  mov	w1, #2
0xfffffff009f28264: 040080d2  mov	x4, #0
0xfffffff009f28268: 90670094  bl	#0xfffffff009f420a8
0xfffffff009f2826c: 08040051  sub	w8, w0, #1
0xfffffff009f28270: e20313aa  mov	x2, x19
0xfffffff009f28274: 1f0d0031  cmn	w8, #3
0xfffffff009f28278: a8000054  b.hi	#0xfffffff009f2828c
0xfffffff009f2827c: e00314aa  mov	x0, x20
0xfffffff009f28280: cd000094  bl	#0xfffffff009f285b4
0xfffffff009f28284: 16008052  mov	w22, #0
0xfffffff009f28288: e20314aa  mov	x2, x20
0xfffffff009f2828c: e1630191  add	x1, sp, #0x58
0xfffffff009f28290: e00317aa  mov	x0, x23
0xfffffff009f28294: 03008052  mov	w3, #0
0xfffffff009f28298: 5191fc97  bl	#0xfffffff009e4c7dc
0xfffffff009f2829c: c0010034  cbz	w0, #0xfffffff009f282d4
0xfffffff009f282a0: fa0300aa  mov	x26, x0
0xfffffff009f282a4: e00314aa  mov	x0, x20
0xfffffff009f282a8: c3000094  bl	#0xfffffff009f285b4
0xfffffff009f282ac: e8c30091  add	x8, sp, #0x30
0xfffffff009f282b0: e86b01a9  stp	x8, x26, [sp, #0x10]
0xfffffff009f282b4: 88c9feb0  adrp	x8, #0xfffffff007859000
