; Candidate 10529
; ADRP+ADD at VM 0xfffffff008db2868 (fileoff 0x1dae868): page=0x1fed3d000 add_imm=0xdc0

0xfffffff008db27e8: 10a21491  add	x16, x16, #0x528
0xfffffff008db27ec: 10420091  add	x16, x16, #0x10
0xfffffff008db27f0: f10300aa  mov	x17, x0
0xfffffff008db27f4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008db27f8: 300ac1da  pacda	x16, x17
0xfffffff008db27fc: 100000f9  str	x16, [x0]
0xfffffff008db2800: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008db2804: ff0f5fd6  retab	
0xfffffff008db2808: 5f2403d5  bti	c
0xfffffff008db280c: c6e4fe17  b	#0xfffffff008d6bb24
0xfffffff008db2810: 5f2403d5  bti	c
0xfffffff008db2814: c4e4fe17  b	#0xfffffff008d6bb24
0xfffffff008db2818: 7f2303d5  pacibsp	
0xfffffff008db281c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008db2820: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008db2824: fd430091  add	x29, sp, #0x10
0xfffffff008db2828: f30300aa  mov	x19, x0
0xfffffff008db282c: bee4fe97  bl	#0xfffffff008d6bb24
0xfffffff008db2830: e069ffb0  adrp	x0, #0xfffffff007aef000
0xfffffff008db2834: 00003791  add	x0, x0, #0xdc0
0xfffffff008db2838: e10313aa  mov	x1, x19
0xfffffff008db283c: 02328052  mov	w2, #0x190
0xfffffff008db2840: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008db2844: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008db2848: ff2303d5  autibsp	
0xfffffff008db284c: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008db2850: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008db2858
0xfffffff008db2854: 208e38d4  brk	#0xc471
0xfffffff008db2858: 91d3d417  b	#0xfffffff0082e769c
0xfffffff008db285c: 5f2403d5  bti	c
0xfffffff008db2860: e20301aa  mov	x2, x1
0xfffffff008db2864: e10300aa  mov	x1, x0
0xfffffff008db2868: e069ffb0  adrp	x0, #0xfffffff007aef000
0xfffffff008db286c: 00003791  add	x0, x0, #0xdc0
0xfffffff008db2870: 8bd3d417  b	#0xfffffff0082e769c
0xfffffff008db2874: 5f2403d5  bti	c
0xfffffff008db2878: 60aa0090  adrp	x0, #0xfffffff00a2fe000
0xfffffff008db287c: 00c01691  add	x0, x0, #0x5b0
0xfffffff008db2880: c0035fd6  ret	
0xfffffff008db2884: 7f2303d5  pacibsp	
0xfffffff008db2888: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008db288c: fd030091  mov	x29, sp
0xfffffff008db2890: 4130ffd0  adrp	x1, #0xfffffff0073bc000
0xfffffff008db2894: 21382191  add	x1, x1, #0x84e
0xfffffff008db2898: 42aa00f0  adrp	x2, #0xfffffff00a2fd000
0xfffffff008db289c: 42802e91  add	x2, x2, #0xba0
0xfffffff008db28a0: 03328052  mov	w3, #0x190
0xfffffff008db28a4: a5c4d497  bl	#0xfffffff0082e3b38
0xfffffff008db28a8: b069ffd0  adrp	x16, #0xfffffff007ae8000
0xfffffff008db28ac: 10821f91  add	x16, x16, #0x7e0
0xfffffff008db28b0: 10420091  add	x16, x16, #0x10
0xfffffff008db28b4: f10300aa  mov	x17, x0
0xfffffff008db28b8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008db28bc: 300ac1da  pacda	x16, x17
0xfffffff008db28c0: 100000f9  str	x16, [x0]
0xfffffff008db28c4: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008db28c8: ff0f5fd6  retab	
0xfffffff008db28cc: 7f2303d5  pacibsp	
0xfffffff008db28d0: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008db28d4: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008db28d8: fd430091  add	x29, sp, #0x10
0xfffffff008db28dc: e069ffb0  adrp	x0, #0xfffffff007aef000
0xfffffff008db28e0: 00003791  add	x0, x0, #0xdc0
0xfffffff008db28e4: 01328052  mov	w1, #0x190
