; Candidate 16485
; ADRP+ADD at VM 0xfffffff009ec20b4 (fileoff 0x2ebe0b4): page=0x1fd966000 add_imm=0xe2e

0xfffffff009ec2034: 08008052  mov	w8, #0
0xfffffff009ec2038: f39740f9  ldr	x19, [sp, #0x128]
0xfffffff009ec203c: a0ba41f9  ldr	x0, [x21, #0x370]
0xfffffff009ec2040: 000400b4  cbz	x0, #0xfffffff009ec20c0
0xfffffff009ec2044: e8bf00b9  str	w8, [sp, #0xbc]
0xfffffff009ec2048: 5ad98197  bl	#0xfffffff007f385b0
0xfffffff009ec204c: a0030035  cbnz	w0, #0xfffffff009ec20c0
0xfffffff009ec2050: e00315aa  mov	x0, x21
0xfffffff009ec2054: f93a0194  bl	#0xfffffff009f10c38
0xfffffff009ec2058: 40030035  cbnz	w0, #0xfffffff009ec20c0
0xfffffff009ec205c: a86a60b9  ldr	w8, [x21, #0x2068]
0xfffffff009ec2060: 88220035  cbnz	w8, #0xfffffff009ec24b0
0xfffffff009ec2064: 000080d2  mov	x0, #0
0xfffffff009ec2068: 7d107c97  bl	#0xfffffff007dc625c
0xfffffff009ec206c: e86f40f9  ldr	x8, [sp, #0xd8]
0xfffffff009ec2070: 1f0114eb  cmp	x8, x20
0xfffffff009ec2074: 62a8ff54  b.hs	#0xfffffff009ec1580
0xfffffff009ec2078: e98340f9  ldr	x9, [sp, #0x100]
0xfffffff009ec207c: 692900b4  cbz	x9, #0xfffffff009ec25a8
0xfffffff009ec2080: 288540f9  ldr	x8, [x9, #0x108]
0xfffffff009ec2084: 282900b4  cbz	x8, #0xfffffff009ec25a8
0xfffffff009ec2088: 080d40f9  ldr	x8, [x8, #0x18]
0xfffffff009ec208c: a82e00b4  cbz	x8, #0xfffffff009ec2660
0xfffffff009ec2090: 2a3940f9  ldr	x10, [x9, #0x70]
0xfffffff009ec2094: e85340f9  ldr	x8, [sp, #0xa0]
0xfffffff009ec2098: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff009ec209c: e99b40f9  ldr	x9, [sp, #0x130]
0xfffffff009ec20a0: e8758152  mov	w8, #0xbaf
0xfffffff009ec20a4: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff009ec20a8: 28cbfed0  adrp	x8, #0xfffffff007828000
0xfffffff009ec20ac: 08912291  add	x8, x8, #0x8a4
0xfffffff009ec20b0: e80300f9  str	x8, [sp]
0xfffffff009ec20b4: 20cbfed0  adrp	x0, #0xfffffff007828000
0xfffffff009ec20b8: 00b83891  add	x0, x0, #0xe2e
0xfffffff009ec20bc: 02f6fe97  bl	#0xfffffff009e7f8c4
0xfffffff009ec20c0: 14008052  mov	w20, #0
0xfffffff009ec20c4: 13008052  mov	w19, #0
0xfffffff009ec20c8: 19000014  b	#0xfffffff009ec212c
0xfffffff009ec20cc: e80313aa  mov	x8, x19
0xfffffff009ec20d0: e80f00f9  str	x8, [sp, #0x18]
0xfffffff009ec20d4: e99b40f9  ldr	x9, [sp, #0x130]
0xfffffff009ec20d8: c8638152  mov	w8, #0xb1e
0xfffffff009ec20dc: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff009ec20e0: 28cbfed0  adrp	x8, #0xfffffff007828000
0xfffffff009ec20e4: 08912291  add	x8, x8, #0x8a4
0xfffffff009ec20e8: e80300f9  str	x8, [sp]
0xfffffff009ec20ec: 20cbfed0  adrp	x0, #0xfffffff007828000
0xfffffff009ec20f0: 00202f91  add	x0, x0, #0xbc8
0xfffffff009ec20f4: f4f5fe97  bl	#0xfffffff009e7f8c4
0xfffffff009ec20f8: 14008052  mov	w20, #0
0xfffffff009ec20fc: 0c000014  b	#0xfffffff009ec212c
0xfffffff009ec2100: e99b40f9  ldr	x9, [sp, #0x130]
0xfffffff009ec2104: c8648152  mov	w8, #0xb26
0xfffffff009ec2108: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff009ec210c: 28cbfed0  adrp	x8, #0xfffffff007828000
0xfffffff009ec2110: 08912291  add	x8, x8, #0x8a4
0xfffffff009ec2114: e80300f9  str	x8, [sp]
0xfffffff009ec2118: 20cbfed0  adrp	x0, #0xfffffff007828000
0xfffffff009ec211c: 00b82f91  add	x0, x0, #0xbee
0xfffffff009ec2120: e9f5fe97  bl	#0xfffffff009e7f8c4
0xfffffff009ec2124: 14008052  mov	w20, #0
0xfffffff009ec2128: 93038052  mov	w19, #0x1c
0xfffffff009ec212c: fc8740f9  ldr	x28, [sp, #0x108]
0xfffffff009ec2130: 020080d2  mov	x2, #0
