; Candidate 429
; ADRP+ADD at VM 0xfffffff007f07f4c (fileoff 0xf03f4c): page=0x1ff156000 add_imm=0xea3

0xfffffff007f07ecc: 6b5640b9  ldr	w11, [x19, #0x54]
0xfffffff007f07ed0: cd518152  mov	w13, #0xa8e
0xfffffff007f07ed4: ac8affd0  adrp	x12, #0xfffffff00705d000
0xfffffff007f07ed8: 8c410791  add	x12, x12, #0x1d0
0xfffffff007f07edc: ecb702a9  stp	x12, x13, [sp, #0x28]
0xfffffff007f07ee0: e9af01a9  stp	x9, x11, [sp, #0x18]
0xfffffff007f07ee4: e80b00f9  str	x8, [sp, #0x10]
0xfffffff007f07ee8: a08affd0  adrp	x0, #0xfffffff00705d000
0xfffffff007f07eec: 003c1091  add	x0, x0, #0x40f
0xfffffff007f07ef0: f32b00a9  stp	x19, x10, [sp]
0xfffffff007f07ef4: 86311694  bl	#0xfffffff00849450c
0xfffffff007f07ef8: 68e64079  ldrh	w8, [x19, #0x72]
0xfffffff007f07efc: 69e24079  ldrh	w9, [x19, #0x70]
0xfffffff007f07f00: 6a5640b9  ldr	w10, [x19, #0x54]
0xfffffff007f07f04: cbeb8252  mov	w11, #0x175e
0xfffffff007f07f08: ac8affd0  adrp	x12, #0xfffffff00705d000
0xfffffff007f07f0c: 8c410791  add	x12, x12, #0x1d0
0xfffffff007f07f10: ec2f03a9  stp	x12, x11, [sp, #0x30]
0xfffffff007f07f14: e92b02a9  stp	x9, x10, [sp, #0x20]
0xfffffff007f07f18: 0900b012  mov	w9, #0x7fffffff
0xfffffff007f07f1c: aa8affd0  adrp	x10, #0xfffffff00705d000
0xfffffff007f07f20: 4a511991  add	x10, x10, #0x654
0xfffffff007f07f24: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff007f07f28: a08affd0  adrp	x0, #0xfffffff00705d000
0xfffffff007f07f2c: 00001891  add	x0, x0, #0x600
0xfffffff007f07f30: ea4f00a9  stp	x10, x19, [sp]
0xfffffff007f07f34: 76311694  bl	#0xfffffff00849450c
0xfffffff007f07f38: 683f8352  mov	w8, #0x19fb
0xfffffff007f07f3c: a98affd0  adrp	x9, #0xfffffff00705d000
0xfffffff007f07f40: 29410791  add	x9, x9, #0x1d0
0xfffffff007f07f44: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff007f07f48: f30300f9  str	x19, [sp]
0xfffffff007f07f4c: a08affd0  adrp	x0, #0xfffffff00705d000
0xfffffff007f07f50: 008c3a91  add	x0, x0, #0xea3
0xfffffff007f07f54: 6e311694  bl	#0xfffffff00849450c
0xfffffff007f07f58: 7f2303d5  pacibsp	
0xfffffff007f07f5c: ffc301d1  sub	sp, sp, #0x70
0xfffffff007f07f60: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff007f07f64: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff007f07f68: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff007f07f6c: fd830191  add	x29, sp, #0x60
0xfffffff007f07f70: f30300aa  mov	x19, x0
0xfffffff007f07f74: e80300aa  mov	x8, x0
0xfffffff007f07f78: 108d4df8  ldr	x16, [x8, #0xd8]!
0xfffffff007f07f7c: d00100b4  cbz	x16, #0xfffffff007f07fb4
0xfffffff007f07f80: f10308aa  mov	x17, x8
0xfffffff007f07f84: f1ddfaf2  movk	x17, #0xd6ef, lsl #48
0xfffffff007f07f88: 301ac1da  autda	x16, x17
0xfffffff007f07f8c: f10310aa  mov	x17, x16
0xfffffff007f07f90: f147c1da  xpacd	x17
0xfffffff007f07f94: 1f0211eb  cmp	x16, x17
0xfffffff007f07f98: 40000054  b.eq	#0xfffffff007f07fa0
0xfffffff007f07f9c: 408e38d4  brk	#0xc472
0xfffffff007f07fa0: 1f0200f1  cmp	x16, #0
0xfffffff007f07fa4: a91901b0  adrp	x9, #0xfffffff00a23c000
0xfffffff007f07fa8: 29a13791  add	x9, x9, #0xde8
0xfffffff007f07fac: 041249fa  ccmp	x16, x9, #4, ne
0xfffffff007f07fb0: 81040054  b.ne	#0xfffffff007f08040
0xfffffff007f07fb4: c10a00b4  cbz	x1, #0xfffffff007f0810c
0xfffffff007f07fb8: e90308aa  mov	x9, x8
0xfffffff007f07fbc: e9ddfaf2  movk	x9, #0xd6ef, lsl #48
0xfffffff007f07fc0: f10301aa  mov	x17, x1
0xfffffff007f07fc4: f00309aa  mov	x16, x9
0xfffffff007f07fc8: 110ac1da  pacda	x17, x16
