; Candidate 12883
; ADRP+ADD at VM 0xfffffff009170810 (fileoff 0x216c810): page=0x1fe31f000 add_imm=0xe8a

0xfffffff009170790: f1c8f3f2  movk	x17, #0x9e47, lsl #48
0xfffffff009170794: 11093fd7  blraa	x8, x17
0xfffffff009170798: e018fff0  adrp	x0, #0xfffffff00748f000
0xfffffff00917079c: 006c3991  add	x0, x0, #0xe5b
0xfffffff0091707a0: e1730091  add	x1, sp, #0x1c
0xfffffff0091707a4: 82008052  mov	w2, #4
0xfffffff0091707a8: 04f2cb97  bl	#0xfffffff00846cfb8
0xfffffff0091707ac: 1f000071  cmp	w0, #0
0xfffffff0091707b0: e81f40b9  ldr	w8, [sp, #0x1c]
0xfffffff0091707b4: 0419407a  ccmp	w8, #0, #4, ne
0xfffffff0091707b8: e8079f1a  cset	w8, ne
0xfffffff0091707bc: 68420439  strb	w8, [x19, #0x110]
0xfffffff0091707c0: e018fff0  adrp	x0, #0xfffffff00748f000
0xfffffff0091707c4: 00a83991  add	x0, x0, #0xe6a
0xfffffff0091707c8: e1730091  add	x1, sp, #0x1c
0xfffffff0091707cc: 82008052  mov	w2, #4
0xfffffff0091707d0: faf1cb97  bl	#0xfffffff00846cfb8
0xfffffff0091707d4: 1f000071  cmp	w0, #0
0xfffffff0091707d8: e81f40b9  ldr	w8, [sp, #0x1c]
0xfffffff0091707dc: 0419407a  ccmp	w8, #0, #4, ne
0xfffffff0091707e0: e8079f1a  cset	w8, ne
0xfffffff0091707e4: 68460439  strb	w8, [x19, #0x111]
0xfffffff0091707e8: e018fff0  adrp	x0, #0xfffffff00748f000
0xfffffff0091707ec: 00e43991  add	x0, x0, #0xe79
0xfffffff0091707f0: e1730091  add	x1, sp, #0x1c
0xfffffff0091707f4: 82008052  mov	w2, #4
0xfffffff0091707f8: f0f1cb97  bl	#0xfffffff00846cfb8
0xfffffff0091707fc: 1f000071  cmp	w0, #0
0xfffffff009170800: e81f40b9  ldr	w8, [sp, #0x1c]
0xfffffff009170804: 0419407a  ccmp	w8, #0, #4, ne
0xfffffff009170808: e8079f1a  cset	w8, ne
0xfffffff00917080c: 684a0439  strb	w8, [x19, #0x112]
0xfffffff009170810: e018fff0  adrp	x0, #0xfffffff00748f000
0xfffffff009170814: 00283a91  add	x0, x0, #0xe8a
0xfffffff009170818: e1730091  add	x1, sp, #0x1c
0xfffffff00917081c: 82008052  mov	w2, #4
0xfffffff009170820: e6f1cb97  bl	#0xfffffff00846cfb8
0xfffffff009170824: 1f000071  cmp	w0, #0
0xfffffff009170828: e81f40b9  ldr	w8, [sp, #0x1c]
0xfffffff00917082c: 0419407a  ccmp	w8, #0, #4, ne
0xfffffff009170830: e8079f1a  cset	w8, ne
0xfffffff009170834: 68560439  strb	w8, [x19, #0x115]
0xfffffff009170838: e018fff0  adrp	x0, #0xfffffff00748f000
0xfffffff00917083c: 006c3a91  add	x0, x0, #0xe9b
0xfffffff009170840: e1730091  add	x1, sp, #0x1c
0xfffffff009170844: 82008052  mov	w2, #4
0xfffffff009170848: dcf1cb97  bl	#0xfffffff00846cfb8
0xfffffff00917084c: 1f000071  cmp	w0, #0
0xfffffff009170850: e81f40b9  ldr	w8, [sp, #0x1c]
0xfffffff009170854: 0419407a  ccmp	w8, #0, #4, ne
0xfffffff009170858: e8079f1a  cset	w8, ne
0xfffffff00917085c: 684e0439  strb	w8, [x19, #0x113]
0xfffffff009170860: ffd303f8  stur	xzr, [sp, #0x3d]
0xfffffff009170864: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff009170868: e00301ad  stp	q0, q0, [sp, #0x20]
0xfffffff00917086c: 900240f9  ldr	x16, [x20]
0xfffffff009170870: f10314aa  mov	x17, x20
0xfffffff009170874: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009170878: 301ac1da  autda	x16, x17
0xfffffff00917087c: f10310aa  mov	x17, x16
0xfffffff009170880: f147c1da  xpacd	x17
0xfffffff009170884: 1f0211eb  cmp	x16, x17
0xfffffff009170888: 40000054  b.eq	#0xfffffff009170890
0xfffffff00917088c: 408e38d4  brk	#0xc472
