; Candidate 4393
; ADRP+ADD at VM 0xfffffff0087af394 (fileoff 0x17ab394): page=0x1fe982000 add_imm=0xd90

0xfffffff0087af314: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff0087af318: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0087af31c: fd830091  add	x29, sp, #0x20
0xfffffff0087af320: f30300aa  mov	x19, x0
0xfffffff0087af324: c092ff90  adrp	x0, #0xfffffff007a07000
0xfffffff0087af328: 00203191  add	x0, x0, #0xc48
0xfffffff0087af32c: 01208052  mov	w1, #0x100
0xfffffff0087af330: a89eee97  bl	#0xfffffff008356dd0
0xfffffff0087af334: 600a00f9  str	x0, [x19, #0x10]
0xfffffff0087af338: 400200b4  cbz	x0, #0xfffffff0087af380
0xfffffff0087af33c: 080080d2  mov	x8, #0
0xfffffff0087af340: 690a40f9  ldr	x9, [x19, #0x10]
0xfffffff0087af344: 3f6928f8  str	xzr, [x9, x8]
0xfffffff0087af348: 08210091  add	x8, x8, #8
0xfffffff0087af34c: 1f0104f1  cmp	x8, #0x100
0xfffffff0087af350: 81ffff54  b.ne	#0xfffffff0087af340
0xfffffff0087af354: b9a0ee97  bl	#0xfffffff008357638
0xfffffff0087af358: 600200f9  str	x0, [x19]
0xfffffff0087af35c: e00200b4  cbz	x0, #0xfffffff0087af3b8
0xfffffff0087af360: c092ff90  adrp	x0, #0xfffffff007a07000
0xfffffff0087af364: 00603291  add	x0, x0, #0xc98
0xfffffff0087af368: 01108052  mov	w1, #0x80
0xfffffff0087af36c: 999eee97  bl	#0xfffffff008356dd0
0xfffffff0087af370: 600e00f9  str	x0, [x19, #0x18]
0xfffffff0087af374: 000400b4  cbz	x0, #0xfffffff0087af3f4
0xfffffff0087af378: 13008052  mov	w19, #0
0xfffffff0087af37c: 2b000014  b	#0xfffffff0087af428
0xfffffff0087af380: b3578052  mov	w19, #0x2bd
0xfffffff0087af384: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff0087af388: e84cfff0  adrp	x8, #0xfffffff00714e000
0xfffffff0087af38c: 08e93f91  add	x8, x8, #0xffa
0xfffffff0087af390: e80300f9  str	x8, [sp]
0xfffffff0087af394: 004cffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087af398: 00403691  add	x0, x0, #0xd90
0xfffffff0087af39c: 6192ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087af3a0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087af3a4: e34cff90  adrp	x3, #0xfffffff00714b000
0xfffffff0087af3a8: 63080591  add	x3, x3, #0x142
0xfffffff0087af3ac: 02008052  mov	w2, #0
0xfffffff0087af3b0: 600fee97  bl	#0xfffffff008333130
0xfffffff0087af3b4: 1d000014  b	#0xfffffff0087af428
0xfffffff0087af3b8: e84cfff0  adrp	x8, #0xfffffff00714e000
0xfffffff0087af3bc: 08e93f91  add	x8, x8, #0xffa
0xfffffff0087af3c0: e80300f9  str	x8, [sp]
0xfffffff0087af3c4: 004cffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087af3c8: 00403691  add	x0, x0, #0xd90
0xfffffff0087af3cc: 6192ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087af3d0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087af3d4: e34cff90  adrp	x3, #0xfffffff00714b000
0xfffffff0087af3d8: 63180691  add	x3, x3, #0x186
0xfffffff0087af3dc: 02008052  mov	w2, #0
0xfffffff0087af3e0: 540fee97  bl	#0xfffffff008333130
0xfffffff0087af3e4: a8578052  mov	w8, #0x2bd
0xfffffff0087af3e8: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff0087af3ec: 13050011  add	w19, w8, #1
0xfffffff0087af3f0: 0e000014  b	#0xfffffff0087af428
0xfffffff0087af3f4: b3578052  mov	w19, #0x2bd
0xfffffff0087af3f8: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff0087af3fc: e84cfff0  adrp	x8, #0xfffffff00714e000
0xfffffff0087af400: 08e93f91  add	x8, x8, #0xffa
0xfffffff0087af404: e80300f9  str	x8, [sp]
0xfffffff0087af408: 004cffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087af40c: 00403691  add	x0, x0, #0xd90
0xfffffff0087af410: 6192ffd0  adrp	x1, #0xfffffff0079fd000
