; Candidate 6899
; ADRP+ADD at VM 0xfffffff008848f04 (fileoff 0x1844f04): page=0x1fe9a1000 add_imm=0xe80

0xfffffff008848e84: 4f0fd497  bl	#0xfffffff007d4cbc0
0xfffffff008848e88: 887a1f53  lsl	w8, w20, #1
0xfffffff008848e8c: bf020071  cmp	w21, #0
0xfffffff008848e90: 0801951a  csel	w8, w8, w21, eq
0xfffffff008848e94: 1f090071  cmp	w8, #2
0xfffffff008848e98: 49008052  mov	w9, #2
0xfffffff008848e9c: 15c1891a  csel	w21, w8, w9, gt
0xfffffff008848ea0: a17e7cd3  ubfiz	x1, x21, #4, #0x20
0xfffffff008848ea4: 208effd0  adrp	x0, #0xfffffff007a0e000
0xfffffff008848ea8: 00601891  add	x0, x0, #0x618
0xfffffff008848eac: c937ec97  bl	#0xfffffff008356dd0
0xfffffff008848eb0: 600600f9  str	x0, [x19, #8]
0xfffffff008848eb4: 400700b4  cbz	x0, #0xfffffff008848f9c
0xfffffff008848eb8: 16008052  mov	w22, #0
0xfffffff008848ebc: 750200b9  str	w21, [x19]
0xfffffff008848ec0: 8002621e  scvtf	d0, w20
0xfffffff008848ec4: 6082026d  stp	d0, d0, [x19, #0x28]
0xfffffff008848ec8: 601e00fd  str	d0, [x19, #0x38]
0xfffffff008848ecc: 80000014  b	#0xfffffff0088490cc
0xfffffff008848ed0: b7ac0194  bl	#0xfffffff0088b41ac
0xfffffff008848ed4: f60300aa  mov	x22, x0
0xfffffff008848ed8: c0008052  mov	w0, #6
0xfffffff008848edc: 5dca0094  bl	#0xfffffff00887b850
0xfffffff008848ee0: e80315aa  mov	x8, x21
0xfffffff008848ee4: e81b00f9  str	x8, [sp, #0x30]
0xfffffff008848ee8: e80314aa  mov	x8, x20
0xfffffff008848eec: f32302a9  stp	x19, x8, [sp, #0x20]
0xfffffff008848ef0: e84effb0  adrp	x8, #0xfffffff007225000
0xfffffff008848ef4: 08751391  add	x8, x8, #0x4dd
0xfffffff008848ef8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008848efc: 28098052  mov	w8, #0x49
0xfffffff008848f00: f62300a9  stp	x22, x8, [sp]
0xfffffff008848f04: 004dffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008848f08: 00003a91  add	x0, x0, #0xe80
0xfffffff008848f0c: 018eff90  adrp	x1, #0xfffffff007a08000
0xfffffff008848f10: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008848f14: 4350ffb0  adrp	x3, #0xfffffff007251000
0xfffffff008848f18: 63a40a91  add	x3, x3, #0x2a9
0xfffffff008848f1c: 02008052  mov	w2, #0
0xfffffff008848f20: 84a8eb97  bl	#0xfffffff008333130
0xfffffff008848f24: f5f9ff36  tbz	w21, #0x1f, #0xfffffff008848e60
0xfffffff008848f28: 20098052  mov	w0, #0x49
0xfffffff008848f2c: 81008052  mov	w1, #4
0xfffffff008848f30: 28ca0094  bl	#0xfffffff00887b7d0
0xfffffff008848f34: a0090034  cbz	w0, #0xfffffff008849068
0xfffffff008848f38: 20098052  mov	w0, #0x49
0xfffffff008848f3c: 37ca0094  bl	#0xfffffff00887b818
0xfffffff008848f40: f70300aa  mov	x23, x0
0xfffffff008848f44: 9aac0194  bl	#0xfffffff0088b41ac
0xfffffff008848f48: f60300aa  mov	x22, x0
0xfffffff008848f4c: 80008052  mov	w0, #4
0xfffffff008848f50: 40ca0094  bl	#0xfffffff00887b850
0xfffffff008848f54: 97050034  cbz	w23, #0xfffffff008849004
0xfffffff008848f58: e80315aa  mov	x8, x21
0xfffffff008848f5c: e82300f9  str	x8, [sp, #0x40]
0xfffffff008848f60: e80314aa  mov	x8, x20
0xfffffff008848f64: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff008848f68: e84effb0  adrp	x8, #0xfffffff007225000
0xfffffff008848f6c: 08811491  add	x8, x8, #0x520
0xfffffff008848f70: 89038052  mov	w9, #0x1c
0xfffffff008848f74: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008848f78: e84effb0  adrp	x8, #0xfffffff007225000
0xfffffff008848f7c: 08751391  add	x8, x8, #0x4dd
0xfffffff008848f80: e02301a9  stp	x0, x8, [sp, #0x10]
