; Candidate 8549
; ADRP+ADD at VM 0xfffffff0088b1264 (fileoff 0x18ad264): page=0x1fe938000 add_imm=0xe80

0xfffffff0088b11e4: e1008052  mov	w1, #7
0xfffffff0088b11e8: 7a29ff97  bl	#0xfffffff00887b7d0
0xfffffff0088b11ec: 40020034  cbz	w0, #0xfffffff0088b1234
0xfffffff0088b11f0: c00f8052  mov	w0, #0x7e
0xfffffff0088b11f4: 8929ff97  bl	#0xfffffff00887b818
0xfffffff0088b11f8: f60300aa  mov	x22, x0
0xfffffff0088b11fc: ec0b0094  bl	#0xfffffff0088b41ac
0xfffffff0088b1200: f50300aa  mov	x21, x0
0xfffffff0088b1204: e0008052  mov	w0, #7
0xfffffff0088b1208: 9229ff97  bl	#0xfffffff00887b850
0xfffffff0088b120c: 96010034  cbz	w22, #0xfffffff0088b123c
0xfffffff0088b1210: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff0088b1214: 084cfff0  adrp	x8, #0xfffffff007234000
0xfffffff0088b1218: 08151f91  add	x8, x8, #0x7c5
0xfffffff0088b121c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088b1220: c80f8052  mov	w8, #0x7e
0xfffffff0088b1224: f52300a9  stp	x21, x8, [sp]
0xfffffff0088b1228: 004bffd0  adrp	x0, #0xfffffff007213000
0xfffffff0088b122c: 00b83491  add	x0, x0, #0xd2e
0xfffffff0088b1230: 8c18d497  bl	#0xfffffff007db7460
0xfffffff0088b1234: b30200b5  cbnz	x19, #0xfffffff0088b1288
0xfffffff0088b1238: 29000014  b	#0xfffffff0088b12dc
0xfffffff0088b123c: dc0b0094  bl	#0xfffffff0088b41ac
0xfffffff0088b1240: f50300aa  mov	x21, x0
0xfffffff0088b1244: e0008052  mov	w0, #7
0xfffffff0088b1248: 8229ff97  bl	#0xfffffff00887b850
0xfffffff0088b124c: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff0088b1250: 084cfff0  adrp	x8, #0xfffffff007234000
0xfffffff0088b1254: 08151f91  add	x8, x8, #0x7c5
0xfffffff0088b1258: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088b125c: c80f8052  mov	w8, #0x7e
0xfffffff0088b1260: f52300a9  stp	x21, x8, [sp]
0xfffffff0088b1264: c049ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088b1268: 00003a91  add	x0, x0, #0xe80
0xfffffff0088b126c: a18afff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088b1270: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088b1274: 834dfff0  adrp	x3, #0xfffffff007264000
0xfffffff0088b1278: 63842191  add	x3, x3, #0x861
0xfffffff0088b127c: 02008052  mov	w2, #0
0xfffffff0088b1280: ac07ea97  bl	#0xfffffff008333130
0xfffffff0088b1284: d30200b4  cbz	x19, #0xfffffff0088b12dc
0xfffffff0088b1288: b40200b4  cbz	x20, #0xfffffff0088b12dc
0xfffffff0088b128c: 884a41b9  ldr	w8, [x20, #0x148]
0xfffffff0088b1290: 1f010071  cmp	w8, #0
0xfffffff0088b1294: e8079f1a  cset	w8, ne
0xfffffff0088b1298: 682200b9  str	w8, [x19, #0x20]
0xfffffff0088b129c: 892240b9  ldr	w9, [x20, #0x20]
0xfffffff0088b12a0: 88a20091  add	x8, x20, #0x28
0xfffffff0088b12a4: 3f0d0071  cmp	w9, #3
0xfffffff0088b12a8: 0a01939a  csel	x10, x8, x19, eq
0xfffffff0088b12ac: 4a0140f9  ldr	x10, [x10]
0xfffffff0088b12b0: 6a0200f9  str	x10, [x19]
0xfffffff0088b12b4: 6a220091  add	x10, x19, #8
0xfffffff0088b12b8: 0a018a9a  csel	x10, x8, x10, eq
0xfffffff0088b12bc: 3f010071  cmp	w9, #0
0xfffffff0088b12c0: 09018a9a  csel	x9, x8, x10, eq
0xfffffff0088b12c4: 290140f9  ldr	x9, [x9]
0xfffffff0088b12c8: 690600f9  str	x9, [x19, #8]
0xfffffff0088b12cc: 893240b9  ldr	w9, [x20, #0x30]
0xfffffff0088b12d0: a9030034  cbz	w9, #0xfffffff0088b1344
0xfffffff0088b12d4: 15008052  mov	w21, #0
0xfffffff0088b12d8: 3a000014  b	#0xfffffff0088b13c0
0xfffffff0088b12dc: c00f8052  mov	w0, #0x7e
0xfffffff0088b12e0: 81008052  mov	w1, #4
