; Candidate 8267
; ADRP+ADD at VM 0xfffffff00889fd74 (fileoff 0x189bd74): page=0x1fe94a000 add_imm=0xe80

0xfffffff00889fcf4: 684342b9  ldr	w8, [x27, #0x240]
0xfffffff00889fcf8: 13000014  b	#0xfffffff00889fd44
0xfffffff00889fcfc: 08008012  mov	w8, #-1
0xfffffff00889fd00: 690240b9  ldr	w9, [x19]
0xfffffff00889fd04: 4a0340f9  ldr	x10, [x26]
0xfffffff00889fd08: eaa304a9  stp	x10, x8, [sp, #0x48]
0xfffffff00889fd0c: e9d303a9  stp	x9, x20, [sp, #0x38]
0xfffffff00889fd10: f9cf02a9  stp	x25, x19, [sp, #0x28]
0xfffffff00889fd14: 884cffd0  adrp	x8, #0xfffffff007231000
0xfffffff00889fd18: 0b910491  add	x11, x8, #0x124
0xfffffff00889fd1c: 884cffd0  adrp	x8, #0xfffffff007231000
0xfffffff00889fd20: 08e93191  add	x8, x8, #0xc7a
0xfffffff00889fd24: e8af01a9  stp	x8, x11, [sp, #0x18]
0xfffffff00889fd28: f88300a9  stp	x24, x0, [sp, #8]
0xfffffff00889fd2c: fc0300f9  str	x28, [sp]
0xfffffff00889fd30: 804cffd0  adrp	x0, #0xfffffff007231000
0xfffffff00889fd34: 00fc0691  add	x0, x0, #0x1bf
0xfffffff00889fd38: ca5dd497  bl	#0xfffffff007db7460
0xfffffff00889fd3c: 16000014  b	#0xfffffff00889fd94
0xfffffff00889fd40: 08008012  mov	w8, #-1
0xfffffff00889fd44: 690240b9  ldr	w9, [x19]
0xfffffff00889fd48: 4a0340f9  ldr	x10, [x26]
0xfffffff00889fd4c: eaa304a9  stp	x10, x8, [sp, #0x48]
0xfffffff00889fd50: e9d303a9  stp	x9, x20, [sp, #0x38]
0xfffffff00889fd54: f9cf02a9  stp	x25, x19, [sp, #0x28]
0xfffffff00889fd58: 884cffd0  adrp	x8, #0xfffffff007231000
0xfffffff00889fd5c: 0b910491  add	x11, x8, #0x124
0xfffffff00889fd60: 884cffd0  adrp	x8, #0xfffffff007231000
0xfffffff00889fd64: 08e93191  add	x8, x8, #0xc7a
0xfffffff00889fd68: e8af01a9  stp	x8, x11, [sp, #0x18]
0xfffffff00889fd6c: f88300a9  stp	x24, x0, [sp, #8]
0xfffffff00889fd70: fc0300f9  str	x28, [sp]
0xfffffff00889fd74: 404affd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00889fd78: 00003a91  add	x0, x0, #0xe80
0xfffffff00889fd7c: 418bffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00889fd80: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00889fd84: 02008052  mov	w2, #0
0xfffffff00889fd88: 034effd0  adrp	x3, #0xfffffff007261000
0xfffffff00889fd8c: 63980891  add	x3, x3, #0x226
0xfffffff00889fd90: e84cea97  bl	#0xfffffff008333130
0xfffffff00889fd94: 37008052  mov	w23, #1
0xfffffff00889fd98: b5060091  add	x21, x21, #1
0xfffffff00889fd9c: c8c280b9  ldrsw	x8, [x22, #0xc0]
0xfffffff00889fda0: 5a830091  add	x26, x26, #0x20
0xfffffff00889fda4: bf0208eb  cmp	x21, x8
0xfffffff00889fda8: 8bf6ff54  b.lt	#0xfffffff00889fc78
0xfffffff00889fdac: 16008052  mov	w22, #0
0xfffffff00889fdb0: f52f40f9  ldr	x21, [sp, #0x58]
0xfffffff00889fdb4: b70200b9  str	w23, [x21]
0xfffffff00889fdb8: 3b000014  b	#0xfffffff00889fea4
0xfffffff00889fdbc: fc500094  bl	#0xfffffff0088b41ac
0xfffffff00889fdc0: f60300aa  mov	x22, x0
0xfffffff00889fdc4: 80008052  mov	w0, #4
0xfffffff00889fdc8: a26eff97  bl	#0xfffffff00887b850
0xfffffff00889fdcc: 680240b9  ldr	w8, [x19]
0xfffffff00889fdd0: f4ff04a9  stp	x20, xzr, [sp, #0x48]
0xfffffff00889fdd4: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff00889fdd8: 884cffd0  adrp	x8, #0xfffffff007231000
0xfffffff00889fddc: 0ab50591  add	x10, x8, #0x16d
0xfffffff00889fde0: a8808052  mov	w8, #0x405
0xfffffff00889fde4: 894cffd0  adrp	x9, #0xfffffff007231000
0xfffffff00889fde8: 29910491  add	x9, x9, #0x124
0xfffffff00889fdec: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff00889fdf0: 884cffd0  adrp	x8, #0xfffffff007231000
