; Candidate 7063
; ADRP+ADD at VM 0xfffffff008854bcc (fileoff 0x1850bcc): page=0x1fe995000 add_imm=0xe80

0xfffffff008854b4c: 18020034  cbz	w24, #0xfffffff008854b8c
0xfffffff008854b50: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff008854b54: f55b04a9  stp	x21, x22, [sp, #0x40]
0xfffffff008854b58: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff008854b5c: 684efff0  adrp	x8, #0xfffffff007223000
0xfffffff008854b60: 08b12591  add	x8, x8, #0x96c
0xfffffff008854b64: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff008854b68: 884efff0  adrp	x8, #0xfffffff007227000
0xfffffff008854b6c: 08811191  add	x8, x8, #0x460
0xfffffff008854b70: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008854b74: 880c8052  mov	w8, #0x64
0xfffffff008854b78: e04dffd0  adrp	x0, #0xfffffff007212000
0xfffffff008854b7c: 00c82691  add	x0, x0, #0x9b2
0xfffffff008854b80: f72300a9  stp	x23, x8, [sp]
0xfffffff008854b84: 378ad597  bl	#0xfffffff007db7460
0xfffffff008854b88: 19000014  b	#0xfffffff008854bec
0xfffffff008854b8c: 887d0194  bl	#0xfffffff0088b41ac
0xfffffff008854b90: f70300aa  mov	x23, x0
0xfffffff008854b94: e0008052  mov	w0, #7
0xfffffff008854b98: 2e9b0094  bl	#0xfffffff00887b850
0xfffffff008854b9c: e80316aa  mov	x8, x22
0xfffffff008854ba0: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff008854ba4: f52304a9  stp	x21, x8, [sp, #0x40]
0xfffffff008854ba8: e95303a9  stp	x9, x20, [sp, #0x30]
0xfffffff008854bac: 684efff0  adrp	x8, #0xfffffff007223000
0xfffffff008854bb0: 08b12591  add	x8, x8, #0x96c
0xfffffff008854bb4: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff008854bb8: 884efff0  adrp	x8, #0xfffffff007227000
0xfffffff008854bbc: 08811191  add	x8, x8, #0x460
0xfffffff008854bc0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008854bc4: 880c8052  mov	w8, #0x64
0xfffffff008854bc8: f72300a9  stp	x23, x8, [sp]
0xfffffff008854bcc: a04cffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008854bd0: 00003a91  add	x0, x0, #0xe80
0xfffffff008854bd4: a18dff90  adrp	x1, #0xfffffff007a08000
0xfffffff008854bd8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008854bdc: e34ffff0  adrp	x3, #0xfffffff007253000
0xfffffff008854be0: 63142291  add	x3, x3, #0x885
0xfffffff008854be4: 02008052  mov	w2, #0
0xfffffff008854be8: 5279eb97  bl	#0xfffffff008333130
0xfffffff008854bec: e00316aa  mov	x0, x22
0xfffffff008854bf0: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff008854bf4: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff008854bf8: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff008854bfc: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff008854c00: ff830291  add	sp, sp, #0xa0
0xfffffff008854c04: ff0f5fd6  retab	
0xfffffff008854c08: 7f2303d5  pacibsp	
0xfffffff008854c0c: ff8302d1  sub	sp, sp, #0xa0
0xfffffff008854c10: f85f06a9  stp	x24, x23, [sp, #0x60]
0xfffffff008854c14: f65707a9  stp	x22, x21, [sp, #0x70]
0xfffffff008854c18: f44f08a9  stp	x20, x19, [sp, #0x80]
0xfffffff008854c1c: fd7b09a9  stp	x29, x30, [sp, #0x90]
0xfffffff008854c20: fd430291  add	x29, sp, #0x90
0xfffffff008854c24: f50302aa  mov	x21, x2
0xfffffff008854c28: f40301aa  mov	x20, x1
0xfffffff008854c2c: f30300aa  mov	x19, x0
0xfffffff008854c30: 800c8052  mov	w0, #0x64
0xfffffff008854c34: e1008052  mov	w1, #7
0xfffffff008854c38: e69a0094  bl	#0xfffffff00887b7d0
0xfffffff008854c3c: e0020034  cbz	w0, #0xfffffff008854c98
0xfffffff008854c40: 800c8052  mov	w0, #0x64
0xfffffff008854c44: f59a0094  bl	#0xfffffff00887b818
0xfffffff008854c48: f70300aa  mov	x23, x0
