; Candidate 7355
; ADRP+ADD at VM 0xfffffff0088697e0 (fileoff 0x18657e0): page=0x1fe980000 add_imm=0xe80

0xfffffff008869760: 17020034  cbz	w23, #0xfffffff0088697a0
0xfffffff008869764: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff008869768: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff00886976c: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff008869770: 084eff90  adrp	x8, #0xfffffff007229000
0xfffffff008869774: 09d12691  add	x9, x8, #0x9b4
0xfffffff008869778: e84dffd0  adrp	x8, #0xfffffff007227000
0xfffffff00886977c: 08811191  add	x8, x8, #0x460
0xfffffff008869780: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008869784: e00b00f9  str	x0, [sp, #0x10]
0xfffffff008869788: 680c8052  mov	w8, #0x63
0xfffffff00886978c: 404dffb0  adrp	x0, #0xfffffff007212000
0xfffffff008869790: 00701b91  add	x0, x0, #0x6dc
0xfffffff008869794: f62300a9  stp	x22, x8, [sp]
0xfffffff008869798: 3237d597  bl	#0xfffffff007db7460
0xfffffff00886979c: 19000014  b	#0xfffffff008869800
0xfffffff0088697a0: 832a0194  bl	#0xfffffff0088b41ac
0xfffffff0088697a4: f60300aa  mov	x22, x0
0xfffffff0088697a8: c0008052  mov	w0, #6
0xfffffff0088697ac: 29480094  bl	#0xfffffff00887b850
0xfffffff0088697b0: e80315aa  mov	x8, x21
0xfffffff0088697b4: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff0088697b8: f4a303a9  stp	x20, x8, [sp, #0x38]
0xfffffff0088697bc: f3a702a9  stp	x19, x9, [sp, #0x28]
0xfffffff0088697c0: 084eff90  adrp	x8, #0xfffffff007229000
0xfffffff0088697c4: 0ad12691  add	x10, x8, #0x9b4
0xfffffff0088697c8: e84dffd0  adrp	x8, #0xfffffff007227000
0xfffffff0088697cc: 08811191  add	x8, x8, #0x460
0xfffffff0088697d0: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff0088697d4: 680c8052  mov	w8, #0x63
0xfffffff0088697d8: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088697dc: f60300f9  str	x22, [sp]
0xfffffff0088697e0: 004cff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088697e4: 00003a91  add	x0, x0, #0xe80
0xfffffff0088697e8: e18cfff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088697ec: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088697f0: 634fffd0  adrp	x3, #0xfffffff007257000
0xfffffff0088697f4: 63681f91  add	x3, x3, #0x7da
0xfffffff0088697f8: 02008052  mov	w2, #0
0xfffffff0088697fc: 4d26eb97  bl	#0xfffffff008333130
0xfffffff008869800: e00315aa  mov	x0, x21
0xfffffff008869804: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff008869808: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff00886980c: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff008869810: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff008869814: ff430291  add	sp, sp, #0x90
0xfffffff008869818: ff0f5fd6  retab	
0xfffffff00886981c: 7f2303d5  pacibsp	
0xfffffff008869820: ff4302d1  sub	sp, sp, #0x90
0xfffffff008869824: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff008869828: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff00886982c: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff008869830: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff008869834: fd030291  add	x29, sp, #0x80
0xfffffff008869838: f40301aa  mov	x20, x1
0xfffffff00886983c: f30300aa  mov	x19, x0
0xfffffff008869840: 600c8052  mov	w0, #0x63
0xfffffff008869844: c1008052  mov	w1, #6
0xfffffff008869848: e2470094  bl	#0xfffffff00887b7d0
0xfffffff00886984c: c0020034  cbz	w0, #0xfffffff0088698a4
0xfffffff008869850: 600c8052  mov	w0, #0x63
0xfffffff008869854: f1470094  bl	#0xfffffff00887b818
0xfffffff008869858: f60300aa  mov	x22, x0
0xfffffff00886985c: 542a0194  bl	#0xfffffff0088b41ac
