; Candidate 4073
; ADRP+ADD at VM 0xfffffff008790ba8 (fileoff 0x178cba8): page=0x1fe9a1000 add_imm=0xd90

0xfffffff008790b28: f44f0ca9  stp	x20, x19, [sp, #0xc0]
0xfffffff008790b2c: fd7b0da9  stp	x29, x30, [sp, #0xd0]
0xfffffff008790b30: fd430391  add	x29, sp, #0xd0
0xfffffff008790b34: f30300aa  mov	x19, x0
0xfffffff008790b38: 085c8552  mov	w8, #0x2ae0
0xfffffff008790b3c: 1400088b  add	x20, x0, x8
0xfffffff008790b40: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff008790b44: e00304ad  stp	q0, q0, [sp, #0x80]
0xfffffff008790b48: e00303ad  stp	q0, q0, [sp, #0x60]
0xfffffff008790b4c: e00302ad  stp	q0, q0, [sp, #0x40]
0xfffffff008790b50: e00301ad  stp	q0, q0, [sp, #0x20]
0xfffffff008790b54: e007803d  str	q0, [sp, #0x10]
0xfffffff008790b58: 88024039  ldrb	w8, [x20]
0xfffffff008790b5c: 68030034  cbz	w8, #0xfffffff008790bc8
0xfffffff008790b60: 085f8552  mov	w8, #0x2af8
0xfffffff008790b64: 69be55f9  ldr	x9, [x19, #0x2b78]
0xfffffff008790b68: 6802088b  add	x8, x19, x8
0xfffffff008790b6c: e97f09a9  stp	x9, xzr, [sp, #0x90]
0xfffffff008790b70: 000543ad  ldp	q0, q1, [x8, #0x60]
0xfffffff008790b74: e08703ad  stp	q0, q1, [sp, #0x70]
0xfffffff008790b78: 000541ad  ldp	q0, q1, [x8, #0x20]
0xfffffff008790b7c: e08701ad  stp	q0, q1, [sp, #0x30]
0xfffffff008790b80: 010142ad  ldp	q1, q0, [x8, #0x40]
0xfffffff008790b84: e18302ad  stp	q1, q0, [sp, #0x50]
0xfffffff008790b88: 010140ad  ldp	q1, q0, [x8]
0xfffffff008790b8c: e18300ad  stp	q1, q0, [sp, #0x10]
0xfffffff008790b90: 28008052  mov	w8, #1
0xfffffff008790b94: e8630239  strb	w8, [sp, #0x98]
0xfffffff008790b98: e1430091  add	x1, sp, #0x10
0xfffffff008790b9c: e00313aa  mov	x0, x19
0xfffffff008790ba0: ae160094  bl	#0xfffffff008796658
0xfffffff008790ba4: 20010034  cbz	w0, #0xfffffff008790bc8
0xfffffff008790ba8: 004dffb0  adrp	x0, #0xfffffff007131000
0xfffffff008790bac: 00403691  add	x0, x0, #0xd90
0xfffffff008790bb0: 6193ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008790bb4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008790bb8: a34dfff0  adrp	x3, #0xfffffff007147000
0xfffffff008790bbc: 63382491  add	x3, x3, #0x90e
0xfffffff008790bc0: 02008052  mov	w2, #0
0xfffffff008790bc4: 5b89ee97  bl	#0xfffffff008333130
0xfffffff008790bc8: 9f020039  strb	wzr, [x20]
0xfffffff008790bcc: 88d24239  ldrb	w8, [x20, #0xb4]
0xfffffff008790bd0: 68000034  cbz	w8, #0xfffffff008790bdc
0xfffffff008790bd4: e00313aa  mov	x0, x19
0xfffffff008790bd8: 1d170094  bl	#0xfffffff00879684c
0xfffffff008790bdc: 9fd20239  strb	wzr, [x20, #0xb4]
0xfffffff008790be0: 686a69b9  ldr	w8, [x19, #0x2968]
0xfffffff008790be4: 080d0051  sub	w8, w8, #3
0xfffffff008790be8: 1f050071  cmp	w8, #1
0xfffffff008790bec: 68030054  b.hi	#0xfffffff008790c58
0xfffffff008790bf0: 603a58f9  ldr	x0, [x19, #0x3070]
0xfffffff008790bf4: 600000b4  cbz	x0, #0xfffffff008790c00
0xfffffff008790bf8: ad1aef97  bl	#0xfffffff0083576ac
0xfffffff008790bfc: 7f3a18f9  str	xzr, [x19, #0x3070]
0xfffffff008790c00: 603258f9  ldr	x0, [x19, #0x3060]
0xfffffff008790c04: 400100b4  cbz	x0, #0xfffffff008790c2c
0xfffffff008790c08: 9f0dff97  bl	#0xfffffff008754284
0xfffffff008790c0c: 743258f9  ldr	x20, [x19, #0x3060]
0xfffffff008790c10: f40000b4  cbz	x20, #0xfffffff008790c2c
0xfffffff008790c14: e00314aa  mov	x0, x20
0xfffffff008790c18: 730dff97  bl	#0xfffffff0087541e4
0xfffffff008790c1c: a093ffb0  adrp	x0, #0xfffffff007a05000
0xfffffff008790c20: 00a03491  add	x0, x0, #0xd28
0xfffffff008790c24: e10314aa  mov	x1, x20
