; Candidate 2885
; ADRP+ADD at VM 0xfffffff0086f34bc (fileoff 0x16ef4bc): page=0x1fea3e000 add_imm=0xd90

0xfffffff0086f343c: 28008052  mov	w8, #1
0xfffffff0086f3440: 0815881a  cinc	w8, w8, eq
0xfffffff0086f3444: 683e0cb9  str	w8, [x19, #0xc3c]
0xfffffff0086f3448: 60620091  add	x0, x19, #0x18
0xfffffff0086f344c: 01008052  mov	w1, #0
0xfffffff0086f3450: 02818052  mov	w2, #0x408
0xfffffff0086f3454: db65d997  bl	#0xfffffff007d4cbc0
0xfffffff0086f3458: 60821091  add	x0, x19, #0x420
0xfffffff0086f345c: 01008052  mov	w1, #0
0xfffffff0086f3460: 02818052  mov	w2, #0x408
0xfffffff0086f3464: d765d997  bl	#0xfffffff007d4cbc0
0xfffffff0086f3468: 31000014  b	#0xfffffff0086f352c
0xfffffff0086f346c: e051ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0086f3470: 00403691  add	x0, x0, #0xd90
0xfffffff0086f3474: 4198ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f3478: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f347c: 0352ffb0  adrp	x3, #0xfffffff007134000
0xfffffff0086f3480: 63102991  add	x3, x3, #0xa44
0xfffffff0086f3484: 02008052  mov	w2, #0
0xfffffff0086f3488: 2afff097  bl	#0xfffffff008333130
0xfffffff0086f348c: 1d000014  b	#0xfffffff0086f3500
0xfffffff0086f3490: bfce0471  cmp	w21, #0x133
0xfffffff0086f3494: ac050054  b.gt	#0xfffffff0086f3548
0xfffffff0086f3498: bf6e0071  cmp	w21, #0x1b
0xfffffff0086f349c: 8c060054  b.gt	#0xfffffff0086f356c
0xfffffff0086f34a0: bf560071  cmp	w21, #0x15
0xfffffff0086f34a4: 00080054  b.eq	#0xfffffff0086f35a4
0xfffffff0086f34a8: bf6a0071  cmp	w21, #0x1a
0xfffffff0086f34ac: 41090054  b.ne	#0xfffffff0086f35d4
0xfffffff0086f34b0: e00313aa  mov	x0, x19
0xfffffff0086f34b4: d6e70094  bl	#0xfffffff00872d40c
0xfffffff0086f34b8: b8ffff17  b	#0xfffffff0086f3398
0xfffffff0086f34bc: e051ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0086f34c0: 00403691  add	x0, x0, #0xd90
0xfffffff0086f34c4: 4198ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f34c8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f34cc: 0352ffb0  adrp	x3, #0xfffffff007134000
0xfffffff0086f34d0: 63102a91  add	x3, x3, #0xa84
0xfffffff0086f34d4: 02008052  mov	w2, #0
0xfffffff0086f34d8: 16fff097  bl	#0xfffffff008333130
0xfffffff0086f34dc: 09000014  b	#0xfffffff0086f3500
0xfffffff0086f34e0: e051ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0086f34e4: 00403691  add	x0, x0, #0xd90
0xfffffff0086f34e8: 4198ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f34ec: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f34f0: 0352ffb0  adrp	x3, #0xfffffff007134000
0xfffffff0086f34f4: 63e82a91  add	x3, x3, #0xaba
0xfffffff0086f34f8: 02008052  mov	w2, #0
0xfffffff0086f34fc: 0dfff097  bl	#0xfffffff008333130
0xfffffff0086f3500: 14268052  mov	w20, #0x130
0xfffffff0086f3504: f75300a9  stp	x23, x20, [sp]
0xfffffff0086f3508: e051ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0086f350c: 00403691  add	x0, x0, #0xd90
0xfffffff0086f3510: 4198ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f3514: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f3518: 0352ffb0  adrp	x3, #0xfffffff007134000
0xfffffff0086f351c: 630c2c91  add	x3, x3, #0xb03
0xfffffff0086f3520: 02008052  mov	w2, #0
0xfffffff0086f3524: 03fff097  bl	#0xfffffff008333130
0xfffffff0086f3528: 749e3db9  str	w20, [x19, #0x3d9c]
0xfffffff0086f352c: e00313aa  mov	x0, x19
0xfffffff0086f3530: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff0086f3534: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff0086f3538: f65742a9  ldp	x22, x21, [sp, #0x20]
