; Candidate 6858
; ADRP+ADD at VM 0xfffffff0088468b0 (fileoff 0x18428b0): page=0x1fe9de000 add_imm=0xd9a

0xfffffff008846830: e30317aa  mov	x3, x23
0xfffffff008846834: e50316aa  mov	x5, x22
0xfffffff008846838: 00420194  bl	#0xfffffff008897038
0xfffffff00884683c: f90300aa  mov	x25, x0
0xfffffff008846840: a0f0ff34  cbz	w0, #0xfffffff008846654
0xfffffff008846844: c00d8052  mov	w0, #0x6e
0xfffffff008846848: 81008052  mov	w1, #4
0xfffffff00884684c: e1d30094  bl	#0xfffffff00887b7d0
0xfffffff008846850: e0ebff34  cbz	w0, #0xfffffff0088465cc
0xfffffff008846854: c00d8052  mov	w0, #0x6e
0xfffffff008846858: f0d30094  bl	#0xfffffff00887b818
0xfffffff00884685c: fb0300aa  mov	x27, x0
0xfffffff008846860: 53b60194  bl	#0xfffffff0088b41ac
0xfffffff008846864: fa0300aa  mov	x26, x0
0xfffffff008846868: 80008052  mov	w0, #4
0xfffffff00884686c: f9d30094  bl	#0xfffffff00887b850
0xfffffff008846870: 3b060034  cbz	w27, #0xfffffff008846934
0xfffffff008846874: e80319aa  mov	x8, x25
0xfffffff008846878: f72305a9  stp	x23, x8, [sp, #0x50]
0xfffffff00884687c: e80316aa  mov	x8, x22
0xfffffff008846880: 494effd0  adrp	x9, #0xfffffff007210000
0xfffffff008846884: 29b92791  add	x9, x9, #0x9ee
0xfffffff008846888: e85704a9  stp	x8, x21, [sp, #0x40]
0xfffffff00884688c: e94f03a9  stp	x9, x19, [sp, #0x30]
0xfffffff008846890: 681e8052  mov	w8, #0xf3
0xfffffff008846894: e94effd0  adrp	x9, #0xfffffff007224000
0xfffffff008846898: 29353091  add	x9, x9, #0xc0d
0xfffffff00884689c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088468a0: e84efff0  adrp	x8, #0xfffffff007225000
0xfffffff0088468a4: 08b51291  add	x8, x8, #0x4ad
0xfffffff0088468a8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088468ac: c80d8052  mov	w8, #0x6e
0xfffffff0088468b0: e04effd0  adrp	x0, #0xfffffff007224000
0xfffffff0088468b4: 00683691  add	x0, x0, #0xd9a
0xfffffff0088468b8: 0bffff17  b	#0xfffffff0088464e4
0xfffffff0088468bc: 19008052  mov	w25, #0
0xfffffff0088468c0: 65ffff17  b	#0xfffffff008846654
0xfffffff0088468c4: 3ab60194  bl	#0xfffffff0088b41ac
0xfffffff0088468c8: fa0300aa  mov	x26, x0
0xfffffff0088468cc: 80008052  mov	w0, #4
0xfffffff0088468d0: e0d30094  bl	#0xfffffff00887b850
0xfffffff0088468d4: e80319aa  mov	x8, x25
0xfffffff0088468d8: e90316aa  mov	x9, x22
0xfffffff0088468dc: e92304a9  stp	x9, x8, [sp, #0x40]
0xfffffff0088468e0: 484effd0  adrp	x8, #0xfffffff007210000
0xfffffff0088468e4: 08b92791  add	x8, x8, #0x9ee
0xfffffff0088468e8: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff0088468ec: 681b8052  mov	w8, #0xdb
0xfffffff0088468f0: e94effd0  adrp	x9, #0xfffffff007224000
0xfffffff0088468f4: 29353091  add	x9, x9, #0xc0d
0xfffffff0088468f8: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088468fc: e84efff0  adrp	x8, #0xfffffff007225000
0xfffffff008846900: 08b51291  add	x8, x8, #0x4ad
0xfffffff008846904: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008846908: c80d8052  mov	w8, #0x6e
0xfffffff00884690c: fa2300a9  stp	x26, x8, [sp]
0xfffffff008846910: 004dfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008846914: 00003a91  add	x0, x0, #0xe80
0xfffffff008846918: 018effd0  adrp	x1, #0xfffffff007a08000
0xfffffff00884691c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008846920: 4350ffd0  adrp	x3, #0xfffffff007250000
0xfffffff008846924: 63d42791  add	x3, x3, #0x9f5
0xfffffff008846928: 02008052  mov	w2, #0
0xfffffff00884692c: 01b2eb97  bl	#0xfffffff008333130
