; Candidate 3959
; ADRP+ADD at VM 0xfffffff008775f28 (fileoff 0x1771f28): page=0x1fe9bc000 add_imm=0xd90

0xfffffff008775ea8: fdc30091  add	x29, sp, #0x30
0xfffffff008775eac: 080080d2  mov	x8, #0
0xfffffff008775eb0: 15008052  mov	w21, #0
0xfffffff008775eb4: 091041b9  ldr	w9, [x0, #0x110]
0xfffffff008775eb8: 0a0c8052  mov	w10, #0x60
0xfffffff008775ebc: 29010a9b  madd	x9, x9, x10, x0
0xfffffff008775ec0: 2aa94b79  ldrh	w10, [x9, #0x5d4]
0xfffffff008775ec4: 0b118052  mov	w11, #0x88
0xfffffff008775ec8: 4a010b9b  madd	x10, x10, x11, x0
0xfffffff008775ecc: 539d40f9  ldr	x19, [x10, #0x138]
0xfffffff008775ed0: 29ad4b79  ldrh	w9, [x9, #0x5d6]
0xfffffff008775ed4: 14008012  mov	w20, #-1
0xfffffff008775ed8: 2a008052  mov	w10, #1
0xfffffff008775edc: eb030aaa  mov	x11, x10
0xfffffff008775ee0: 6a06088b  add	x10, x19, x8, lsl #1
0xfffffff008775ee4: 4a394079  ldrh	w10, [x10, #0x1c]
0xfffffff008775ee8: 9f060031  cmn	w20, #1
0xfffffff008775eec: 0801941a  csel	w8, w8, w20, eq
0xfffffff008775ef0: 5f010071  cmp	w10, #0
0xfffffff008775ef4: b506951a  cinc	w21, w21, ne
0xfffffff008775ef8: 9402881a  csel	w20, w20, w8, eq
0xfffffff008775efc: 28008052  mov	w8, #1
0xfffffff008775f00: 0a008052  mov	w10, #0
0xfffffff008775f04: cbfe0737  tbnz	w11, #0, #0xfffffff008775edc
0xfffffff008775f08: 36150012  and	w22, w9, #0x3f
0xfffffff008775f0c: bf020071  cmp	w21, #0
0xfffffff008775f10: 841a413a  ccmn	w20, #1, #4, ne
0xfffffff008775f14: a1010054  b.ne	#0xfffffff008775f48
0xfffffff008775f18: e8118052  mov	w8, #0x8f
0xfffffff008775f1c: 094fff90  adrp	x9, #0xfffffff007155000
0xfffffff008775f20: 29f12991  add	x9, x9, #0xa7c
0xfffffff008775f24: e92300a9  stp	x9, x8, [sp]
0xfffffff008775f28: e04dff90  adrp	x0, #0xfffffff007131000
0xfffffff008775f2c: 00403691  add	x0, x0, #0xd90
0xfffffff008775f30: 4194ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008775f34: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008775f38: 634efff0  adrp	x3, #0xfffffff007144000
0xfffffff008775f3c: 633c2891  add	x3, x3, #0xa0f
0xfffffff008775f40: 02008052  mov	w2, #0
0xfffffff008775f44: 7bf4ee97  bl	#0xfffffff008333130
0xfffffff008775f48: 09168652  mov	w9, #0x30b0
0xfffffff008775f4c: 4900a072  movk	w9, #2, lsl #16
0xfffffff008775f50: 88028352  mov	w8, #0x1814
0xfffffff008775f54: ca7e081b  mul	w10, w22, w8
0xfffffff008775f58: 4801090b  add	w8, w10, w9
0xfffffff008775f5c: 0b3d1e12  and	w11, w8, #0x3fffc
0xfffffff008775f60: 2c008052  mov	w12, #1
0xfffffff008775f64: 0c61a072  movk	w12, #0x308, lsl #16
0xfffffff008775f68: 6b010c2a  orr	w11, w11, w12
0xfffffff008775f6c: 6b0200b9  str	w11, [x19]
0xfffffff008775f70: 2b209252  mov	w11, #0x9101
0xfffffff008775f74: cb7ba072  movk	w11, #0x3de, lsl #16
0xfffffff008775f78: 6b1203b9  str	w11, [x19, #0x310]
0xfffffff008775f7c: 6bf606b9  str	w11, [x19, #0x6f4]
0xfffffff008775f80: 08410c11  add	w8, w8, #0x310
0xfffffff008775f84: 083d1e12  and	w8, w8, #0x3fffc
0xfffffff008775f88: 2b008052  mov	w11, #1
0xfffffff008775f8c: 0b2da072  movk	w11, #0x168, lsl #16
0xfffffff008775f90: 08010b2a  orr	w8, w8, w11
0xfffffff008775f94: 686e0bb9  str	w8, [x19, #0xb6c]
0xfffffff008775f98: 6b364079  ldrh	w11, [x19, #0x1a]
0xfffffff008775f9c: 7f0900f1  cmp	x11, #2
0xfffffff008775fa0: 03010054  b.lo	#0xfffffff008775fc0
0xfffffff008775fa4: 6c723391  add	x12, x19, #0xcdc
