; Candidate 2825
; ADRP+ADD at VM 0xfffffff0086eb908 (fileoff 0x16e7908): page=0x1fea46000 add_imm=0xd90

0xfffffff0086eb888: 7500f837  tbnz	w21, #0x1f, #0xfffffff0086eb894
0xfffffff0086eb88c: f71f8052  mov	w23, #0xff
0xfffffff0086eb890: 42000014  b	#0xfffffff0086eb998
0xfffffff0086eb894: 692a4529  ldp	w9, w10, [x19, #0x28]
0xfffffff0086eb898: 5f1d0071  cmp	w10, #7
0xfffffff0086eb89c: a8040054  b.hi	#0xfffffff0086eb930
0xfffffff0086eb8a0: 08008052  mov	w8, #0
0xfffffff0086eb8a4: 15008052  mov	w21, #0
0xfffffff0086eb8a8: 7f2e00b9  str	wzr, [x19, #0x2c]
0xfffffff0086eb8ac: 8b008052  mov	w11, #4
0xfffffff0086eb8b0: 6d3241a9  ldp	x13, x12, [x19, #0x10]
0xfffffff0086eb8b4: b55e1853  lsl	w21, w21, #8
0xfffffff0086eb8b8: bf010ceb  cmp	x13, x12
0xfffffff0086eb8bc: 02010054  b.hs	#0xfffffff0086eb8dc
0xfffffff0086eb8c0: 08210011  add	w8, w8, #8
0xfffffff0086eb8c4: 682e00b9  str	w8, [x19, #0x2c]
0xfffffff0086eb8c8: ae050091  add	x14, x13, #1
0xfffffff0086eb8cc: 6e0a00f9  str	x14, [x19, #0x10]
0xfffffff0086eb8d0: ad014039  ldrb	w13, [x13]
0xfffffff0086eb8d4: b5020d2a  orr	w21, w21, w13
0xfffffff0086eb8d8: ed030eaa  mov	x13, x14
0xfffffff0086eb8dc: 6b050071  subs	w11, w11, #1
0xfffffff0086eb8e0: a1feff54  b.ne	#0xfffffff0086eb8b4
0xfffffff0086eb8e4: 0b018052  mov	w11, #8
0xfffffff0086eb8e8: 76010a4b  sub	w22, w11, w10
0xfffffff0086eb8ec: ea030a4b  neg	w10, w10
0xfffffff0086eb8f0: 2925ca1a  lsr	w9, w9, w10
0xfffffff0086eb8f4: 3721d61a  lsl	w23, w9, w22
0xfffffff0086eb8f8: 69ce5eb9  ldr	w9, [x19, #0x1ecc]
0xfffffff0086eb8fc: 3f01146a  tst	w9, w20
0xfffffff0086eb900: 00020054  b.eq	#0xfffffff0086eb940
0xfffffff0086eb904: f52300a9  stp	x21, x8, [sp]
0xfffffff0086eb908: 2052ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0086eb90c: 00403691  add	x0, x0, #0xd90
0xfffffff0086eb910: 8198ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086eb914: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086eb918: 4352ff90  adrp	x3, #0xfffffff007133000
0xfffffff0086eb91c: 63ac3091  add	x3, x3, #0xc2b
0xfffffff0086eb920: 02008052  mov	w2, #0
0xfffffff0086eb924: 031ef197  bl	#0xfffffff008333130
0xfffffff0086eb928: 682e40b9  ldr	w8, [x19, #0x2c]
0xfffffff0086eb92c: 05000014  b	#0xfffffff0086eb940
0xfffffff0086eb930: 17008052  mov	w23, #0
0xfffffff0086eb934: 16018052  mov	w22, #8
0xfffffff0086eb938: e8030aaa  mov	x8, x10
0xfffffff0086eb93c: f50309aa  mov	x21, x9
0xfffffff0086eb940: e903164b  neg	w9, w22
0xfffffff0086eb944: a926c91a  lsr	w9, w21, w9
0xfffffff0086eb948: 3701172a  orr	w23, w9, w23
0xfffffff0086eb94c: a922d61a  lsl	w9, w21, w22
0xfffffff0086eb950: 0801164b  sub	w8, w8, w22
0xfffffff0086eb954: 69220529  stp	w9, w8, [x19, #0x28]
0xfffffff0086eb958: 69ce5eb9  ldr	w9, [x19, #0x1ecc]
0xfffffff0086eb95c: 3f01146a  tst	w9, w20
0xfffffff0086eb960: c0010054  b.eq	#0xfffffff0086eb998
0xfffffff0086eb964: f72301a9  stp	x23, x8, [sp, #0x10]
0xfffffff0086eb968: 2853ffb0  adrp	x8, #0xfffffff007150000
0xfffffff0086eb96c: 08011791  add	x8, x8, #0x5c0
0xfffffff0086eb970: 09018052  mov	w9, #8
0xfffffff0086eb974: e92300a9  stp	x9, x8, [sp]
0xfffffff0086eb978: 2052ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0086eb97c: 00403691  add	x0, x0, #0xd90
0xfffffff0086eb980: 8198ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086eb984: 21dc41f9  ldr	x1, [x1, #0x3b8]
