; Candidate 13834
; ADRP+ADD at VM 0xfffffff0095ad5b0 (fileoff 0x25a95b0): page=0x1fe640000 add_imm=0xde8

0xfffffff0095ad530: 41010034  cbz	w1, #0xfffffff0095ad558
0xfffffff0095ad534: e29e40b9  ldr	w2, [x23, #0x9c]
0xfffffff0095ad538: e00313aa  mov	x0, x19
0xfffffff0095ad53c: 03008052  mov	w3, #0
0xfffffff0095ad540: 18bbff97  bl	#0xfffffff00959c1a0
0xfffffff0095ad544: 1a008052  mov	w26, #0
0xfffffff0095ad548: ff4e00f9  str	xzr, [x23, #0x98]
0xfffffff0095ad54c: ff4600f9  str	xzr, [x23, #0x88]
0xfffffff0095ad550: ff9600b9  str	wzr, [x23, #0x94]
0xfffffff0095ad554: 87ffff17  b	#0xfffffff0095ad370
0xfffffff0095ad558: 1a008052  mov	w26, #0
0xfffffff0095ad55c: 85ffff17  b	#0xfffffff0095ad370
0xfffffff0095ad560: 7f2303d5  pacibsp	
0xfffffff0095ad564: ff0302d1  sub	sp, sp, #0x80
0xfffffff0095ad568: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff0095ad56c: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff0095ad570: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff0095ad574: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff0095ad578: fdc30191  add	x29, sp, #0x70
0xfffffff0095ad57c: e831ff90  adrp	x8, #0xfffffff007be9000
0xfffffff0095ad580: 080546f9  ldr	x8, [x8, #0xc08]
0xfffffff0095ad584: 080140f9  ldr	x8, [x8]
0xfffffff0095ad588: e81f00f9  str	x8, [sp, #0x38]
0xfffffff0095ad58c: ffff00a9  stp	xzr, xzr, [sp, #8]
0xfffffff0095ad590: ffff01a9  stp	xzr, xzr, [sp, #0x18]
0xfffffff0095ad594: ff3300b9  str	wzr, [sp, #0x30]
0xfffffff0095ad598: ff1700f9  str	xzr, [sp, #0x28]
0xfffffff0095ad59c: 085041f9  ldr	x8, [x0, #0x2a0]
0xfffffff0095ad5a0: 080400b4  cbz	x8, #0xfffffff0095ad620
0xfffffff0095ad5a4: f50302aa  mov	x21, x2
0xfffffff0095ad5a8: f60301aa  mov	x22, x1
0xfffffff0095ad5ac: f40300aa  mov	x20, x0
0xfffffff0095ad5b0: 0032ff90  adrp	x0, #0xfffffff007bed000
0xfffffff0095ad5b4: 00a03791  add	x0, x0, #0xde8
0xfffffff0095ad5b8: cfa3b697  bl	#0xfffffff0083564f4
0xfffffff0095ad5bc: f30300aa  mov	x19, x0
0xfffffff0095ad5c0: a00000b4  cbz	x0, #0xfffffff0095ad5d4
0xfffffff0095ad5c4: e16e0090  adrp	x1, #0xfffffff00a389000
0xfffffff0095ad5c8: 21c00391  add	x1, x1, #0xf0
0xfffffff0095ad5cc: 00458052  mov	w0, #0x228
0xfffffff0095ad5d0: 40d7b497  bl	#0xfffffff0082e32d0
0xfffffff0095ad5d4: 62720091  add	x2, x19, #0x1c
0xfffffff0095ad5d8: a1fdfed0  adrp	x1, #0xfffffff007563000
0xfffffff0095ad5dc: 21e82f91  add	x1, x1, #0xbfa
0xfffffff0095ad5e0: e00316aa  mov	x0, x22
0xfffffff0095ad5e4: d826ff97  bl	#0xfffffff009577144
0xfffffff0095ad5e8: f60300aa  mov	x22, x0
0xfffffff0095ad5ec: 40030034  cbz	w0, #0xfffffff0095ad654
0xfffffff0095ad5f0: 330100b4  cbz	x19, #0xfffffff0095ad614
0xfffffff0095ad5f4: 0032ff90  adrp	x0, #0xfffffff007bed000
0xfffffff0095ad5f8: 00a03891  add	x0, x0, #0xe28
0xfffffff0095ad5fc: e10313aa  mov	x1, x19
0xfffffff0095ad600: 43a4b697  bl	#0xfffffff00835670c
0xfffffff0095ad604: e16e0090  adrp	x1, #0xfffffff00a389000
0xfffffff0095ad608: 21c00391  add	x1, x1, #0xf0
0xfffffff0095ad60c: e0448092  mov	x0, #-0x228
0xfffffff0095ad610: 30d7b497  bl	#0xfffffff0082e32d0
0xfffffff0095ad614: c03e0013  sxth	w0, w22
0xfffffff0095ad618: c8e0ff97  bl	#0xfffffff0095a5938
0xfffffff0095ad61c: 02000014  b	#0xfffffff0095ad624
0xfffffff0095ad620: 20008052  mov	w0, #1
0xfffffff0095ad624: e81f40f9  ldr	x8, [sp, #0x38]
0xfffffff0095ad628: e931ff90  adrp	x9, #0xfffffff007be9000
0xfffffff0095ad62c: 290546f9  ldr	x9, [x9, #0xc08]
