; Candidate 177
; ADRP+ADD at VM 0xfffffff007e2cea0 (fileoff 0xe28ea0): page=0x23a5000 add_imm=0xd20

0xfffffff007e2ce20: 01040054  b.ne	#0xfffffff007e2cea0
0xfffffff007e2ce24: 081d01b0  adrp	x8, #0xfffffff00a1cd000
0xfffffff007e2ce28: 08611891  add	x8, x8, #0x618
0xfffffff007e2ce2c: 090140f9  ldr	x9, [x8]
0xfffffff007e2ce30: 2a1d01b0  adrp	x10, #0xfffffff00a1d1000
0xfffffff007e2ce34: 4ab947f9  ldr	x10, [x10, #0xf70]
0xfffffff007e2ce38: 3f0108eb  cmp	x9, x8
0xfffffff007e2ce3c: 281d01b0  adrp	x8, #0xfffffff00a1d1000
0xfffffff007e2ce40: 08c13d91  add	x8, x8, #0xf70
0xfffffff007e2ce44: 400148fa  ccmp	x10, x8, #0, eq
0xfffffff007e2ce48: a0010054  b.eq	#0xfffffff007e2ce7c
0xfffffff007e2ce4c: 151d01b0  adrp	x21, #0xfffffff00a1cd000
0xfffffff007e2ce50: 28008052  mov	w8, #1
0xfffffff007e2ce54: a85e05b9  str	w8, [x21, #0x55c]
0xfffffff007e2ce58: 001d01b0  adrp	x0, #0xfffffff00a1cd000
0xfffffff007e2ce5c: 00601891  add	x0, x0, #0x618
0xfffffff007e2ce60: 21008052  mov	w1, #1
0xfffffff007e2ce64: bbedff97  bl	#0xfffffff007e28550
0xfffffff007e2ce68: 201d01b0  adrp	x0, #0xfffffff00a1d1000
0xfffffff007e2ce6c: 00c03d91  add	x0, x0, #0xf70
0xfffffff007e2ce70: 21008052  mov	w1, #1
0xfffffff007e2ce74: b7edff97  bl	#0xfffffff007e28550
0xfffffff007e2ce78: bf5e05b9  str	wzr, [x21, #0x55c]
0xfffffff007e2ce7c: 681a44b9  ldr	w8, [x19, #0x418]
0xfffffff007e2ce80: e20308aa  mov	x2, x8
0xfffffff007e2ce84: 9ffea288  casl	w2, wzr, [x20]
0xfffffff007e2ce88: 5f00086b  cmp	w2, w8
0xfffffff007e2ce8c: 61010054  b.ne	#0xfffffff007e2ceb8
0xfffffff007e2ce90: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff007e2ce94: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff007e2ce98: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff007e2ce9c: ff0f5fd6  retab	
0xfffffff007e2cea0: 201d01b0  adrp	x0, #0xfffffff00a1d1000
0xfffffff007e2cea4: 00803491  add	x0, x0, #0xd20
0xfffffff007e2cea8: e10313aa  mov	x1, x19
0xfffffff007e2ceac: 42008052  mov	w2, #2
0xfffffff007e2ceb0: 12fbfd97  bl	#0xfffffff007dabaf8
0xfffffff007e2ceb4: dcffff17  b	#0xfffffff007e2ce24
0xfffffff007e2ceb8: 201d01b0  adrp	x0, #0xfffffff00a1d1000
0xfffffff007e2cebc: 00803491  add	x0, x0, #0xd20
0xfffffff007e2cec0: e10313aa  mov	x1, x19
0xfffffff007e2cec4: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff007e2cec8: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff007e2cecc: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff007e2ced0: ff2303d5  autibsp	
0xfffffff007e2ced4: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff007e2ced8: 5000f0b6  tbz	x16, #0x3e, #0xfffffff007e2cee0
0xfffffff007e2cedc: 208e38d4  brk	#0xc471
0xfffffff007e2cee0: 21fefd17  b	#0xfffffff007dac764
0xfffffff007e2cee4: 7f2303d5  pacibsp	
0xfffffff007e2cee8: ff4301d1  sub	sp, sp, #0x50
0xfffffff007e2ceec: f85f01a9  stp	x24, x23, [sp, #0x10]
0xfffffff007e2cef0: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff007e2cef4: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff007e2cef8: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff007e2cefc: fd030191  add	x29, sp, #0x40
0xfffffff007e2cf00: f60302aa  mov	x22, x2
0xfffffff007e2cf04: f40301aa  mov	x20, x1
0xfffffff007e2cf08: f30300aa  mov	x19, x0
0xfffffff007e2cf0c: 28008052  mov	w8, #1
0xfffffff007e2cf10: e80f00b9  str	w8, [sp, #0xc]
0xfffffff007e2cf14: 90430294  bl	#0xfffffff007ebdd54
0xfffffff007e2cf18: 880240b9  ldr	w8, [x20]
0xfffffff007e2cf1c: 09f8bf12  mov	w9, #0x3fffff
