; Candidate 3879
; ADRP+ADD at VM 0xfffffff00876bfc0 (fileoff 0x1767fc0): page=0x1fe9c6000 add_imm=0xd90

0xfffffff00876bf40: a8000034  cbz	w8, #0xfffffff00876bf54
0xfffffff00876bf44: 9f2403d5  bti	j
0xfffffff00876bf48: 09008052  mov	w9, #0
0xfffffff00876bf4c: 48008052  mov	w8, #2
0xfffffff00876bf50: 28000014  b	#0xfffffff00876bff0
0xfffffff00876bf54: 08038052  mov	w8, #0x18
0xfffffff00876bf58: c856089b  madd	x8, x22, x8, x21
0xfffffff00876bf5c: 08254079  ldrh	w8, [x8, #0x12]
0xfffffff00876bf60: 1f010071  cmp	w8, #0
0xfffffff00876bf64: e8079f1a  cset	w8, ne
0xfffffff00876bf68: 09604039  ldrb	w9, [x0, #0x18]
0xfffffff00876bf6c: 0b1040f9  ldr	x11, [x0, #0x20]
0xfffffff00876bf70: 2a050071  subs	w10, w9, #1
0xfffffff00876bf74: 497d7cd3  ubfiz	x9, x10, #4, #0x20
0xfffffff00876bf78: 696969b8  ldr	w9, [x11, x9]
0xfffffff00876bf7c: a0030054  b.eq	#0xfffffff00876bff0
0xfffffff00876bf80: 8c0240f9  ldr	x12, [x20]
0xfffffff00876bf84: 6b210091  add	x11, x11, #8
0xfffffff00876bf88: 6d0140f9  ldr	x13, [x11]
0xfffffff00876bf8c: 9f010deb  cmp	x12, x13
0xfffffff00876bf90: e3020054  b.lo	#0xfffffff00876bfec
0xfffffff00876bf94: 6b410091  add	x11, x11, #0x10
0xfffffff00876bf98: 4a0500f1  subs	x10, x10, #1
0xfffffff00876bf9c: 61ffff54  b.ne	#0xfffffff00876bf88
0xfffffff00876bfa0: 14000014  b	#0xfffffff00876bff0
0xfffffff00876bfa4: 9f2403d5  bti	j
0xfffffff00876bfa8: 09008052  mov	w9, #0
0xfffffff00876bfac: 28008052  mov	w8, #1
0xfffffff00876bfb0: 10000014  b	#0xfffffff00876bff0
0xfffffff00876bfb4: 684fffd0  adrp	x8, #0xfffffff007159000
0xfffffff00876bfb8: 08853f91  add	x8, x8, #0xfe1
0xfffffff00876bfbc: e84300a9  stp	x8, x16, [sp]
0xfffffff00876bfc0: 204effd0  adrp	x0, #0xfffffff007131000
0xfffffff00876bfc4: 00403691  add	x0, x0, #0xd90
0xfffffff00876bfc8: 8194ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00876bfcc: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00876bfd0: c34eff90  adrp	x3, #0xfffffff007143000
0xfffffff00876bfd4: 63040791  add	x3, x3, #0x1c1
0xfffffff00876bfd8: 02008052  mov	w2, #0
0xfffffff00876bfdc: 551cef97  bl	#0xfffffff008333130
0xfffffff00876bfe0: 09008052  mov	w9, #0
0xfffffff00876bfe4: 08008052  mov	w8, #0
0xfffffff00876bfe8: 02000014  b	#0xfffffff00876bff0
0xfffffff00876bfec: 69815fb8  ldur	w9, [x11, #-8]
0xfffffff00876bff0: 9f2403d5  bti	j
0xfffffff00876bff4: 1f01096b  cmp	w8, w9
0xfffffff00876bff8: 13c1891a  csel	w19, w8, w9, gt
0xfffffff00876bffc: 08038052  mov	w8, #0x18
0xfffffff00876c000: c856089b  madd	x8, x22, x8, x21
0xfffffff00876c004: 02294079  ldrh	w2, [x8, #0x14]
0xfffffff00876c008: 03254079  ldrh	w3, [x8, #0x12]
0xfffffff00876c00c: 840240b9  ldr	w4, [x20]
0xfffffff00876c010: 80238052  mov	w0, #0x11c
0xfffffff00876c014: 006da572  movk	w0, #0x2b68, lsl #16
0xfffffff00876c018: e10313aa  mov	x1, x19
0xfffffff00876c01c: 050080d2  mov	x5, #0
0xfffffff00876c020: b947e897  bl	#0xfffffff00817df04
0xfffffff00876c024: e00313aa  mov	x0, x19
0xfffffff00876c028: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff00876c02c: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff00876c030: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff00876c034: ff030191  add	sp, sp, #0x40
0xfffffff00876c038: ff0f5fd6  retab	
0xfffffff00876c03c: e00301aa  mov	x0, x1
