; Candidate 9372
; ADRP+ADD at VM 0xfffffff008a3495c (fileoff 0x1a3095c): page=0x1fe865000 add_imm=0xe40

0xfffffff008a348dc: 080240f9  ldr	x8, [x16]
0xfffffff008a348e0: e90310aa  mov	x9, x16
0xfffffff008a348e4: e00313aa  mov	x0, x19
0xfffffff008a348e8: e10314aa  mov	x1, x20
0xfffffff008a348ec: f10309aa  mov	x17, x9
0xfffffff008a348f0: d1f9e6f2  movk	x17, #0x37ce, lsl #48
0xfffffff008a348f4: 11093fd7  blraa	x8, x17
0xfffffff008a348f8: e00313aa  mov	x0, x19
0xfffffff008a348fc: cf90f097  bl	#0xfffffff008658c38
0xfffffff008a34900: f50300aa  mov	x21, x0
0xfffffff008a34904: 700240f9  ldr	x16, [x19]
0xfffffff008a34908: f10313aa  mov	x17, x19
0xfffffff008a3490c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a34910: 301ac1da  autda	x16, x17
0xfffffff008a34914: f10310aa  mov	x17, x16
0xfffffff008a34918: f147c1da  xpacd	x17
0xfffffff008a3491c: 1f0211eb  cmp	x16, x17
0xfffffff008a34920: 40000054  b.eq	#0xfffffff008a34928
0xfffffff008a34924: 408e38d4  brk	#0xc472
0xfffffff008a34928: 08c21191  add	x8, x16, #0x470
0xfffffff008a3492c: 093a42f9  ldr	x9, [x16, #0x470]
0xfffffff008a34930: e00313aa  mov	x0, x19
0xfffffff008a34934: e10314aa  mov	x1, x20
0xfffffff008a34938: f10308aa  mov	x17, x8
0xfffffff008a3493c: d1f9e6f2  movk	x17, #0x37ce, lsl #48
0xfffffff008a34940: 31093fd7  blraa	x9, x17
0xfffffff008a34944: e0d301a9  stp	x0, x20, [sp, #0x18]
0xfffffff008a34948: 98628052  mov	w24, #0x314
0xfffffff008a3494c: 5943ffd0  adrp	x25, #0xfffffff00729e000
0xfffffff008a34950: 39ab0191  add	x25, x25, #0x6a
0xfffffff008a34954: f9e300a9  stp	x25, x24, [sp, #8]
0xfffffff008a34958: f50300f9  str	x21, [sp]
0xfffffff008a3495c: 2043ffb0  adrp	x0, #0xfffffff007299000
0xfffffff008a34960: 00003991  add	x0, x0, #0xe40
0xfffffff008a34964: a180fff0  adrp	x1, #0xfffffff007a4b000
0xfffffff008a34968: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a3496c: 6343ffb0  adrp	x3, #0xfffffff0072a1000
0xfffffff008a34970: 63080291  add	x3, x3, #0x82
0xfffffff008a34974: 02028052  mov	w2, #0x10
0xfffffff008a34978: eef9e397  bl	#0xfffffff008333130
0xfffffff008a3497c: e00313aa  mov	x0, x19
0xfffffff008a34980: ae90f097  bl	#0xfffffff008658c38
0xfffffff008a34984: f50300aa  mov	x21, x0
0xfffffff008a34988: 700240f9  ldr	x16, [x19]
0xfffffff008a3498c: f10313aa  mov	x17, x19
0xfffffff008a34990: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a34994: 301ac1da  autda	x16, x17
0xfffffff008a34998: f10310aa  mov	x17, x16
0xfffffff008a3499c: f147c1da  xpacd	x17
0xfffffff008a349a0: 1f0211eb  cmp	x16, x17
0xfffffff008a349a4: 40000054  b.eq	#0xfffffff008a349ac
0xfffffff008a349a8: 408e38d4  brk	#0xc472
0xfffffff008a349ac: 08c21191  add	x8, x16, #0x470
0xfffffff008a349b0: 093a42f9  ldr	x9, [x16, #0x470]
0xfffffff008a349b4: e00313aa  mov	x0, x19
0xfffffff008a349b8: e10314aa  mov	x1, x20
0xfffffff008a349bc: f10308aa  mov	x17, x8
0xfffffff008a349c0: d1f9e6f2  movk	x17, #0x37ce, lsl #48
0xfffffff008a349c4: 31093fd7  blraa	x9, x17
0xfffffff008a349c8: e0d301a9  stp	x0, x20, [sp, #0x18]
0xfffffff008a349cc: f9e300a9  stp	x25, x24, [sp, #8]
0xfffffff008a349d0: f50300f9  str	x21, [sp]
0xfffffff008a349d4: 4043ffb0  adrp	x0, #0xfffffff00729d000
0xfffffff008a349d8: 00481a91  add	x0, x0, #0x692
