; Candidate 6302
; ADRP+ADD at VM 0xfffffff0088212a8 (fileoff 0x181d2a8): page=0x1fe9c8000 add_imm=0xe80

0xfffffff008821228: 51ffff34  cbz	w17, #0xfffffff008821210
0xfffffff00882122c: ff0109eb  cmp	x15, x9
0xfffffff008821230: a2050054  b.hs	#0xfffffff0088212e4
0xfffffff008821234: 39070091  add	x25, x25, #1
0xfffffff008821238: 6b110091  add	x11, x11, #4
0xfffffff00882123c: 08050011  add	w8, w8, #1
0xfffffff008821240: 8c050011  add	w12, w12, #1
0xfffffff008821244: 3f030aeb  cmp	x25, x10
0xfffffff008821248: 61fdff54  b.ne	#0xfffffff0088211f4
0xfffffff00882124c: 1e000014  b	#0xfffffff0088212c4
0xfffffff008821250: 76021a8b  add	x22, x19, x26
0xfffffff008821254: d64b0294  bl	#0xfffffff0088b41ac
0xfffffff008821258: f50300aa  mov	x21, x0
0xfffffff00882125c: 80008052  mov	w0, #4
0xfffffff008821260: 7c690194  bl	#0xfffffff00887b850
0xfffffff008821264: c87241b9  ldr	w8, [x22, #0x170]
0xfffffff008821268: 695a40b9  ldr	w9, [x19, #0x58]
0xfffffff00882126c: 8a1240b9  ldr	w10, [x20, #0x10]
0xfffffff008821270: f72305a9  stp	x23, x8, [sp, #0x50]
0xfffffff008821274: f42b04a9  stp	x20, x10, [sp, #0x40]
0xfffffff008821278: f32703a9  stp	x19, x9, [sp, #0x30]
0xfffffff00882127c: e84ffff0  adrp	x8, #0xfffffff007220000
0xfffffff008821280: 08cd1791  add	x8, x8, #0x5f3
0xfffffff008821284: a9348252  mov	w9, #0x11a5
0xfffffff008821288: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00882128c: e84ffff0  adrp	x8, #0xfffffff007220000
0xfffffff008821290: 08051691  add	x8, x8, #0x581
0xfffffff008821294: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008821298: a80e8052  mov	w8, #0x75
0xfffffff00882129c: 4351ffb0  adrp	x3, #0xfffffff00724a000
0xfffffff0088212a0: 63982591  add	x3, x3, #0x966
0xfffffff0088212a4: f52300a9  stp	x21, x8, [sp]
0xfffffff0088212a8: 404eff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088212ac: 00003a91  add	x0, x0, #0xe80
0xfffffff0088212b0: 218ffff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088212b4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088212b8: 02008052  mov	w2, #0
0xfffffff0088212bc: 9d47ec97  bl	#0xfffffff008333130
0xfffffff0088212c0: 00008012  mov	w0, #-1
0xfffffff0088212c4: fd7b4da9  ldp	x29, x30, [sp, #0xd0]
0xfffffff0088212c8: f44f4ca9  ldp	x20, x19, [sp, #0xc0]
0xfffffff0088212cc: f6574ba9  ldp	x22, x21, [sp, #0xb0]
0xfffffff0088212d0: f85f4aa9  ldp	x24, x23, [sp, #0xa0]
0xfffffff0088212d4: fa6749a9  ldp	x26, x25, [sp, #0x90]
0xfffffff0088212d8: fc6f48a9  ldp	x28, x27, [sp, #0x80]
0xfffffff0088212dc: ff830391  add	sp, sp, #0xe0
0xfffffff0088212e0: ff0f5fd6  retab	
0xfffffff0088212e4: 7b021a8b  add	x27, x19, x26
0xfffffff0088212e8: 694f2c8b  add	x9, x27, w12, uxtw #3
0xfffffff0088212ec: 34c501f9  str	x20, [x9, #0x388]
0xfffffff0088212f0: 684b288b  add	x8, x27, w8, uxtw #2
0xfffffff0088212f4: 29008052  mov	w9, #1
0xfffffff0088212f8: 092505b9  str	w9, [x8, #0x524]
0xfffffff0088212fc: 682345b9  ldr	w8, [x27, #0x520]
0xfffffff008821300: 08050011  add	w8, w8, #1
0xfffffff008821304: 682305b9  str	w8, [x27, #0x520]
0xfffffff008821308: a00e8052  mov	w0, #0x75
0xfffffff00882130c: 01018052  mov	w1, #8
0xfffffff008821310: 30690194  bl	#0xfffffff00887b7d0
0xfffffff008821314: 00080034  cbz	w0, #0xfffffff008821414
0xfffffff008821318: 3a570011  add	w26, w25, #0x15
0xfffffff00882131c: a00e8052  mov	w0, #0x75
0xfffffff008821320: 3e690194  bl	#0xfffffff00887b818
0xfffffff008821324: f70300aa  mov	x23, x0
