; Candidate 14692
; ADRP+ADD at VM 0xfffffff00987bb30 (fileoff 0x2877b30): page=0x1fdd4e000 add_imm=0xce0

0xfffffff00987bab0: e8179f1a  cset	w8, eq
0xfffffff00987bab4: 4a050091  add	x10, x10, #1
0xfffffff00987bab8: 2afd9fc8  stlr	x10, [x9]
0xfffffff00987babc: 69460691  add	x9, x19, #0x191
0xfffffff00987bac0: aa020012  and	w10, w21, #1
0xfffffff00987bac4: 2afd9f08  stlrb	w10, [x9]
0xfffffff00987bac8: 699a41b9  ldr	w9, [x19, #0x198]
0xfffffff00987bacc: c9010034  cbz	w9, #0xfffffff00987bb04
0xfffffff00987bad0: a802082a  orr	w8, w21, w8
0xfffffff00987bad4: 88010036  tbz	w8, #0, #0xfffffff00987bb04
0xfffffff00987bad8: e00313aa  mov	x0, x19
0xfffffff00987badc: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff00987bae0: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff00987bae4: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff00987bae8: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff00987baec: ff830191  add	sp, sp, #0x60
0xfffffff00987baf0: ff2303d5  autibsp	
0xfffffff00987baf4: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00987baf8: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00987bb00
0xfffffff00987bafc: 208e38d4  brk	#0xc471
0xfffffff00987bb00: 98fbff17  b	#0xfffffff00987a960
0xfffffff00987bb04: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff00987bb08: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff00987bb0c: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff00987bb10: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff00987bb14: ff830191  add	sp, sp, #0x60
0xfffffff00987bb18: ff0f5fd6  retab	
0xfffffff00987bb1c: 28808052  mov	w8, #0x401
0xfffffff00987bb20: 69eafef0  adrp	x9, #0xfffffff0075ca000
0xfffffff00987bb24: 29713691  add	x9, x9, #0xd9c
0xfffffff00987bb28: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff00987bb2c: f42300a9  stp	x20, x8, [sp]
0xfffffff00987bb30: 60eafed0  adrp	x0, #0xfffffff0075c9000
0xfffffff00987bb34: 00803391  add	x0, x0, #0xce0
0xfffffff00987bb38: 7562b097  bl	#0xfffffff00849450c
0xfffffff00987bb3c: 28808052  mov	w8, #0x401
0xfffffff00987bb40: 69eafef0  adrp	x9, #0xfffffff0075ca000
0xfffffff00987bb44: 29713691  add	x9, x9, #0xd9c
0xfffffff00987bb48: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff00987bb4c: f42300a9  stp	x20, x8, [sp]
0xfffffff00987bb50: 60eafed0  adrp	x0, #0xfffffff0075c9000
0xfffffff00987bb54: 00703291  add	x0, x0, #0xc9c
0xfffffff00987bb58: 6d62b097  bl	#0xfffffff00849450c
0xfffffff00987bb5c: 7f2303d5  pacibsp	
0xfffffff00987bb60: ffc300d1  sub	sp, sp, #0x30
0xfffffff00987bb64: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff00987bb68: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff00987bb6c: fd830091  add	x29, sp, #0x20
0xfffffff00987bb70: f30300aa  mov	x19, x0
0xfffffff00987bb74: c85800b0  adrp	x8, #0xfffffff00a394000
0xfffffff00987bb78: 08d10491  add	x8, x8, #0x134
0xfffffff00987bb7c: 080140b9  ldr	w8, [x8]
0xfffffff00987bb80: 00d440f9  ldr	x0, [x0, #0x1a8]
0xfffffff00987bb84: e8020034  cbz	w8, #0xfffffff00987bbe0
0xfffffff00987bb88: 007840f9  ldr	x0, [x0, #0xf0]
0xfffffff00987bb8c: 5d600994  bl	#0xfffffff009ad3d00
0xfffffff00987bb90: e80300aa  mov	x8, x0
0xfffffff00987bb94: 60d640f9  ldr	x0, [x19, #0x1a8]
0xfffffff00987bb98: 095c41f9  ldr	x9, [x0, #0x2b8]
0xfffffff00987bb9c: 0805088b  add	x8, x8, x8, lsl #1
0xfffffff00987bba0: 0af97fd3  lsl	x10, x8, #1
0xfffffff00987bba4: ebf301b2  mov	x11, #-0x5555555555555556
0xfffffff00987bba8: 6b5595f2  movk	x11, #0xaaab
0xfffffff00987bbac: 2b7dcb9b  umulh	x11, x9, x11
