; Candidate 12203
; ADRP+ADD at VM 0xfffffff0090678fc (fileoff 0x20638fc): page=0x1fe3eb000 add_imm=0xe45

0xfffffff00906787c: 409700b4  cbz	x0, #0xfffffff009068b64
0xfffffff009067880: fb0300aa  mov	x27, x0
0xfffffff009067884: 401ffff0  adrp	x0, #0xfffffff007452000
0xfffffff009067888: 00e03891  add	x0, x0, #0xe38
0xfffffff00906788c: 02feca97  bl	#0xfffffff008327094
0xfffffff009067890: fa0300aa  mov	x26, x0
0xfffffff009067894: 009900b4  cbz	x0, #0xfffffff009068bb4
0xfffffff009067898: 401ffff0  adrp	x0, #0xfffffff007452000
0xfffffff00906789c: 00643791  add	x0, x0, #0xdd9
0xfffffff0090678a0: fdfdca97  bl	#0xfffffff008327094
0xfffffff0090678a4: 809800b4  cbz	x0, #0xfffffff009068bb4
0xfffffff0090678a8: a08318f8  stur	x0, [x29, #-0x78]
0xfffffff0090678ac: 401ffff0  adrp	x0, #0xfffffff007452000
0xfffffff0090678b0: 00803791  add	x0, x0, #0xde0
0xfffffff0090678b4: f8fdca97  bl	#0xfffffff008327094
0xfffffff0090678b8: 009800b4  cbz	x0, #0xfffffff009068bb8
0xfffffff0090678bc: a00318f8  stur	x0, [x29, #-0x80]
0xfffffff0090678c0: 401ffff0  adrp	x0, #0xfffffff007452000
0xfffffff0090678c4: 009c3791  add	x0, x0, #0xde7
0xfffffff0090678c8: f3fdca97  bl	#0xfffffff008327094
0xfffffff0090678cc: 809700b4  cbz	x0, #0xfffffff009068bbc
0xfffffff0090678d0: a08317f8  stur	x0, [x29, #-0x88]
0xfffffff0090678d4: 401ffff0  adrp	x0, #0xfffffff007452000
0xfffffff0090678d8: 00b83791  add	x0, x0, #0xdee
0xfffffff0090678dc: eefdca97  bl	#0xfffffff008327094
0xfffffff0090678e0: 009700b4  cbz	x0, #0xfffffff009068bc0
0xfffffff0090678e4: a00317f8  stur	x0, [x29, #-0x90]
0xfffffff0090678e8: 401ffff0  adrp	x0, #0xfffffff007452000
0xfffffff0090678ec: 000c3891  add	x0, x0, #0xe03
0xfffffff0090678f0: e9fdca97  bl	#0xfffffff008327094
0xfffffff0090678f4: 809600b4  cbz	x0, #0xfffffff009068bc4
0xfffffff0090678f8: a08316f8  stur	x0, [x29, #-0x98]
0xfffffff0090678fc: 401ffff0  adrp	x0, #0xfffffff007452000
0xfffffff009067900: 00143991  add	x0, x0, #0xe45
0xfffffff009067904: e4fdca97  bl	#0xfffffff008327094
0xfffffff009067908: 009600b4  cbz	x0, #0xfffffff009068bc8
0xfffffff00906790c: a00316f8  stur	x0, [x29, #-0xa0]
0xfffffff009067910: 401ffff0  adrp	x0, #0xfffffff007452000
0xfffffff009067914: 006c3991  add	x0, x0, #0xe5b
0xfffffff009067918: dffdca97  bl	#0xfffffff008327094
0xfffffff00906791c: 809500b4  cbz	x0, #0xfffffff009068bcc
0xfffffff009067920: a08315f8  stur	x0, [x29, #-0xa8]
0xfffffff009067924: 401ffff0  adrp	x0, #0xfffffff007452000
0xfffffff009067928: 00983991  add	x0, x0, #0xe66
0xfffffff00906792c: dafdca97  bl	#0xfffffff008327094
0xfffffff009067930: 009500b4  cbz	x0, #0xfffffff009068bd0
0xfffffff009067934: a00315f8  stur	x0, [x29, #-0xb0]
0xfffffff009067938: 401ffff0  adrp	x0, #0xfffffff007452000
0xfffffff00906793c: 00cc3991  add	x0, x0, #0xe73
0xfffffff009067940: d5fdca97  bl	#0xfffffff008327094
0xfffffff009067944: 809400b4  cbz	x0, #0xfffffff009068bd4
0xfffffff009067948: a08314f8  stur	x0, [x29, #-0xb8]
0xfffffff00906794c: 401ffff0  adrp	x0, #0xfffffff007452000
0xfffffff009067950: 00103a91  add	x0, x0, #0xe84
0xfffffff009067954: d0fdca97  bl	#0xfffffff008327094
0xfffffff009067958: 009400b4  cbz	x0, #0xfffffff009068bd8
0xfffffff00906795c: a00314f8  stur	x0, [x29, #-0xc0]
0xfffffff009067960: 401ffff0  adrp	x0, #0xfffffff007452000
0xfffffff009067964: 00343a91  add	x0, x0, #0xe8d
0xfffffff009067968: cbfdca97  bl	#0xfffffff008327094
0xfffffff00906796c: 809300b4  cbz	x0, #0xfffffff009068bdc
0xfffffff009067970: a08313f8  stur	x0, [x29, #-0xc8]
0xfffffff009067974: 401ffff0  adrp	x0, #0xfffffff007452000
0xfffffff009067978: 008c3a91  add	x0, x0, #0xea3
