; Candidate 14285
; ADRP+ADD at VM 0xfffffff00975d570 (fileoff 0x2759570): page=0xc2e000 add_imm=0xea8

0xfffffff00975d4f0: f86744a9  ldp	x24, x25, [sp, #0x40]
0xfffffff00975d4f4: e00100b5  cbnz	x0, #0xfffffff00975d530
0xfffffff00975d4f8: b00240f9  ldr	x16, [x21]
0xfffffff00975d4fc: f10315aa  mov	x17, x21
0xfffffff00975d500: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00975d504: 301ac1da  autda	x16, x17
0xfffffff00975d508: 114380d2  mov	x17, #0x218
0xfffffff00975d50c: 1002118b  add	x16, x16, x17
0xfffffff00975d510: 080240f9  ldr	x8, [x16]
0xfffffff00975d514: e90310aa  mov	x9, x16
0xfffffff00975d518: e00315aa  mov	x0, x21
0xfffffff00975d51c: 010080d2  mov	x1, #0
0xfffffff00975d520: f10309aa  mov	x17, x9
0xfffffff00975d524: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff00975d528: 11093fd7  blraa	x8, x17
0xfffffff00975d52c: fa0300aa  mov	x26, x0
0xfffffff00975d530: e80318aa  mov	x8, x24
0xfffffff00975d534: fa2302a9  stp	x26, x8, [sp, #0x20]
0xfffffff00975d538: f65f01a9  stp	x22, x23, [sp, #0x10]
0xfffffff00975d53c: e8f1fe90  adrp	x8, #0xfffffff007599000
0xfffffff00975d540: 08510691  add	x8, x8, #0x194
0xfffffff00975d544: f32300a9  stp	x19, x8, [sp]
0xfffffff00975d548: e0f1fe90  adrp	x0, #0xfffffff007599000
0xfffffff00975d54c: 009c0691  add	x0, x0, #0x1a7
0xfffffff00975d550: b4e6af97  bl	#0xfffffff008357020
0xfffffff00975d554: 08008052  mov	w8, #0
0xfffffff00975d558: 09008052  mov	w9, #0
0xfffffff00975d55c: 13008052  mov	w19, #0
0xfffffff00975d560: f91b00b5  cbnz	x25, #0xfffffff00975d8dc
0xfffffff00975d564: e0000014  b	#0xfffffff00975d8e4
0xfffffff00975d568: a80c8052  mov	w8, #0x65
0xfffffff00975d56c: 880200b9  str	w8, [x20]
0xfffffff00975d570: 606100d0  adrp	x0, #0xfffffff00a38b000
0xfffffff00975d574: 00a03a91  add	x0, x0, #0xea8
0xfffffff00975d578: f81cae97  bl	#0xfffffff0082e4958
0xfffffff00975d57c: e00315aa  mov	x0, x21
0xfffffff00975d580: 372dfd97  bl	#0xfffffff0096a8a5c
0xfffffff00975d584: c00100b5  cbnz	x0, #0xfffffff00975d5bc
0xfffffff00975d588: b00240f9  ldr	x16, [x21]
0xfffffff00975d58c: f10315aa  mov	x17, x21
0xfffffff00975d590: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00975d594: 301ac1da  autda	x16, x17
0xfffffff00975d598: 113d80d2  mov	x17, #0x1e8
0xfffffff00975d59c: 1002118b  add	x16, x16, x17
0xfffffff00975d5a0: 080240f9  ldr	x8, [x16]
0xfffffff00975d5a4: e90310aa  mov	x9, x16
0xfffffff00975d5a8: e00315aa  mov	x0, x21
0xfffffff00975d5ac: 010080d2  mov	x1, #0
0xfffffff00975d5b0: f10309aa  mov	x17, x9
0xfffffff00975d5b4: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00975d5b8: 11093fd7  blraa	x8, x17
0xfffffff00975d5bc: e00315aa  mov	x0, x21
0xfffffff00975d5c0: 272dfd97  bl	#0xfffffff0096a8a5c
0xfffffff00975d5c4: e00315aa  mov	x0, x21
0xfffffff00975d5c8: 252dfd97  bl	#0xfffffff0096a8a5c
0xfffffff00975d5cc: f92740f9  ldr	x25, [sp, #0x48]
0xfffffff00975d5d0: c00100b5  cbnz	x0, #0xfffffff00975d608
0xfffffff00975d5d4: b00240f9  ldr	x16, [x21]
0xfffffff00975d5d8: f10315aa  mov	x17, x21
0xfffffff00975d5dc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00975d5e0: 301ac1da  autda	x16, x17
0xfffffff00975d5e4: 114380d2  mov	x17, #0x218
0xfffffff00975d5e8: 1002118b  add	x16, x16, x17
0xfffffff00975d5ec: 080240f9  ldr	x8, [x16]
