; Candidate 10724
; ADRP+ADD at VM 0xfffffff008de44d8 (fileoff 0x1de04d8): page=0x1fe5e0000 add_imm=0xd54

0xfffffff008de4458: 180109cb  sub	x24, x8, x9
0xfffffff008de445c: 1f030091  mov	sp, x24
0xfffffff008de4460: e00318aa  mov	x0, x24
0xfffffff008de4464: e10317aa  mov	x1, x23
0xfffffff008de4468: b6a1bd97  bl	#0xfffffff007d4cb40
0xfffffff008de446c: 28008052  mov	w8, #1
0xfffffff008de4470: 08570029  stp	w8, w21, [x24]
0xfffffff008de4474: b50000b4  cbz	x21, #0xfffffff008de4488
0xfffffff008de4478: 00230091  add	x0, x24, #8
0xfffffff008de447c: e10316aa  mov	x1, x22
0xfffffff008de4480: e20315aa  mov	x2, x21
0xfffffff008de4484: 43a1bd97  bl	#0xfffffff007d4c990
0xfffffff008de4488: e00314aa  mov	x0, x20
0xfffffff008de448c: a1058052  mov	w1, #0x2d
0xfffffff008de4490: 02008052  mov	w2, #0
0xfffffff008de4494: e30318aa  mov	x3, x24
0xfffffff008de4498: e40317aa  mov	x4, x23
0xfffffff008de449c: 050080d2  mov	x5, #0
0xfffffff008de44a0: 060080d2  mov	x6, #0
0xfffffff008de44a4: 519081d2  mov	x17, #0xc82
0xfffffff008de44a8: 710a3fd7  blraa	x19, x17
0xfffffff008de44ac: f30300aa  mov	x19, x0
0xfffffff008de44b0: a0090035  cbnz	w0, #0xfffffff008de45e4
0xfffffff008de44b4: 9f030091  mov	sp, x28
0xfffffff008de44b8: 48018052  mov	w8, #0xa
0xfffffff008de44bc: 69034039  ldrb	w9, [x27]
0xfffffff008de44c0: 1f01096b  cmp	w8, w9
0xfffffff008de44c4: 23010054  b.lo	#0xfffffff008de44e8
0xfffffff008de44c8: e80313aa  mov	x8, x19
0xfffffff008de44cc: 087d4093  sxtw	x8, w8
0xfffffff008de44d0: fa67bea9  stp	x26, x25, [sp, #-0x20]!
0xfffffff008de44d4: e80b00f9  str	x8, [sp, #0x10]
0xfffffff008de44d8: 002fff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008de44dc: 00503591  add	x0, x0, #0xd54
0xfffffff008de44e0: d0cad597  bl	#0xfffffff008357020
0xfffffff008de44e4: ff830091  add	sp, sp, #0x20
0xfffffff008de44e8: a8835af8  ldur	x8, [x29, #-0x58]
0xfffffff008de44ec: 6968ff90  adrp	x9, #0xfffffff007af0000
0xfffffff008de44f0: 296946f9  ldr	x9, [x9, #0xcd0]
0xfffffff008de44f4: 290140f9  ldr	x9, [x9]
0xfffffff008de44f8: 3f0108eb  cmp	x9, x8
0xfffffff008de44fc: a1090054  b.ne	#0xfffffff008de4630
0xfffffff008de4500: e00313aa  mov	x0, x19
0xfffffff008de4504: bf4301d1  sub	sp, x29, #0x50
0xfffffff008de4508: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff008de450c: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff008de4510: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff008de4514: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff008de4518: fa6741a9  ldp	x26, x25, [sp, #0x10]
0xfffffff008de451c: fc6fc6a8  ldp	x28, x27, [sp], #0x60
0xfffffff008de4520: ff0f5fd6  retab	
0xfffffff008de4524: ffc300d1  sub	sp, sp, #0x30
0xfffffff008de4528: e8ce8052  mov	w8, #0x677
0xfffffff008de452c: e92effb0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de4530: 29490d91  add	x9, x9, #0x352
0xfffffff008de4534: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de4538: 082fff90  adrp	x8, #0xfffffff0073c4000
0xfffffff008de453c: 08493991  add	x8, x8, #0xe52
0xfffffff008de4540: ea2effb0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de4544: 4ab51491  add	x10, x10, #0x52d
0xfffffff008de4548: 1e000014  b	#0xfffffff008de45c0
0xfffffff008de454c: ffc300d1  sub	sp, sp, #0x30
0xfffffff008de4550: 08cf8052  mov	w8, #0x678
0xfffffff008de4554: e92effb0  adrp	x9, #0xfffffff0073c1000
