; Candidate 4281
; ADRP+ADD at VM 0xfffffff00879c278 (fileoff 0x1798278): page=0x1fe995000 add_imm=0xd90

0xfffffff00879c1f8: bceaee97  bl	#0xfffffff008356ce8
0xfffffff00879c1fc: 606212f9  str	x0, [x19, #0x24c0]
0xfffffff00879c200: e00d00b4  cbz	x0, #0xfffffff00879c3bc
0xfffffff00879c204: 00008052  mov	w0, #0
0xfffffff00879c208: 79000014  b	#0xfffffff00879c3ec
0xfffffff00879c20c: 084eff90  adrp	x8, #0xfffffff00715c000
0xfffffff00879c210: 08011391  add	x8, x8, #0x4c0
0xfffffff00879c214: e80300f9  str	x8, [sp]
0xfffffff00879c218: a04cffb0  adrp	x0, #0xfffffff007131000
0xfffffff00879c21c: 00403691  add	x0, x0, #0xd90
0xfffffff00879c220: 0193ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff00879c224: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879c228: 634dffb0  adrp	x3, #0xfffffff007149000
0xfffffff00879c22c: 63942191  add	x3, x3, #0x865
0xfffffff00879c230: 02008052  mov	w2, #0
0xfffffff00879c234: bf5bee97  bl	#0xfffffff008333130
0xfffffff00879c238: 6c000014  b	#0xfffffff00879c3e8
0xfffffff00879c23c: 084eff90  adrp	x8, #0xfffffff00715c000
0xfffffff00879c240: 08011391  add	x8, x8, #0x4c0
0xfffffff00879c244: e80300f9  str	x8, [sp]
0xfffffff00879c248: a04cffb0  adrp	x0, #0xfffffff007131000
0xfffffff00879c24c: 00403691  add	x0, x0, #0xd90
0xfffffff00879c250: 0193ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff00879c254: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879c258: 634dffb0  adrp	x3, #0xfffffff007149000
0xfffffff00879c25c: 63302291  add	x3, x3, #0x88c
0xfffffff00879c260: 02008052  mov	w2, #0
0xfffffff00879c264: b35bee97  bl	#0xfffffff008333130
0xfffffff00879c268: 60000014  b	#0xfffffff00879c3e8
0xfffffff00879c26c: 084eff90  adrp	x8, #0xfffffff00715c000
0xfffffff00879c270: 08011391  add	x8, x8, #0x4c0
0xfffffff00879c274: e80300f9  str	x8, [sp]
0xfffffff00879c278: a04cffb0  adrp	x0, #0xfffffff007131000
0xfffffff00879c27c: 00403691  add	x0, x0, #0xd90
0xfffffff00879c280: 0193ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff00879c284: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879c288: 634dffb0  adrp	x3, #0xfffffff007149000
0xfffffff00879c28c: 63d42291  add	x3, x3, #0x8b5
0xfffffff00879c290: 02008052  mov	w2, #0
0xfffffff00879c294: a75bee97  bl	#0xfffffff008333130
0xfffffff00879c298: 54000014  b	#0xfffffff00879c3e8
0xfffffff00879c29c: 084eff90  adrp	x8, #0xfffffff00715c000
0xfffffff00879c2a0: 08011391  add	x8, x8, #0x4c0
0xfffffff00879c2a4: e80300f9  str	x8, [sp]
0xfffffff00879c2a8: a04cffb0  adrp	x0, #0xfffffff007131000
0xfffffff00879c2ac: 00403691  add	x0, x0, #0xd90
0xfffffff00879c2b0: 0193ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff00879c2b4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879c2b8: 634dffb0  adrp	x3, #0xfffffff007149000
0xfffffff00879c2bc: 63782391  add	x3, x3, #0x8de
0xfffffff00879c2c0: 02008052  mov	w2, #0
0xfffffff00879c2c4: 9b5bee97  bl	#0xfffffff008333130
0xfffffff00879c2c8: 48000014  b	#0xfffffff00879c3e8
0xfffffff00879c2cc: 084eff90  adrp	x8, #0xfffffff00715c000
0xfffffff00879c2d0: 08011391  add	x8, x8, #0x4c0
0xfffffff00879c2d4: e80300f9  str	x8, [sp]
0xfffffff00879c2d8: a04cffb0  adrp	x0, #0xfffffff007131000
0xfffffff00879c2dc: 00403691  add	x0, x0, #0xd90
0xfffffff00879c2e0: 0193ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff00879c2e4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879c2e8: 634dffb0  adrp	x3, #0xfffffff007149000
0xfffffff00879c2ec: 63282491  add	x3, x3, #0x90a
0xfffffff00879c2f0: 02008052  mov	w2, #0
0xfffffff00879c2f4: 8f5bee97  bl	#0xfffffff008333130
