; Candidate 275
; ADRP+ADD at VM 0xfffffff007e904dc (fileoff 0xe8c4dc): page=0x2367000 add_imm=0xe68

0xfffffff007e9045c: 00c01591  add	x0, x0, #0x570
0xfffffff007e90460: e10314aa  mov	x1, x20
0xfffffff007e90464: eae5fd97  bl	#0xfffffff007e09c0c
0xfffffff007e90468: 7f2200f9  str	xzr, [x19, #0x40]
0xfffffff007e9046c: 680a40f9  ldr	x8, [x19, #0x10]
0xfffffff007e90470: 480000b4  cbz	x8, #0xfffffff007e90478
0xfffffff007e90474: 7f0a00f9  str	xzr, [x19, #0x10]
0xfffffff007e90478: 00d7ffb0  adrp	x0, #0xfffffff007971000
0xfffffff007e9047c: 00c01691  add	x0, x0, #0x5b0
0xfffffff007e90480: e10313aa  mov	x1, x19
0xfffffff007e90484: e2e5fd97  bl	#0xfffffff007e09c0c
0xfffffff007e90488: df02156b  cmp	w22, w21
0xfffffff007e9048c: 2d010054  b.le	#0xfffffff007e904b0
0xfffffff007e90490: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff007e90494: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff007e90498: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff007e9049c: ff2303d5  autibsp	
0xfffffff007e904a0: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff007e904a4: 5000f0b6  tbz	x16, #0x3e, #0xfffffff007e904ac
0xfffffff007e904a8: 208e38d4  brk	#0xc471
0xfffffff007e904ac: 18000014  b	#0xfffffff007e9050c
0xfffffff007e904b0: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff007e904b4: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff007e904b8: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff007e904bc: ff0f5fd6  retab	
0xfffffff007e904c0: 60120091  add	x0, x19, #4
0xfffffff007e904c4: 463f1894  bl	#0xfffffff0084a01dc
0xfffffff007e904c8: 201b01f0  adrp	x0, #0xfffffff00a1f7000
0xfffffff007e904cc: 00a03991  add	x0, x0, #0xe68
0xfffffff007e904d0: 02008052  mov	w2, #0
0xfffffff007e904d4: 896dfc97  bl	#0xfffffff007dabaf8
0xfffffff007e904d8: 91ffff17  b	#0xfffffff007e9031c
0xfffffff007e904dc: 201b01f0  adrp	x0, #0xfffffff00a1f7000
0xfffffff007e904e0: 00a03991  add	x0, x0, #0xe68
0xfffffff007e904e4: a070fc97  bl	#0xfffffff007dac764
0xfffffff007e904e8: 601a40f9  ldr	x0, [x19, #0x30]
0xfffffff007e904ec: 60f6ffb5  cbnz	x0, #0xfffffff007e903b8
0xfffffff007e904f0: b4ffff17  b	#0xfffffff007e903c0
0xfffffff007e904f4: 201b01f0  adrp	x0, #0xfffffff00a1f7000
0xfffffff007e904f8: 00a03991  add	x0, x0, #0xe68
0xfffffff007e904fc: 9a70fc97  bl	#0xfffffff007dac764
0xfffffff007e90500: 742240f9  ldr	x20, [x19, #0x40]
0xfffffff007e90504: d4f7ffb5  cbnz	x20, #0xfffffff007e903fc
0xfffffff007e90508: d9ffff17  b	#0xfffffff007e9046c
0xfffffff007e9050c: 7f2303d5  pacibsp	
0xfffffff007e90510: ff0301d1  sub	sp, sp, #0x40
0xfffffff007e90514: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff007e90518: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff007e9051c: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff007e90520: fdc30091  add	x29, sp, #0x30
0xfffffff007e90524: 080080d2  mov	x8, #0
0xfffffff007e90528: 93d038d5  mrs	x19, tpidr_el1
0xfffffff007e9052c: 691a44b9  ldr	w9, [x19, #0x418]
0xfffffff007e90530: 351b01f0  adrp	x21, #0xfffffff00a1f7000
0xfffffff007e90534: b5c23991  add	x21, x21, #0xe70
0xfffffff007e90538: a97ee8c8  casa	x8, x9, [x21]
0xfffffff007e9053c: 1f0100f1  cmp	x8, #0
0xfffffff007e90540: c10c0054  b.ne	#0xfffffff007e906d8
0xfffffff007e90544: e9030091  mov	x9, sp
0xfffffff007e90548: 34210091  add	x20, x9, #8
0xfffffff007e9054c: e92700a9  stp	x9, x9, [sp]
0xfffffff007e90550: ca1801d0  adrp	x10, #0xfffffff00a1aa000
0xfffffff007e90554: 4a410e91  add	x10, x10, #0x390
0xfffffff007e90558: 4b0540f9  ldr	x11, [x10, #8]
